,text_surronding
Tournier-Michel_Sept-contes_<J'-296>_7202,encore à son âge? Dimanche J' ai résolu d' entreprendre
Tournier-Michel_Sept-contes_<J'-296>_7228,un peu par curiosité . Je crois qu' il y
Tournier-Michel_Sept-contes_<J'-296>_7260,la maison de Kamicha . Je crois que si je
Tournier-Michel_Sept-contes_<J'-296>_7264,. Je crois que si je connaissais son petit paradis
Tournier-Michel_Sept-contes_<J'-296>_7270,"connaissais son petit paradis , je saurais mieux gagner son"
Tournier-Michel_Sept-contes_<J'-296>_7283,"Cet après - midi , j' ai fait le tour"
Tournier-Michel_Sept-contes_<J'-296>_7384,"sauter le mur . Mais moi , je ne suis"
Tournier-Michel_Sept-contes_<J'-296>_7386,"mur . Mais moi , je ne suis pas un"
Tournier-Michel_Sept-contes_<J'-296>_7397,. Alors comment faire? Dimanche J' avais d' abord pensé
Tournier-Michel_Sept-contes_<J'-296>_7413,"jardinier de papa , mais je ne sais si j'"
Tournier-Michel_Sept-contes_<J'-296>_7417,mais je ne sais si j' aurais eu la force
Tournier-Michel_Sept-contes_<J'-296>_7437,le monde la verrait . Je serais vite repérée .
Tournier-Michel_Sept-contes_<J'-296>_7442,Je serais vite repérée . Je ne sais pas trop
Tournier-Michel_Sept-contes_<J'-296>_7450,"pas trop pourquoi , mais je crois que si papa"
Tournier-Michel_Sept-contes_<J'-296>_7460,"et maman se doutaient de mes projets , ils feraient"
Tournier-Michel_Sept-contes_<J'-296>_7467,", ils feraient tout pour m' empêcher de les réaliser"
Tournier-Michel_Sept-contes_<J'-296>_7475,les réaliser . Ce que je vais écrire est très
Tournier-Michel_Sept-contes_<J'-296>_7483,"est très vilain , et j' ai honte , mais"
Tournier-Michel_Sept-contes_<J'-296>_7497,"le jardin de Kamicha , je crois que c' est"
Tournier-Michel_Sept-contes_<J'-296>_7507,"nécessaire et délicieux , mais je ne dois en parler"
Tournier-Michel_Sept-contes_<J'-296>_7518,"personne , surtout pas à mes parents . Je suis"
Tournier-Michel_Sept-contes_<J'-296>_7521,pas à mes parents . Je suis très malheureuse .
Tournier-Michel_Sept-contes_<J'-296>_7559,vers le mur . Si j' arrive à marcher jusqu'
Tournier-Michel_Sept-contes_<J'-296>_7570,"bout de cette branche , je pourrai sans doute mettre"
Tournier-Michel_Sept-contes_<J'-296>_7597,"a réussi , mais comme j' ai eu peur! Un"
Tournier-Michel_Sept-contes_<J'-296>_7603,ai eu peur! Un moment je me suis trouvée les
Tournier-Michel_Sept-contes_<J'-296>_7627,le haut du mur . Je n' osais pas lâcher
Tournier-Michel_Sept-contes_<J'-296>_7638,rameau de l' arbre que je tenais encore dans ma
Tournier-Michel_Sept-contes_<J'-296>_7642,que je tenais encore dans ma main . J' ai
Tournier-Michel_Sept-contes_<J'-296>_7645,encore dans ma main . J' ai failli appeler au
Tournier-Michel_Sept-contes_<J'-296>_7654,"au secours . Finalement , je me suis lancée ."
Tournier-Michel_Sept-contes_<J'-296>_7663,. Un peu plus et je tombais de l' autre
Tournier-Michel_Sept-contes_<J'-296>_7673,"côté du mur , mais j' ai retrouvé mon équilibre"
Tournier-Michel_Sept-contes_<J'-296>_7676,", mais j' ai retrouvé mon équilibre , et aussitôt"
Tournier-Michel_Sept-contes_<J'-296>_7681,"mon équilibre , et aussitôt j' ai pu observer le"
Tournier-Michel_Sept-contes_<J'-296>_7690,le jardin de Kamicha que je dominais . D' abord
Tournier-Michel_Sept-contes_<J'-296>_7695,je dominais . D' abord je n' ai vu qu'
Tournier-Michel_Sept-contes_<J'-296>_7732,un tas de plantes que je ne connais pas .
Tournier-Michel_Sept-contes_<J'-296>_7753,et si bien peigné . J' ai pensé que jamais
Tournier-Michel_Sept-contes_<J'-296>_7758,J' ai pensé que jamais je n' oserais descendre dans
Tournier-Michel_Sept-contes_<J'-296>_7776,et de serpents . Alors j' ai marché sur le
Tournier-Michel_Sept-contes_<J'-296>_7805,"toutes ses feuilles , et je ne savais pas où"
Tournier-Michel_Sept-contes_<J'-296>_7810,je ne savais pas où je mettais le pied .
Tournier-Michel_Sept-contes_<J'-296>_7835,par la mousse . Mais j' ai découvert ensuite quelque
Tournier-Michel_Sept-contes_<J'-296>_7853,"le mur , comme pour moi depuis toujours , une"
Tournier-Michel_Sept-contes_<J'-296>_7907,"commode pour descendre , et je ne sais comment j'"
Tournier-Michel_Sept-contes_<J'-296>_7911,et je ne sais comment j' aurais fait sans cela
Tournier-Michel_Sept-contes_<J'-296>_7919,sans cela . Bon . Me voilà dans le jardin
Tournier-Michel_Sept-contes_<J'-296>_7934,a de hautes herbes qui m' arrivent jusqu' au nez
Tournier-Michel_Sept-contes_<J'-296>_7940,arrivent jusqu' au nez . Je dois marcher dans une
Tournier-Michel_Sept-contes_<J'-296>_7965,. De grosses fleurs bizarres me caressent la figure .
Tournier-Michel_Sept-contes_<J'-296>_8014,"fois , on dirait . J' ai un peu peur"
Tournier-Michel_Sept-contes_<J'-296>_8023,"peur , mais la curiosité me pousse . Tout ici"
Tournier-Michel_Sept-contes_<J'-296>_8061,"de verdure encore , et j' arrive à une sorte"
Tournier-Michel_Sept-contes_<J'-296>_8088,qui? Kamicha en personne qui me regarde tranquillement venir à
Tournier-Michel_Sept-contes_<J'-296>_8093,me regarde tranquillement venir à lui . C' est drôle
Tournier-Michel_Sept-contes_<J'-296>_8099,". C' est drôle , je le trouve plus grand"
Tournier-Michel_Sept-contes_<J'-296>_8119,"Mais c' est lui , je n' en doute pas"
Tournier-Michel_Sept-contes_<J'-296>_8164,vient pas non plus à moi pour que je le
Tournier-Michel_Sept-contes_<J'-296>_8167,"plus à moi pour que je le caresse , non"
Tournier-Michel_Sept-contes_<J'-296>_8212,retourne comme pour voir si je le suis . Oui
Tournier-Michel_Sept-contes_<J'-296>_8213,"comme pour voir si je le suis . Oui ,"
Tournier-Michel_Sept-contes_<J'-296>_8220,". Oui , Kamicha , je viens , je viens!"
Tournier-Michel_Sept-contes_<J'-296>_8239,et repart aussi calme . Je ne le reconnais vraiment
Tournier-Michel_Sept-contes_<J'-296>_8287,les herbes . Et puis je comprends que nous sommes
Tournier-Michel_Sept-contes_<J'-296>_8303,", tourne la tête vers moi et ferme lentement ses"
Tournier-Michel_Sept-contes_<J'-296>_8440,Il lève la tête vers moi . Il est aussi
