,text_surronding
Rolin-Olivier_Port-Soudan_<je-1124>_26930,» qui les emmènent ensuite je ne sais où .
Rolin-Olivier_Port-Soudan_<je-1124>_26987,"appels du muezzin , ils me réveillent en tirant de"
Rolin-Olivier_Port-Soudan_<je-1124>_27022,saluer Dieu . Ce sont mes voisins . Vingt ans
Rolin-Olivier_Port-Soudan_<je-1124>_27029,. Vingt ans d' Afrique m' ont habitué à ne
Rolin-Olivier_Port-Soudan_<je-1124>_27074,"par l' étoile grondante de ma lampe à kérosène ,"
Rolin-Olivier_Port-Soudan_<je-1124>_27079,"ma lampe à kérosène , je me laisse glisser dans"
Rolin-Olivier_Port-Soudan_<je-1124>_27088,dans la pensée que si j' ai prêté à mon
Rolin-Olivier_Port-Soudan_<je-1124>_27092,si j' ai prêté à mon ami les mots qu'
Rolin-Olivier_Port-Soudan_<je-1124>_27102,"il avait d' abord voulu m' adresser , c' est"
Rolin-Olivier_Port-Soudan_<je-1124>_27108,"adresser , c' est que j' ai en quelque sorte"
Rolin-Olivier_Port-Soudan_<je-1124>_27127,et qu' il revit en moi sur ce rivage où
Rolin-Olivier_Port-Soudan_<je-1124>_27170,"mort , pas plus que moi je ne suis pour"
Rolin-Olivier_Port-Soudan_<je-1124>_27171,", pas plus que moi je ne suis pour de"
Rolin-Olivier_Port-Soudan_<je-1124>_27221,"limbes ? Après tout , je n' ai rencontré et"
Rolin-Olivier_Port-Soudan_<je-1124>_27352,"gouttes de sueur tombent de mon front , parsèment le"
Rolin-Olivier_Port-Soudan_<je-1124>_27437,aurons - nous rendu . Je me souviens des jours
Rolin-Olivier_Port-Soudan_<je-1124>_27487,que tout pouvait arriver . Je me souviens de A
Rolin-Olivier_Port-Soudan_<je-1124>_27498,: il était un autre moi - même . C'
Rolin-Olivier_Port-Soudan_<je-1124>_27526,s' épuisaient en fanfares . Je me souviens que nous
Rolin-Olivier_Port-Soudan_<je-1124>_27612,quel monde nous étions . Je me souviens d' avoir
Rolin-Olivier_Port-Soudan_<je-1124>_27621,avoir attendu comme lui avec mon cœur avec mon âme
Rolin-Olivier_Port-Soudan_<je-1124>_27624,lui avec mon cœur avec mon âme . Je me
Rolin-Olivier_Port-Soudan_<je-1124>_27627,cœur avec mon âme . Je me souviens de choses
Rolin-Olivier_Port-Soudan_<je-1124>_27711,", de son visage sous ma paume lorsque je conduisais"
Rolin-Olivier_Port-Soudan_<je-1124>_27714,"visage sous ma paume lorsque je conduisais , je me"
Rolin-Olivier_Port-Soudan_<je-1124>_27717,"paume lorsque je conduisais , je me souviens qu' elle"
Rolin-Olivier_Port-Soudan_<je-1124>_27741,"immobile , silencieuse , que j' entrouvrais brusquement la porte"
Rolin-Olivier_Port-Soudan_<je-1124>_27755,"faisait sursauter de frayeur , je me souviens du ciel"
Rolin-Olivier_Port-Soudan_<je-1124>_27873,"impitoyable qui passait , et je me souviens du repos"
Rolin-Olivier_Port-Soudan_<je-1124>_27922,jamais vu de cadavre . Je ne verrai jamais l'
Rolin-Olivier_Port-Soudan_<je-1124>_27953,qu' elle y allumera . Je ne sais même pas
Rolin-Olivier_Port-Soudan_<je-1124>_27961,"même pas si elle apprendra ma fin , si cela"
Rolin-Olivier_Port-Soudan_<je-1124>_27972,causera de la peine . Je me souviens du temps
Rolin-Olivier_Port-Soudan_<je-1124>_27979,souviens du temps où elle me trouvait des yeux de
Rolin-Olivier_Port-Soudan_<je-1124>_27995,forests of the night . Je me souviens d' un
Rolin-Olivier_Port-Soudan_<je-1124>_28025,- là nous étions gais l' un et l' autre
Rolin-Olivier_Port-Soudan_<je-1124>_28055,comme du vieil argent . Je me souviens de la
Rolin-Olivier_Port-Soudan_<je-1124>_28079,dépit de notre amour . Je me souviens de la
Rolin-Olivier_Port-Soudan_<je-1124>_28096,et même de nous . Je me souviens de son
Rolin-Olivier_Port-Soudan_<je-1124>_28127,"ait déjà vendus comme elle m' a vendu , et"
Rolin-Olivier_Port-Soudan_<je-1124>_28154,tournant dans le soir . Je sais que je l'
Rolin-Olivier_Port-Soudan_<je-1124>_28157,soir . Je sais que je l' ai aimée comme
Rolin-Olivier_Port-Soudan_<je-1124>_28173,"confiant , plus naïf que je n' ai jamais eu"
Rolin-Olivier_Port-Soudan_<je-1124>_28179,"n' ai jamais eu , moi qui croyais être empli"
Rolin-Olivier_Port-Soudan_<je-1124>_28180,"ai jamais eu , moi qui croyais être empli de"
Rolin-Olivier_Port-Soudan_<je-1124>_28189,"de doutes , et que je n' eusse dû sûrement"
Rolin-Olivier_Port-Soudan_<je-1124>_28199,"avoir , avec aussi toutes mes faiblesses , ce qui"
Rolin-Olivier_Port-Soudan_<je-1124>_28220,"conte de fées , et je crois que personne ne"
Rolin-Olivier_Port-Soudan_<je-1124>_28230,l' aimera comme nous . Je sais qu' elle n'
Rolin-Olivier_Port-Soudan_<je-1124>_28295,: de cette ignorance . Je sais qu' elle ne
Rolin-Olivier_Port-Soudan_<je-1124>_28304,"ne comprendrait pas ce que je dis , et même"
Rolin-Olivier_Port-Soudan_<je-1124>_28310,"dis , et même si ma mort lestait mes mots"
Rolin-Olivier_Port-Soudan_<je-1124>_28313,même si ma mort lestait mes mots de tout le
Rolin-Olivier_Port-Soudan_<je-1124>_28320,de tout le poids de ma chair : je ne
Rolin-Olivier_Port-Soudan_<je-1124>_28323,poids de ma chair : je ne crois pas qu'
