,text_surronding
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_28945,est là qu' on envoyait Leonal Baltimore . On lui
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_28949,envoyait Leonal Baltimore . On lui avait expliqué qu' ainsi
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_28954,lui avait expliqué qu' ainsi il montrait sa volonté d'
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_28956,expliqué qu' ainsi il montrait sa volonté d' intégration sociale
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_28964,"intégration sociale , et que son travail lui donnerait des"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_28966,", et que son travail lui donnerait des points pour"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_28978,future de la citoyenneté . Leonal Baltimore ne croyait pas
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_28987,"pas à ce qu' on lui disait , il comprenait"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_28990,"qu' on lui disait , il comprenait mal la langue"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_28998,"la langue de ceux qui lui donnaient des ordres ,"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29003,"lui donnaient des ordres , il n' avait aucune idée"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29011,"aucune idée des objectifs de ses employeurs , mais il"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29015,"de ses employeurs , mais il comptait refaire sa vie"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29018,", mais il comptait refaire sa vie grâce à ce"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29043,"à obéir aux gesticulations de Leonal Baltimore , ils refusaient"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29051,ils refusaient de reculer quand celui - ci s' approchait
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29092,à leur tour ils menaçaient Leonal Baltimore . Les aigles
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29142,les aigles se dirigent vers Leonal Baltimore en poussant des
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29193,"sinistres . Les aigles effraient Leonal Baltimore , les aigles"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29199,"Baltimore , les aigles frappent Leonal Baltimore , les aigles"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29206,", les aigles tentent de le frapper au visage ,"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29212,"frapper au visage , de lui crever les yeux ou"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29218,crever les yeux ou de lui déchirer le cou juste
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29229,"le menton , ou de lui déchirer les poignets juste"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29271,"humains , les Untermenschen comme Leonal Baltimore , et en"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29292,ou pulvérisent leurs oisillons . Leonal Baltimore emportait avec lui
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29296,. Leonal Baltimore emportait avec lui un manche à balai
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29303,manche à balai avec quoi il parait les attaques les
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29314,dangereuses des rapaces . Quand il redescendait après avoir fini
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29326,"le départ des aigles , il était imprégné des odeurs"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29342,"le poitrail des aigles , il avait en tête la"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29361,"croupion des aigles , et il était couvert d' une"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29372,aigre . Les employeurs de Leonal Baltimore lui avaient confié
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29374,Les employeurs de Leonal Baltimore lui avaient confié la maintenance
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29408,"constructions moins hautes , il lui fallait faire des prouesses"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29453,". Parfois , tandis que Leonal Baltimore travaillait au sommet"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29521,d' accueil pour réfugiés . Leonal Baltimore n' aimait pas
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29539,"temps que les aigles , il n' aimait pas partager"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29569,"être cisaillé ou brûlé , il n' aimait pas la"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29579,"stridence terrible des avions , il n' aimait pas les"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29601,", beaucoup plus bas , il n' aimait pas respirer"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29618,remplaçait l' air respirable . Il n' aimait pas avoir
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29628,des aigles à côté de lui pour subir cette avalanche
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29644,"les raids avaient lieu , il cessait d' importuner les"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29651,d' importuner les aigles et il s' accroupissait peureusement près
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29678,"y mettre un terme , il se tournait vers le"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29685,tournait vers le ciel et il se mettait à gémir
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29722,"raid eut pris fin , il se traîna jusqu' au"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29734,la plate - forme et ouvrit les yeux . Le
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29741,yeux . Le sang encroûtait ses paupières et il dut
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29744,sang encroûtait ses paupières et il dut porter les mains
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29750,dut porter les mains à son visage pour l' essuyer
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29762,dégager les narines et débarrasser ses cils de la matière
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29840,dressée une bibliothèque géante . Leonal Baltimore suivit un moment
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29849,moment leur évolution paresseuse . Il savait qu' il allait
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29852,"paresseuse . Il savait qu' il allait mourir , mais"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29857,"il allait mourir , mais il ne pensait pas précisément"
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29863,ne pensait pas précisément à sa mort . Il laissait
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29866,précisément à sa mort . Il laissait descendre en lui
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29870,. Il laissait descendre en lui la tranquillité de l'
Volodine-Andoine_Les-aigles-puent_<Leonal Baltimore-1114>_29884,comme si les blessures qu' il avait reçues se situaient
