,text_surronding
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_45,"l' après - midi chez Jean Daragane , dans la"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_145,« J' aimerais parler à M . Jean Daragane .
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_164,sa première impression . « Monsieur Daragane ? Vous m'
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_167,. « Monsieur Daragane ? Vous m' entendez ? »
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_172,Vous m' entendez ? » Daragane voulut raccrocher . Mais
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_205,téléphone . . . « Lui - même . —
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_223,"adresses , monsieur . » Il l' avait perdu le"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_234,dernier dans un train qui l' emmenait sur la Côte
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_265,glissé de la poche de sa veste au moment où
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_270,sa veste au moment où il en sortait son billet
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_273,moment où il en sortait son billet pour le présenter
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_282,présenter au contrôleur . « J' ai trouvé un carnet
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_290,un carnet d' adresses à votre nom . » Sur
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_311,"CE CARNET À . Et Daragane , un jour ,"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_321,"machinalement , y avait écrit son nom , son adresse"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_324,"avait écrit son nom , son adresse et son numéro"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_327,"nom , son adresse et son numéro de téléphone ."
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_333,numéro de téléphone . « Je vous le rapporte à
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_365,". Et même , pensa Daragane , un ton de"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_374,de maître chanteur . « Je préférerais que nous nous
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_385,à l' extérieur . » Il avait fait un effort
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_392,fait un effort pour surmonter son malaise . Mais sa
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_396,"surmonter son malaise . Mais sa voix , qu' il"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_400,"Mais sa voix , qu' il aurait voulu indifférente ,"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_405,"il aurait voulu indifférente , lui sembla brusquement une voix"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_420,"voudrez , monsieur . » Il y eut un silence"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_431,« C' est dommage . Je suis tout près de
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_439,près de chez vous . J' aurais aimé vous le
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_450,en main propre . » Daragane se demanda si l'
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_454,» Daragane se demanda si l' homme ne se tenait
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_465,devant l' immeuble et s' il ne resterait pas là
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_473,"pas là , en guettant sa sortie . Il fallait"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_481,Il fallait se débarrasser de lui au plus vite .
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_496,"après - midi , finit - il par dire ."
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_511,"Mais alors , près de mon lieu de travail ."
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_526,Saint - Lazare . » Il était sur le point
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_535,"point de raccrocher , mais il garda son sang -"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_537,"raccrocher , mais il garda son sang - froid ."
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_543,sang - froid . « Vous connaissez la rue de
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_572,de l' Arcade . » Daragane nota l' adresse .
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_577,Daragane nota l' adresse . Il reprit son souffle et
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_579,l' adresse . Il reprit son souffle et dit :
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_582,Il reprit son souffle et dit : « Très bien
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_608,du soir . » Puis il raccrocha sans attendre la
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_615,sans attendre la réponse de son interlocuteur . Il regretta
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_618,réponse de son interlocuteur . Il regretta aussitôt de s'
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_631,"manière aussi brutale , mais il mit cela au compte"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_658,de septembre . Elle renforçait sa solitude . Elle l'
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_662,renforçait sa solitude . Elle l' obligeait à rester enfermé
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_694,"Et le portable , sur son bureau , il se"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_697,", sur son bureau , il se demanda quand il"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_701,", il se demanda quand il l' avait utilisé pour"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_710,pour la dernière fois . Il savait à peine s'
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_719,s' en servir et se trompait souvent quand il appuyait
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_722,et se trompait souvent quand il appuyait sur les touches
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_736,"n' avait pas téléphoné , il aurait oublié pour toujours"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_747,perte de ce carnet . Il tentait de se souvenir
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_762,". La semaine précédente , il voulait même le reconstituer"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_774,"sur une feuille blanche , il avait commencé à dresser"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_788,"bout d' un instant , il avait déchiré la feuille"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_805,personnes qui avaient compté dans sa vie et dont il
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_809,dans sa vie et dont il n' avait jamais eu
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_825,les numéros de téléphone . Il les savait par cœur
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_886,. La seule chose qui l' avait préoccupé après la
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_900,"était d' y avoir mentionné son nom à lui ,"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_903,"avoir mentionné son nom à lui , et son adresse"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_906,"nom à lui , et son adresse . Bien sûr"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_912,"adresse . Bien sûr , il pouvait ne pas donner"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_946,"suspens , une menace . Il avait souvent rêvé ,"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_970,et qu' une voix douce lui donnerait rendez - vous
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_976,donnerait rendez - vous . Il se rappelait le titre
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_985,titre d' un roman qu' il avait lu : Le
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1009,il pas encore fini pour lui . Mais la voix
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1020,tout à l' heure ne lui inspirait pas confiance .
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1037,cette voix . Oui . Il demanda au chauffeur de
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1044,au chauffeur de taxi de le laisser à la Madeleine
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1073,trottoir de l' ombre . Il suivait la rue de
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1088,silencieuse sous le soleil . Il ne s' était pas
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1101,parages depuis une éternité . Il se souvint que sa
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1105,. Il se souvint que sa mère jouait dans un
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1115,théâtre des environs et que son père occupait un bureau
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1136,"73 , boulevard Haussmann . Il fut étonné d' avoir"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1207,ou un ancien Wimpy . Daragane s' assit à l'
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1218,des tables du fond . Cet inconnu viendrait - il
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1221,fond . Cet inconnu viendrait - il au rendez -
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1268,du 73 . . . Il se demanda si l'
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1279,des fenêtres du bureau de son père ne donnait pas
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1300,ces souvenirs se dérobaient à lui au fur et à
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1324,se volatilisent au réveil . Sa mémoire aurait été plus
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1343,"le théâtre , là où il attendait sa mère ,"
Modiano-Patrick_Pour-que-tu-ne-te-perdes-pas-dans-le-quartier_<Jean Daragane-3>_1345,", là où il attendait sa mère , ou aux"
