,text_surronding
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34499,", distinguer la voix de Fabian . Que faisait -"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34503,de Fabian . Que faisait - il en ce lieu
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34510,en ce lieu ? Allait - il y chercher son
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34514,Allait - il y chercher son ennemi ? La catastrophe
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34556,"des joueurs , je vis Fabian . Il était debout"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34558,", je vis Fabian . Il était debout et faisait"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34562,". Il était debout et faisait face à Drake ,"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34575,. Je me précipitai vers Fabian . Sans doute Harry
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34583,"doute Harry Drake venait de l' insulter grossièrement , car"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34591,", car la main de Fabian se leva sur lui"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34595,"de Fabian se leva sur lui , et si elle"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34601,", et si elle ne l' atteignit pas au visage"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34615,"Corsican , apparaissant soudain , l' arrêta d' un geste"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34623,"un geste rapide . Mais Fabian , s' adressant à"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34628,"Fabian , s' adressant à son adversaire , lui dit"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34631,"adressant à son adversaire , lui dit de sa voix"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34632,"à son adversaire , lui dit de sa voix froidement"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34634,"adversaire , lui dit de sa voix froidement railleuse :«"
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34640,voix froidement railleuse :« Tenez - vous ce soufflet pour
Verne-Jules_Une-Ville-flottante_<Fabian-2028>_34715,"d' émotion . Cependant , Fabian avait relevé la carte"
