,text_surronding
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38838,"la Pagode - Karaneeswarar , Sanjeev vient d' entrer dans"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38851,docteur Gopal : – Alors tu vas mieux ? demande
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38860,"demande celui - ci , tu es content de ton"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38864,", tu es content de ton traitement ? – Beaucoup"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38872,"– Beaucoup mieux , répond Sanjeev . Très content ."
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38877,Sanjeev . Très content . Il paraît en effet content
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38886,"content d' aller mieux , ses yeux rosissent de plaisir"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38892,"yeux rosissent de plaisir , ses pupilles s' étrécissent de"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38899,s' étrécissent de joie . Son regard est fixement satisfait
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38913,"mieux , insiste - t - il . J' en"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38916,- t - il . J' en voudrais bien encore
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38947,que c' est ce qui te convient . Nous sommes
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38976,doses . Donc je vais te donner dix grammes de
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_38995,"beaucoup , croit se rappeler Sanjeev . – Regarde ,"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39000,"Sanjeev . – Regarde , lui dit le docteur en"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39048,"beaucoup plus que ce que Sanjeev croyait , Sanjeev est"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39051,"ce que Sanjeev croyait , Sanjeev est enchanté . –"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39058,enchanté . – Et puis tu vas cesser la voie
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39070,"prescrit le docteur , je te montrerai comment l' injecter"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39090,"dites , docteur , dit Sanjeev , comment vous remercier"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39111,"me remercie pas . Comme tu vas le voir ,"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39124,"dix roupies , je ne te demande rien en échange"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39143,"un tout petit peu de ton sang , tu vois"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39146,"peu de ton sang , tu vois que c' est"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39155,est peu de chose . Tu n' y vois pas
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39166,"inconvénient ? – Tant que vous voulez , s' égare"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39171,"vous voulez , s' égare Sanjeev . – Cela doit"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39188,"C' est du sang , tu vois , c' est"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39205,"Bien sûr , hoche gravement Sanjeev . – Donc ce"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39218,"du tout , je vais t' en prendre juste un"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39235,"– No problem , dit Sanjeev . – Et puis"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39240,Sanjeev . – Et puis tu reviens quand tu veux
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39243,"Et puis tu reviens quand tu veux , tu sais"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39246,"reviens quand tu veux , tu sais , dit Gopal"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39255,Gopal . Relève un peu ta manche . 18 –
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39267,"dans un état lamentable , ce garçon , diagnostiqua Béliard"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39291,"jumelles à son échelle , Sanjeev totalement effondré sur le"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39298,effondré sur le guidon de son véhicule en plein soleil
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39316,du Club cosmopolite . – Tu ne veux pas aller
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39324,pas aller voir ce qu' il a ? Grâce aux
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39334,"bons soins de Gopal , Gloire avait recouvré le sommeil"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39365,"pas trop envie , gémit - elle sans ouvrir un"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39372,"sans ouvrir un œil , fous - moi la paix"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39373,"ouvrir un œil , fous - moi la paix ."
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39383,"Vas - y , je te dis , insista Béliard"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39394,J' ai l' impression qu' il n' est pas bien
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39400,n' est pas bien . Elle bâillait en longeant la
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39427,ciel au - dessus de sa tête était raturé de
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39449,d' albizias frémissaient tranquillement sur son passage et les crapauds
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39463,"mare , continuaient d' absorber l' animalcule . Gloire franchit"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39466,"d' absorber l' animalcule . Gloire franchit le portail ,"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39472,"franchit le portail , s' arrêta un instant : de"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39484,"vu d' ici , vraiment Sanjeev n' avait pas l'"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39504,"quelque temps , les services du jeune homme faisaient montre"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39526,"ou trois jours contenu , son rhume avait non seulement"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39540,"mais s' aggravait exponentiellement . Il toussait à présent ,"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39546,"toussait à présent , se voûtait . Sa belle équanimité"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39548,"présent , se voûtait . Sa belle équanimité même se"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39565,"assidu , moins précis , Sanjeev se révélait plus irritable"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39578,gain voire dissimulateur . Cependant il gardait sans doute assez
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39586,doute assez de confiance en Gloire pour consentir – lorsqu'
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39591,Gloire pour consentir – lorsqu' elle vint le secouer délicatement
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39593,"consentir – lorsqu' elle vint le secouer délicatement , lui"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39597,"vint le secouer délicatement , lui demander si tout allait"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39611,"qu' on y était , le questionner en douceur sur"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39651,"l' administration d' intraveineuses , sa vie n' était plus"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39668,"seringues à double sens . Gloire le considéra fixement ,"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39669,"à double sens . Gloire le considéra fixement , sans"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39680,"exprimer d' abord . Attendez - moi là , lui"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39684,"Attendez - moi là , lui dit - elle ensuite"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39686,"moi là , lui dit - elle ensuite , je"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39690,"dit - elle ensuite , je reviens . – Je"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39694,", je reviens . – Je t' avais bien dit"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39695,je reviens . – Je t' avais bien dit de
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39706,"méfier de ce type , lui remémorait Béliard quand elle"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39710,", lui remémorait Béliard quand elle eut résumé la situation"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39720,quelques minutes plus tard . Tu vois ce dont il
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39734,", après tout , il t' a plutôt pas mal"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39748,qu' est - ce que tu fais ? – Je
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39752,"que tu fais ? – Je me change , dit"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39757,"Je me change , dit Gloire en retirant sans méthode"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39768,"vêtements d' un placard . Tu avais raison , mais"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39781,pas laisser faire ça . Je vais lui demander des
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39788,lui demander des comptes . Béliard couvrit son front de
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39790,des comptes . Béliard couvrit son front de sa main
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39793,Béliard couvrit son front de sa main : mais elle
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39797,de sa main : mais elle est folle ou quoi
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39803,est folle ou quoi ? Je te le déconseille formellement
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39804,"folle ou quoi ? Je te le déconseille formellement ,"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39810,"le déconseille formellement , fit - il sur un ton"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39819,"ton d' évidence , ne te mêle pas de ça"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39833,", c' est fait . Laisse tomber . N' y"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39843,va pas . Attends . Reviens . Mais reviens .
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39861,", exorbité , Sanjeev déposait Gloire rue de la Pagode"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39870,"Pagode - Karaneeswarar . Gopal la reçut immédiatement , regard"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39879,regard toujours aussi volumineux derrière ses verres et sourire en
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39889,stuc . Sans un mot elle s' assit en face
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39895,s' assit en face de lui . On voit tout
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39908,"ça va mieux , dit le praticien , vous avez"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39911,", dit le praticien , vous avez meilleure apparence ."
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39916,vous avez meilleure apparence . Je crois que le traitement
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39921,Je crois que le traitement vous convient bien . Nous
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39931,allons poursuivre les soins mais je souhaiterais que nous commencions
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39956,"bon , la relaxation . Je vous en foutrai ,"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39957,", la relaxation . Je vous en foutrai , de"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39966,"de la relaxation , répondit Gloire , vous êtes un"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39968,"relaxation , répondit Gloire , vous êtes un beau salaud"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39970,"répondit Gloire , vous êtes un beau salaud . Je"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39974,êtes un beau salaud . Je vous demande pardon ?
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39975,un beau salaud . Je vous demande pardon ? fit
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39980,vous demande pardon ? fit Gopal . Vous êtes une
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39982,pardon ? fit Gopal . Vous êtes une belle ordure
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39984,"fit Gopal . Vous êtes une belle ordure , développa"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39991,"ordure , développa - t - elle , je sais"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39994,"- t - elle , je sais ce que vous"
Echenoz-Jean_Les-Grandes-Blondes_<Sanjeev-1678>_39998,", je sais ce que vous faites avec le petit"
