,text_surronding
Simon-Claude_La-corde-raide_<Moi-2194>_46791,y voir quelque chose . Moi pas . Je peux
Simon-Claude_La-corde-raide_<Moi-2194>_46794,chose . Moi pas . Je peux voir des choses
Simon-Claude_La-corde-raide_<Moi-2194>_46807,quelque chose . Et pourtant j' ai cru pendant un
Simon-Claude_La-corde-raide_<Moi-2194>_46814,cru pendant un moment que je pourrais être peintre .
Simon-Claude_La-corde-raide_<Moi-2194>_46835,cause de Picasso . Excusez - moi de vous interrompre
Simon-Claude_La-corde-raide_<Moi-2194>_46844,"interrompre , Monsieur , Mais je voudrais demander une explication"
Simon-Claude_La-corde-raide_<Moi-2194>_46852,une explication . Vous allez me faire perdre mon sujet
Simon-Claude_La-corde-raide_<Moi-2194>_46855,Vous allez me faire perdre mon sujet . Ne pouvez
Simon-Claude_La-corde-raide_<Moi-2194>_46868,reprendre ensuite ? Difficile . Mon sujet n' attend pas
Simon-Claude_La-corde-raide_<Moi-2194>_46911,"figures qui courent , et moi au milieu d' eux"
Simon-Claude_La-corde-raide_<Moi-2194>_46923,"en perdre haleine , pour me maintenir à leur hauteur"
Simon-Claude_La-corde-raide_<Moi-2194>_46967,"ces conditions , pourquoi écrivez - vous ? Pour essayer"
Simon-Claude_La-corde-raide_<Moi-2194>_46973,vous ? Pour essayer de me rappeler ce qui s'
Simon-Claude_La-corde-raide_<Moi-2194>_46984,passé pendant le moment où j' écrivais . Je crois
Simon-Claude_La-corde-raide_<Moi-2194>_46987,moment où j' écrivais . Je crois que je saisis
Simon-Claude_La-corde-raide_<Moi-2194>_46990,écrivais . Je crois que je saisis ce que vous
Simon-Claude_La-corde-raide_<Moi-2194>_46998,que vous voulez dire . Je vous remercie . Si
Simon-Claude_La-corde-raide_<Moi-2194>_47006,". Si vous permettez , je pourrais courir à côté"
Simon-Claude_La-corde-raide_<Moi-2194>_47015,côté de vous et vous me répondriez . Qu' est
Simon-Claude_La-corde-raide_<Moi-2194>_47026,ce que vous voulez ? Je ne comprends rien à
Simon-Claude_La-corde-raide_<Moi-2194>_47034,rien à Picasso . Expliquez - moi . Qu' est
Simon-Claude_La-corde-raide_<Moi-2194>_47042,Qu' est - ce que vous faites dans la vie
Simon-Claude_La-corde-raide_<Moi-2194>_47050,la vie ? Mathématicien . Comprends rien à Reimann .
Simon-Claude_La-corde-raide_<Moi-2194>_47063,. Ne plaisantez pas . Vous savez bien que ce
Simon-Claude_La-corde-raide_<Moi-2194>_47081,veut - il dire que vous pensez que la peinture
Simon-Claude_La-corde-raide_<Moi-2194>_47127,effrayer eux - mêmes . J' ai vu un tableau
Simon-Claude_La-corde-raide_<Moi-2194>_47158,les Espagnols sont catholiques . J' avais entendu dire qu'
Simon-Claude_La-corde-raide_<Moi-2194>_47183,"Catholique . Si ce que vous dites est vrai ,"
Simon-Claude_La-corde-raide_<Moi-2194>_47206,il fait est diabolique . Je regrette encore de vous
Simon-Claude_La-corde-raide_<Moi-2194>_47210,". Je regrette encore de vous contredire , mais la"
Simon-Claude_La-corde-raide_<Moi-2194>_47310,Créateur . Alors comment appelez - vous tout ce qu'
Simon-Claude_La-corde-raide_<Moi-2194>_47327,tours de singes . Voulez - vous dire que ce
Simon-Claude_La-corde-raide_<Moi-2194>_47396,", mais je crains que vous ne puissiez voir ,"
Simon-Claude_La-corde-raide_<Moi-2194>_47401,"vous ne puissiez voir , vous , en visitant les"
Simon-Claude_La-corde-raide_<Moi-2194>_47446,. Je comprends maintenant pourquoi vous aimez Picasso . Vous
Simon-Claude_La-corde-raide_<Moi-2194>_47450,pourquoi vous aimez Picasso . Vous êtes un farceur comme
Simon-Claude_La-corde-raide_<Moi-2194>_47475,", pour le moment , je ne suis pas un"
Simon-Claude_La-corde-raide_<Moi-2194>_47479,", je ne suis pas un farceur . Du moins"
Simon-Claude_La-corde-raide_<Moi-2194>_47489,dans le sens où probablement vous entendez ce mot .
Simon-Claude_La-corde-raide_<Moi-2194>_47494,vous entendez ce mot . Vous admettez qu' il en
Simon-Claude_La-corde-raide_<Moi-2194>_47555,rues . Je retiens que vous avouez la farce .
Simon-Claude_La-corde-raide_<Moi-2194>_47572,chose comme ça . Avez - vous lu Rabelais ?
Simon-Claude_La-corde-raide_<Moi-2194>_47606,pas drôle ! Et trouvez - vous que le monde
Simon-Claude_La-corde-raide_<Moi-2194>_47643,ai peur que ce qui vous paraît le moins farceur
Simon-Claude_La-corde-raide_<Moi-2194>_47668,moi encore une fois . Vous trouvez vraiment que tous
Simon-Claude_La-corde-raide_<Moi-2194>_47779,sont probablement ces choses qui vous déplaisent le moins .
Simon-Claude_La-corde-raide_<Moi-2194>_47804,"l' on doive admirer . Cher Monsieur , je ne"
Simon-Claude_La-corde-raide_<Moi-2194>_47821,"jamais rien admirer . Je vous l' ai dit ,"
Simon-Claude_La-corde-raide_<Moi-2194>_47838,l' on peut admirer si vous préférez . Personne dans
Simon-Claude_La-corde-raide_<Moi-2194>_47860,"et en Espagne , ne vous empêche d' admirer quoi"
Simon-Claude_La-corde-raide_<Moi-2194>_47870,que ce soit . Si votre plaisir réside dans le
Simon-Claude_La-corde-raide_<Moi-2194>_47899,parler avec un écrivain . Vous jouez sur les mots
Simon-Claude_La-corde-raide_<Moi-2194>_47913,- moi alors ce que vous aimez . Ce qui
Simon-Claude_La-corde-raide_<Moi-2194>_47923,m' apporte quelque chose . Vous ne pouvez pas me
Simon-Claude_La-corde-raide_<Moi-2194>_47941,les choses précises . Si vous voulez . Disons l'
Simon-Claude_La-corde-raide_<Moi-2194>_47958,jeu de mots . Si vous préférez ce que je
Simon-Claude_La-corde-raide_<Moi-2194>_47962,Si vous préférez ce que je ne savais pas que
Simon-Claude_La-corde-raide_<Moi-2194>_47967,je ne savais pas que j' attendais . Ce que
Simon-Claude_La-corde-raide_<Moi-2194>_47972,j' attendais . Ce que je désirais réellement au lieu
Simon-Claude_La-corde-raide_<Moi-2194>_47980,au lieu de ce que je croyais désirer . Et
Simon-Claude_La-corde-raide_<Moi-2194>_47988,. Et à quoi reconnaissez - vous ce que vous
Simon-Claude_La-corde-raide_<Moi-2194>_47992,"reconnaissez - vous ce que vous attendiez réellement , puisque"
Simon-Claude_La-corde-raide_<Moi-2194>_47997,"vous attendiez réellement , puisque vous ne saviez pas que"
Simon-Claude_La-corde-raide_<Moi-2194>_48002,vous ne saviez pas que vous l' attendiez ? À
Simon-Claude_La-corde-raide_<Moi-2194>_48010,? À ce que ça me rassasie . Ça m'
Simon-Claude_La-corde-raide_<Moi-2194>_48014,ça me rassasie . Ça m' apaise et ça comble
Simon-Claude_La-corde-raide_<Moi-2194>_48022,ça comble un vide en moi . Et les tableaux
Simon-Claude_La-corde-raide_<Moi-2194>_48029,Et les tableaux de Picasso vous apaisent ? Ces femmes
Simon-Claude_La-corde-raide_<Moi-2194>_48038,femmes avec des têtes à vous donner le cauchemar et
Simon-Claude_La-corde-raide_<Moi-2194>_48049,corps difformes ! Écoutez : je ne voudrais pas que
Simon-Claude_La-corde-raide_<Moi-2194>_48054,je ne voudrais pas que vous me preniez pour un
Simon-Claude_La-corde-raide_<Moi-2194>_48055,ne voudrais pas que vous me preniez pour un vieux
Simon-Claude_La-corde-raide_<Moi-2194>_48063,un vieux type retardataire . Je vous assure que j'
Simon-Claude_La-corde-raide_<Moi-2194>_48064,vieux type retardataire . Je vous assure que j' aime
Simon-Claude_La-corde-raide_<Moi-2194>_48067,. Je vous assure que j' aime la peinture moderne
Simon-Claude_La-corde-raide_<Moi-2194>_48076,"moderne . Par exemple , j' ai vu , il"
Simon-Claude_La-corde-raide_<Moi-2194>_48096,toiles récentes de Matisse qui m' a beaucoup plu .
Simon-Claude_La-corde-raide_<Moi-2194>_48104,plu . Tant pis pour vous . Pourquoi ? Parce
Simon-Claude_La-corde-raide_<Moi-2194>_48116,est gâteux . Que voulez - vous dire ? Je
Simon-Claude_La-corde-raide_<Moi-2194>_48120,voulez - vous dire ? Je veux dire qu' il
Simon-Claude_La-corde-raide_<Moi-2194>_48182,il ne peut plus . J' ai trouvé qu' il
Simon-Claude_La-corde-raide_<Moi-2194>_48194,de jolies couleurs . On m' a dit qu' il
Simon-Claude_La-corde-raide_<Moi-2194>_48210,bouquet . Pourquoi n' achetez - vous pas des fleurs
Simon-Claude_La-corde-raide_<Moi-2194>_48217,pas des fleurs ? On m' a dit qu' il
Simon-Claude_La-corde-raide_<Moi-2194>_48241,l' impuissance . Alors à votre avis ça ne vaut
Simon-Claude_La-corde-raide_<Moi-2194>_48255,fois ça vaut encore comme vous dites . Cher Monsieur
Simon-Claude_La-corde-raide_<Moi-2194>_48258,"encore comme vous dites . Cher Monsieur , vous savez"
Simon-Claude_La-corde-raide_<Moi-2194>_48261,"dites . Cher Monsieur , vous savez ce qui arrive"
Simon-Claude_La-corde-raide_<Moi-2194>_48349,très intéressant . Et dites - moi : pensez -
Simon-Claude_La-corde-raide_<Moi-2194>_48353,dites - moi : pensez - vous que Picasso puisse
Simon-Claude_La-corde-raide_<Moi-2194>_48360,que Picasso puisse encore … Je n' y ai pas
Simon-Claude_La-corde-raide_<Moi-2194>_48369,pas été voir . Cela m' aurait intéressé . Vous
Simon-Claude_La-corde-raide_<Moi-2194>_48373,Cela m' aurait intéressé . Vous ne le connaissez donc
Simon-Claude_La-corde-raide_<Moi-2194>_48386,. C' est dommage . Je pensais que vous auriez
Simon-Claude_La-corde-raide_<Moi-2194>_48389,dommage . Je pensais que vous auriez pu m' expliquer
Simon-Claude_La-corde-raide_<Moi-2194>_48392,pensais que vous auriez pu m' expliquer pourquoi il était
Simon-Claude_La-corde-raide_<Moi-2194>_48399,pourquoi il était communiste . Je vous ai dit que
Simon-Claude_La-corde-raide_<Moi-2194>_48400,il était communiste . Je vous ai dit que c'
Simon-Claude_La-corde-raide_<Moi-2194>_48418,ce l' unique raison ? Vous êtes un malin .
Simon-Claude_La-corde-raide_<Moi-2194>_48425,un malin . Imaginez si vous voulez qu' il éprouve
Simon-Claude_La-corde-raide_<Moi-2194>_48444,"réserve ses tableaux . Et vous , vous êtes communiste"
Simon-Claude_La-corde-raide_<Moi-2194>_48446,"tableaux . Et vous , vous êtes communiste ? Ça"
Simon-Claude_La-corde-raide_<Moi-2194>_48462,". Dans ce cas , vous n' êtes pas communiste"
Simon-Claude_La-corde-raide_<Moi-2194>_48471,communiste . Ce sera comme vous voudrez . Je vous
Simon-Claude_La-corde-raide_<Moi-2194>_48474,sera comme vous voudrez . Je vous demande pardon .
Simon-Claude_La-corde-raide_<Moi-2194>_48475,comme vous voudrez . Je vous demande pardon . Je
Simon-Claude_La-corde-raide_<Moi-2194>_48479,Je vous demande pardon . Je n' avais pas l'
Simon-Claude_La-corde-raide_<Moi-2194>_48500,habitués aux choses précises . Vous êtes tout excusé .
Simon-Claude_La-corde-raide_<Moi-2194>_48505,Vous êtes tout excusé . Il n' y pas que
Simon-Claude_La-corde-raide_<Moi-2194>_48511,n' y pas que dans votre métier . D' une
Simon-Claude_La-corde-raide_<Moi-2194>_48525,gens adorent les classifications . Je ne voudrais pas que
Simon-Claude_La-corde-raide_<Moi-2194>_48530,Je ne voudrais pas que vous alliez croire que je
Simon-Claude_La-corde-raide_<Moi-2194>_48534,que vous alliez croire que je vous demandais cela par
Simon-Claude_La-corde-raide_<Moi-2194>_48535,vous alliez croire que je vous demandais cela par pure
Simon-Claude_La-corde-raide_<Moi-2194>_48542,cela par pure curiosité . J' ai moi - même
Simon-Claude_La-corde-raide_<Moi-2194>_48544,pure curiosité . J' ai moi - même l' intention
Simon-Claude_La-corde-raide_<Moi-2194>_48556,inscrire au Parti Communiste . Je pense que vous avez
Simon-Claude_La-corde-raide_<Moi-2194>_48559,Communiste . Je pense que vous avez tout à fait
Simon-Claude_La-corde-raide_<Moi-2194>_48568,fait raison . Le pensez - vous vraiment ? Vous
