,text_surronding
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32361,avion supersonique vers la cabine du commandant . Par une
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32390,me casse le nez sur l' officier . Il a
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32393,nez sur l' officier . Il a fière allure dans
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32398,Il a fière allure dans son impeccable uniforme blanc .
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32403,son impeccable uniforme blanc . Il me regarde distraitement .
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32409,me regarde distraitement . Pour lui je ne suis qu'
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32418,qu' un docker . Puis il me reconnaît et sursaute
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32422,Puis il me reconnaît et sursaute . — Vous !
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32428,". — Vous ! — Moi ! Commandant , je"
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32430,"Vous ! — Moi ! Commandant , je n' ai"
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32432,"— Moi ! Commandant , je n' ai pas le"
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32439,ai pas le temps de vous expliquer . Je veux
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32442,temps de vous expliquer . Je veux seulement vous poser
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32445,expliquer . Je veux seulement vous poser une question :
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32451,poser une question : avez - vous toujours les plans
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32464,naturellement ! Quelle question ! Vous savez bien qu' ils
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32475,dans … Ma question semble l' avoir quelque peu vexé
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32482,quelque peu vexé . Je lui prends le bras dans
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32493,élan de supplication . — Commandant . Je vous demande
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32495,supplication . — Commandant . Je vous demande de vérifier
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32496,. — Commandant . Je vous demande de vérifier …
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32501,vous demande de vérifier … Il fronce les sourcils .
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32510,". — Soit . Mais vous tombez mal , car"
San-Antonio_Tu-vas-trinquer-San-Antonio_<du commandant-1541>_32515,"vous tombez mal , car j' ai des obligations impérieuses"
