,text_surronding
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44028,", et ma mère . Mme Letellier attendait ma réponse"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44056,Je désirais vivement ne point la faire trop attendre ;
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44062,faire trop attendre ; aussi lui ai - je dit
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44081,"échapper mes pleurs : — Madame , pour contribuer au"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44150,oubliât ses anciennes promesses . Vous pouvez donc être certaine
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44180,", pardonnez - moi , madame , — et que"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44212,Ce dernier trait serait de votre part généreux au delà
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44221,"delà de toute expression , mon enfant , a repris"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44226,"mon enfant , a repris Mme Letellier avec un sourire"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44248,"un pareil sacrifice . — Madame , me suis -"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44276,"d' Aubars , et si vous connaissez l' histoire de"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44284,"histoire de ma famille , vous savez qu' aucun des"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44354,"mon oncle sera sauvé ; madame , soyez contente ."
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44356,"sera sauvé ; madame , soyez contente . — Je"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44360,", soyez contente . — Je comprends , vous avez"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44363,". — Je comprends , vous avez besoin d' être"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44373,"seule , chère Marie , me dit Mme Letellier se"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44375,"chère Marie , me dit Mme Letellier se levant doucement"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44381,Letellier se levant doucement et me regardant d' un air
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44391,"de pitié tout aimable . Je vous laisse , mon"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44395,". Je vous laisse , mon enfant , et ,"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44403,"et , en partant , je vous le recommande ,"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44427,". A votre âge , ma toute belle , un"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44461,"évanoui enfumée . . . Ma bonne amie , bien"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44554,"parlons plus , m' écriai - je . Jusqu' à"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44561,". Jusqu' à présent , je ne songeais guère au"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44570,"au mariage ; maintenant , j' y songerai moins encore"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44577,"songerai moins encore . Ne m' affaiblissez point , ne"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44582,"m' affaiblissez point , ne m' irritez point par de"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44590,par de semblables promesses qui me blessent et me torturent
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44593,promesses qui me blessent et me torturent . . .
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44598,me torturent . . . Soyez en paix sur mon
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44602,. Soyez en paix sur mon sort ; je ne
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44605,paix sur mon sort ; je ne me plaindrai jamais
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44611,ne me plaindrai jamais et je ne demande rien .
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44628,. rien de personne . Mon irritation était en ce
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44638,"moment si vive , que je m' étais levée en"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44650,"mots . Soudain la force m' a manqué , et"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44655,"m' a manqué , et je suis retombée brusquement sur"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44660,je suis retombée brusquement sur ma chaise . Mme Letellier
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44675,"être à avoir pitié de moi , a compris qu'"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44685,il serait bien dur pour moi de pleurer devant elle
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44699,hâtée de sortir . Et je suis seule maintenant .
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44707,maintenant . . . et je souffre . . .
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44713,souffre . . . et je pleure ! . .
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44719,pleure ! . . . Je voulais parler à Emmanuel
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44730,"matin . . . De ma fenêtre , tout à"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44738,"tout à l' heure , je l' ai vu sortir"
Marcel-Etienne_Souvenirs-d-une-jeune-fille_<Mme Letellier-1677>_44745,"ai vu sortir , et j' en suis contente ,"
