,text_surronding
Guy-de-Maupassant_La-main-gauche_<je-199>_4169,"souriants , impénétrables . Si je vous disais qu' en"
Guy-de-Maupassant_La-main-gauche_<je-199>_4179,"regardant de loin , avec ma jumelle , le campement"
Guy-de-Maupassant_La-main-gauche_<je-199>_4186,", le campement voisin , je devine qu' ils ont"
Guy-de-Maupassant_La-main-gauche_<je-199>_4263,"verrouillée entre les races , je la sentais soudain ,"
Guy-de-Maupassant_La-main-gauche_<je-199>_4269,"la sentais soudain , comme je ne l' avais jamais"
Guy-de-Maupassant_La-main-gauche_<je-199>_4282,"entre cette fille arabe et moi , entre cette femme"
Guy-de-Maupassant_La-main-gauche_<je-199>_4302,d' offrir son corps à ma caresse et moi qui
Guy-de-Maupassant_La-main-gauche_<je-199>_4305,corps à ma caresse et moi qui l' avais possédée
Guy-de-Maupassant_La-main-gauche_<je-199>_4306,à ma caresse et moi qui l' avais possédée .
Guy-de-Maupassant_La-main-gauche_<je-199>_4311,"qui l' avais possédée . Je lui demandai , y"
Guy-de-Maupassant_La-main-gauche_<je-199>_4335,quelques instants sans parler et je la vis tressaillir comme
Guy-de-Maupassant_La-main-gauche_<je-199>_4346,"elle venait d' oublier que j' étais là , tout"
Guy-de-Maupassant_La-main-gauche_<je-199>_4361,"dans ses yeux levés sur moi , je devinai que"
Guy-de-Maupassant_La-main-gauche_<je-199>_4363,"yeux levés sur moi , je devinai que cette minute"
Guy-de-Maupassant_La-main-gauche_<je-199>_4412,la bouche :– Allouma . Je repris :– Tu as
Guy-de-Maupassant_La-main-gauche_<je-199>_4438,"Elle s' allongea tranquillement à mon côté , étendue sur"
Guy-de-Maupassant_La-main-gauche_<je-199>_4455,"ses bras croisés , et je sentis presque tout de"
Guy-de-Maupassant_La-main-gauche_<je-199>_4474,"éteinte dans le repos . Moi , je me mis"
Guy-de-Maupassant_La-main-gauche_<je-199>_4476,"le repos . Moi , je me mis à rêver"
Guy-de-Maupassant_La-main-gauche_<je-199>_4493,à comprendre . Pourquoi Mohammed me l' avait - il
Guy-de-Maupassant_La-main-gauche_<je-199>_4548,moins généreuse en jetant dans mon lit cette fille qui
Guy-de-Maupassant_La-main-gauche_<je-199>_4553,mon lit cette fille qui m' avait plu ? L'
Guy-de-Maupassant_La-main-gauche_<je-199>_4601,". Peut - être avais - je devancé , en"
Guy-de-Maupassant_La-main-gauche_<je-199>_4621,de ce prévoyant domestique qui m' avait destiné cette femme
Guy-de-Maupassant_La-main-gauche_<je-199>_4643,être . Toutes ces suppositions m' assaillirent et me fatiguèrent
Guy-de-Maupassant_La-main-gauche_<je-199>_4646,ces suppositions m' assaillirent et me fatiguèrent si bien que
Guy-de-Maupassant_La-main-gauche_<je-199>_4653,si bien que tout doucement je glissai à mon tour
Guy-de-Maupassant_La-main-gauche_<je-199>_4656,tout doucement je glissai à mon tour dans un sommeil
Guy-de-Maupassant_La-main-gauche_<je-199>_4663,dans un sommeil profond . Je fus réveillé par le
Guy-de-Maupassant_La-main-gauche_<je-199>_4670,réveillé par le grincement de ma porte ; Mohammed entrait
Guy-de-Maupassant_La-main-gauche_<je-199>_4680,comme tous les matins pour m' éveiller . Il ouvrit
Guy-de-Maupassant_La-main-gauche_<je-199>_4712,"il ramassa sur le tapis mon pantalon , mon gilet"
Guy-de-Maupassant_La-main-gauche_<je-199>_4715,"le tapis mon pantalon , mon gilet et ma jaquette"
Guy-de-Maupassant_La-main-gauche_<je-199>_4718,"pantalon , mon gilet et ma jaquette afin de les"
Guy-de-Maupassant_La-main-gauche_<je-199>_4736,"sur la femme couchée à mon côté , ne parut"
Guy-de-Maupassant_La-main-gauche_<je-199>_4813,", ouvrit les yeux , me regarda , regarda Mohammed"
Guy-de-Maupassant_La-main-gauche_<je-199>_4845,- tu manger ? demandai - je . – Kahoua
Guy-de-Maupassant_La-main-gauche_<je-199>_4871,"près de notre couche , mes vêtements sur les bras"
Guy-de-Maupassant_La-main-gauche_<je-199>_4889,"déjeuner pour Allouma et pour moi , lui dis -"
Guy-de-Maupassant_La-main-gauche_<je-199>_4893,"pour moi , lui dis - je . Et il"
Guy-de-Maupassant_La-main-gauche_<je-199>_4917,"Quand il fut parti , je demandai à la jeune"
Guy-de-Maupassant_La-main-gauche_<je-199>_4929,"Veux - tu habiter dans ma maison ?– Oui ,"
Guy-de-Maupassant_La-main-gauche_<je-199>_4940,le veux bien . – Je te donnerai un appartement
Guy-de-Maupassant_La-main-gauche_<je-199>_4956,"pour te servir . – Tu es généreux , et"
Guy-de-Maupassant_La-main-gauche_<je-199>_4962,"es généreux , et je te suis reconnaissante . –"
Guy-de-Maupassant_La-main-gauche_<je-199>_4969,reconnaissante . – Mais si ta conduite n' est pas
Guy-de-Maupassant_La-main-gauche_<je-199>_4977,"est pas bonne , je te chasserai d' ici ."
Guy-de-Maupassant_La-main-gauche_<je-199>_4987,– Je ferai ce que tu exigeras de moi .
Guy-de-Maupassant_La-main-gauche_<je-199>_4994,de moi . Elle prit ma main et la baisa
Guy-de-Maupassant_La-main-gauche_<je-199>_5015,plateau avec le déjeuner . Je lui dis :– Allouma
Guy-de-Maupassant_La-main-gauche_<je-199>_5040,"bout du couloir , et tu feras venir ici pour"
Guy-de-Maupassant_La-main-gauche_<je-199>_5074,"Une heure plus tard , ma belle Arabe était installée"
Guy-de-Maupassant_La-main-gauche_<je-199>_5087,chambre claire ; et comme je venais m' assurer que
Guy-de-Maupassant_La-main-gauche_<je-199>_5097,"tout allait bien , elle me demanda , d' un"
Guy-de-Maupassant_La-main-gauche_<je-199>_5115,"une armoire à glace . Je promis , puis je"
Guy-de-Maupassant_La-main-gauche_<je-199>_5119,". Je promis , puis je la laissai accroupie sur"
Guy-de-Maupassant_La-main-gauche_<je-199>_5144,"avec la vieille Arabe que j' avais envoyé chercher ,"
Guy-de-Maupassant_La-main-gauche_<je-199>_5162,". Pendant un mois , je fus très heureux avec"
Guy-de-Maupassant_La-main-gauche_<je-199>_5169,très heureux avec elle et je m' attachai d' une
Guy-de-Maupassant_La-main-gauche_<je-199>_5185,"une autre race , qui me semblait presque d' une"
Guy-de-Maupassant_La-main-gauche_<je-199>_5199,sur une planète voisine . Je ne l' aimais pas
Guy-de-Maupassant_La-main-gauche_<je-199>_5340,moins douloureuse . Ce que j' éprouvai pour celle -
Guy-de-Maupassant_La-main-gauche_<je-199>_5347,"pour celle - ci , je ne saurais encore l'"
Guy-de-Maupassant_La-main-gauche_<je-199>_5358,d' une façon précise . Je vous disais tout à
Guy-de-Maupassant_La-main-gauche_<je-199>_5438,! Eh bien ! Allouma me prit de la même
Guy-de-Maupassant_La-main-gauche_<je-199>_5479,de ses doux abandons . Je la laissais absolument libre
Guy-de-Maupassant_La-main-gauche_<je-199>_5513,au milieu des femmes de mes agriculteurs indigènes . Souvent
Guy-de-Maupassant_La-main-gauche_<je-199>_5539,à glace en acajou que j' avais fait venir de
