,text_surronding
Valles-Jules_L-Enfant_<J'-1238>_27955,"sous les choux . » J' étais là , quand"
Valles-Jules_L-Enfant_<J'-1238>_27977,choux . » Le mot m' entra dans l' oreille
Valles-Jules_L-Enfant_<J'-1238>_27994,comme de la poix . M' a - t -
Valles-Jules_L-Enfant_<J'-1238>_28002,t - on égaré ? Ma mère est revenue .
Valles-Jules_L-Enfant_<J'-1238>_28015,"héritage s' est arrangée , je ne sais trop comment"
Valles-Jules_L-Enfant_<J'-1238>_28021,ne sais trop comment . Je suis retombé sous le
Valles-Jules_L-Enfant_<J'-1238>_28028,retombé sous le fouet et je ne suis plus libre
Valles-Jules_L-Enfant_<J'-1238>_28084,pour passer la journée . Ma mère n' a pas
Valles-Jules_L-Enfant_<J'-1238>_28093,pas eu le temps de m' enfermer . Je suis
Valles-Jules_L-Enfant_<J'-1238>_28096,"temps de m' enfermer . Je suis mon maître ,"
Valles-Jules_L-Enfant_<J'-1238>_28098,"m' enfermer . Je suis mon maître , un mardi"
Valles-Jules_L-Enfant_<J'-1238>_28241,est surpris et saisi . Je suis de garde un
Valles-Jules_L-Enfant_<J'-1238>_28251,des premiers . Voilà que je crois reconnaître le petit
Valles-Jules_L-Enfant_<J'-1238>_28276,de l' église … Il me semble qu' il fait
Valles-Jules_L-Enfant_<J'-1238>_28290,"vont arriver en masse ; je serai débordé , tourné"
Valles-Jules_L-Enfant_<J'-1238>_28307,"l' aubergiste , et toute ma rue ? Oserai -"
Valles-Jules_L-Enfant_<J'-1238>_28311,"toute ma rue ? Oserai - je y repasser ,"
Valles-Jules_L-Enfant_<J'-1238>_28317,"je y repasser , si je ne me défends pas"
Valles-Jules_L-Enfant_<J'-1238>_28325,défends pas en héros ? Mon parti est pris :
Valles-Jules_L-Enfant_<J'-1238>_28330,Mon parti est pris : j' ai mon tas de
Valles-Jules_L-Enfant_<J'-1238>_28332,"est pris : j' ai mon tas de pierres ,"
Valles-Jules_L-Enfant_<J'-1238>_28337,"mon tas de pierres , je charge ma fronde et"
Valles-Jules_L-Enfant_<J'-1238>_28339,"de pierres , je charge ma fronde et je la"
Valles-Jules_L-Enfant_<J'-1238>_28342,"je charge ma fronde et je la fais claquer ,"
Valles-Jules_L-Enfant_<J'-1238>_28367,dans l' air et dont j' entends le bruit contre
Valles-Jules_L-Enfant_<J'-1238>_28382,dans les volets fermés ! Je fouille à l' aventure
