,text_surronding
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42109,dans lequel j' avais laissé Madame Rosa me donnait encore
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42130,C' était déjà terrible de la voir mourir peu à
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42149,"avec un sourire cochon , ses quatre - vingt -"
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42183,lois pour mettre fin à ses souffrances . Vous savez
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42240,pendant tout l' escalier que Madame Rosa était peut -
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42298,d' une petite valise . Elle ressemblait à quelqu' un
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42315,. J' ai vite regardé son visage et j' ai
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42322,et j' ai vu qu' elle n' y était pas
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42330,était pas du tout . Elle avait l' air complètement
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42338,"air complètement ailleurs , tellement elle était heureuse . Elle"
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42342,tellement elle était heureuse . Elle avait les yeux qui
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42357,avec un chapeau qui ne lui allait pas bien parce
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42372,"possible , mais enfin ça la cachait un peu en"
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42379,un peu en haut . Elle avait même le sourire
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42388,"sourire , comme si on lui avait annoncé une bonne"
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42395,annoncé une bonne nouvelle . Elle portait une robe bleue
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42404,"bleue avec des marguerites , elle avait récupéré son sac"
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42407,"marguerites , elle avait récupéré son sac à main de"
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42419,fond de l' armoire qu' elle gardait pour des raisons
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42443,"à l' intérieur , et elle regardait à travers les"
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42452,les murs comme si déjà elle allait prendre le train
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42466,"Qu' est - ce que vous faites , Madame Rosa?"
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42469,"ce que vous faites , Madame Rosa? - Ils vont"
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42475,Rosa? - Ils vont venir me chercher . Ils vont
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42544,se touchant la tête . Madame Rosa tenait à la
Ajar-Emile-Gary-Romain_La-Vie-Devant-Soi_<Madame Rosa-1849>_42550,Rosa tenait à la main son sac de pute et
