,text_surronding
Leblanc-Maurice_Une-femme_<Lucie-2220>_52038,"efforts et la patience de Lucie . Un matin ,"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52072,":— C' est ainsi que tu tiens tes promesses ,"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52074,"est ainsi que tu tiens tes promesses , Lucie ?"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52077,"tu tiens tes promesses , Lucie ? Il était pourtant"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52099,ricana :— Cela prouve qu' elle a changé d' avis
Leblanc-Maurice_Une-femme_<Lucie-2220>_52151,", et le respect qu' elle m' accorde … Son"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52182,"très pâle , qu' as - tu à dire ?Il"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52189,à dire ?Il marcha vers lui et crûment lui ordonna
Leblanc-Maurice_Une-femme_<Lucie-2220>_52192,"marcha vers lui et crûment lui ordonna :— Allons ,"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52197,"lui ordonna :— Allons , cède - moi la place"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52203,"- moi la place et tais - toi , je"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52208,"tais - toi , je te le conseille . Il"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52220,bras de sa filleule . Paul s' empara de l'
Leblanc-Maurice_Une-femme_<Lucie-2220>_52229,l' autre . Et ils la tirèrent au risque de
Leblanc-Maurice_Une-femme_<Lucie-2220>_52234,la tirèrent au risque de la blesser . Mais une
Leblanc-Maurice_Une-femme_<Lucie-2220>_52243,une honte les arrêta . Lucie suppliait :— Je vous
Leblanc-Maurice_Une-femme_<Lucie-2220>_52246,"arrêta . Lucie suppliait :— Je vous en prie ,"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52251,"Je vous en prie , je vous en prie ,"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52256,"je vous en prie , je ferai ce que vous"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52278,Le père cracha : « Misérable . » Le fils
Leblanc-Maurice_Une-femme_<Lucie-2220>_52281,: « Misérable . » Le fils eut un mouvement
Leblanc-Maurice_Une-femme_<Lucie-2220>_52289,un mouvement de fureur . Lui aussi mâchonna une injure
Leblanc-Maurice_Une-femme_<Lucie-2220>_52305,"se jeter l' un sur l' autre , ramassés comme"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52333,", à l' attitude de Paul et de son mari"
Leblanc-Maurice_Une-femme_<Lucie-2220>_52349,élevée . Elle voulut confesser la jeune femme . Elle
