,text_surronding
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24677,ombre coupe le soleil . Youssouf . Chauve comme jamais
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24687,", l' œil interrogateur . Il fait signe à Stevie"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24693,fait signe à Stevie et gagne la rue . Le
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24702,Le gosse règle en vitesse sa consommation et à petites
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24709,et à petites foulées rejoint l' Africain qui progresse en
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24711,petites foulées rejoint l' Africain qui progresse en roulant ses
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24715,Africain qui progresse en roulant ses épaules de catcheur sous
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24720,ses épaules de catcheur sous sa liquette synthétique . —
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24732,"écoute , môme . — Je veux m' éclater la"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24764,". — The crack . J' en veux , mec"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24771,"veux , mec . — Tu parles comme si tu"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24775,— Tu parles comme si tu voulais fumer la montagne
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24784,"montagne . Personnellement , je te déconseille cette merde mais"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24790,"déconseille cette merde mais si tu y tiens , on"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24800,peut voir ça . Qui t' a rencardé ? —
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24825,"Réglo , malgré tout . Tu connais le prix des"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24834,des cailloux ? — On m' a parlé de 50
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24848,— C' est ça mais je ne traite pas en
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24862,". — Ça ira , j' ai un boulot fixe"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24868,ai un boulot fixe . Le chauve ne dit plus
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24926,"greffiers à moitié mabouls , tu connais ? — Oui"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24932,"connais ? — Oui , j' avais une copine qui"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24946,"haut . Disant cela , le gamin scrute Youssouf ,"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24949,"cela , le gamin scrute Youssouf , épiant la faille"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24958,"faille . Assassin , hurle le gosse dans sa tête"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24961,", hurle le gosse dans sa tête . Mais le"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24977,Qui viendra ? s' informe Stevie . — Moi -
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24980,"s' informe Stevie . — Moi - même , j'"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24984,"— Moi - même , j' ai personne en ce"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24991,personne en ce moment . L' enfant expire sans bruit
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_24997,"enfant expire sans bruit . Il craignait un comparse ,"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25025,— Dix heures . Mais tu fais une connerie .
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25031,fais une connerie . — Vous vous chargez de la
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25038,"chargez de la came , moi du fric . Salut"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25047,"Salut . Cela dit , Stevie s' écarte de Youssouf"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25051,", Stevie s' écarte de Youssouf et traverse ostensiblement la"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25062,pour bien montrer que malgré ses cent soixante centimètres il
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25066,malgré ses cent soixante centimètres il est déjà un vrai
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25076,"mec . Le lendemain , Stevie effectue ses livraisons ,"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25078,"Le lendemain , Stevie effectue ses livraisons , l' esprit"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25085,", l' esprit ailleurs . Il croise Jimbo rue de"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25112,La rencontre avec le bab le raccroche à Farida et
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25126,s' annonce . Cinémascope . Stevie l' incorruptible contre les
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25138,"hommes . Bon alors , j' arrive et je lui"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25141,"alors , j' arrive et je lui fais comme ça"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25142,", j' arrive et je lui fais comme ça :"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25147,lui fais comme ça : t' as la came ?
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25152,t' as la came ? Il montre pas . Je
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25156,? Il montre pas . Je dis tu me prends
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25158,montre pas . Je dis tu me prends pour un
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25159,pas . Je dis tu me prends pour un cave
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25165,"prends pour un cave , je veux tâter ces merveilleux"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25174,"merveilleux cristaux . Renfrogné , Youssouf . Il sort un"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25176,". Renfrogné , Youssouf . Il sort un tube dans"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25184,tube dans le creux de sa main . Et la
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25192,"Et la fraîche , qu' il dit . Je montre"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25195,", qu' il dit . Je montre un billet ."
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25208,voir mais le mieux pour moi c' est de me
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25212,pour moi c' est de me carapater ou plonger dans
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25233,"mentale , donc , chez Stevie . La journée s'"
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25248,À dix - huit heures il se planque en bout
Villard-Marc_La-porte-de-derriere_<Youssouf-1364>_25258,de bar chez Palmer et quémande un café . —
