,text_surronding
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43462,"Moi , oui ! dis - je en empochant l'"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43513,"à son charme , dis - je . Ceux qui"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43546,va ! — Où ? Je n' ai pas l'
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43579,. Le Gros va pour me faire remarquer la chose
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43585,faire remarquer la chose mais je le stoppe en mettant
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43593,en mettant un doigt devant ma bouche . Je lui
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43596,doigt devant ma bouche . Je lui désigne un recoin
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43614,il s' y blottit . Moi - même je me
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43617,blottit . Moi - même je me plaque contre la
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43649,", une silhouette paraît . Je reconnais , bien que"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43680,C' est le moment que je choisis pour intervenir .
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43706,se retourne . Il prend ma cacahuète number one au
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43720,"de flocons d' avoine , je vous la recommande pour"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43801,Méhariste va au parquet . Je le ramasse et l'
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43826,"cherche à faire surface , j' explore ses fouilles ."
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43850,jaunisse à un quincaillier . Je me l' approprie .
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43855,"Je me l' approprie . Mon exploration se poursuit ,"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43863,"poursuit , systématiquement . Mais je ne découvre rien d'"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43884,cents laxatifs ! ) . J' ouvre la valise :
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43916,"Pas tout de suite , je trouve qu' on est"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43943,la gonzesse arrive ? — T' occupe pas ! Tu
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43947,— T' occupe pas ! Tu as tes menottes ?
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43949,occupe pas ! Tu as tes menottes ? Il me
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43953,as tes menottes ? Il me passe son cabriolet grand
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43964,", aux chromes rupinos . J' opère alors un aimable"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43971,alors un aimable turbin . Je délace les godasses du
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43983,"ensuite ses chaussettes , et je fais passer ses nougats"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_43994,les barreaux du lit . Je les maintiens hors de
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44007,aux menottes de Béru . Je biche les ficelles d'
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44015,ficelles d' un rideau et j' attache ma victime au
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44017,un rideau et j' attache ma victime au sommier .
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44036,long soupir s' exhale de sa poitrine car il commence
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44039,exhale de sa poitrine car il commence à débarquer de
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44044,il commence à débarquer de son nuage . — C'
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44053,"C' est formide , murmure Bérurier . — Quoi ?"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44063,"— Le milieu , vois - tu , n' est"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44105,"Y a vingt ans , t' aurais jamais vu ça"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44136,"annoncez la couleur , fait - il d' un ton"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44143,d' un ton hargneux . Je lui montre ma carte
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44144,"un ton hargneux . Je lui montre ma carte ,"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44146,"hargneux . Je lui montre ma carte , conscient de"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44170,"quoi ! murmure - t - il , un chouïa"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44178,"un chouïa moins belliqueux , j' suis en règue !"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44185,en règue ! — Avec ta conscience peut - être
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44203,"mais pas avec bibi , mon gars . Et si"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44208,mon gars . Et si j' ose cette métaphore hardie
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44216,"métaphore hardie : maintenant que tu es étendu , il"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44228,"t' allonger! — Quoi? — Personnellement , je t' accuse"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44230,"— Quoi? — Personnellement , je t' accuse de meurtre"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44231,"Quoi? — Personnellement , je t' accuse de meurtre et"
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44242,tentative de meurtre . Avec ton casier qui déshonorerait des
San-Antonio_Entre-la-vie-et-la-morgue_<- je-1976>_44249,qui déshonorerait des gogues publiques tu y vas du cigare
