,text_surronding
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49569,"sans prononcer une parole , elle admirait , en ouvrant"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49583,Il se recula légèrement pour lui permettre de contempler plus
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49589,permettre de contempler plus à son aise . Par -
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49600,"l' épaule noire , il la vit qui passait le"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49602,"noire , il la vit qui passait le doigt sur"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49651,fois dans l' autre – son médius décrivit le contour
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49658,décrivit le contour circulaire . Elle était petite et mince
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49664,"était petite et mince , elle baissait la tête en"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49683,portée de la main . Il dit en se penchant
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49694,peu : « Laquelle préfères - tu ? » Toujours
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49707,"et sans se retourner , elle reprend les cartons un"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49722,"par l' encolure arrondie de sa robe , une longue"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49740,trop tendre du cou . Mathias avance imperceptiblement la main
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49746,avance imperceptiblement la main . Son geste s' arrête aussitôt
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49756,. Le bras retombe . Il n' a pas essayé
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49770,". Petite et mince , la jeune femme baisse encore"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49782,"plus la tête , offrant sa nuque et la longue"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49828,"» Après l' histoire de Violette , le pêcheur s'"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49830,"l' histoire de Violette , le pêcheur s' était à"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49860,", en particulier , qu' il semblait vouloir illustrer ses"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49864,qu' il semblait vouloir illustrer ses dires par quelque détail
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49872,"quelque détail plus personnel , celui - ci venait précisément"
Robbe-Grillet-Alain_Le-Voyeur_<elle-1926>_49905,bien qu' il suffisait de l' écouter d' une oreille
