,text_surronding
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108572,"Maarek ? – Demandez donc au professeur Tibrac , dit"
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108589,"Maarek … Elsa , dit Tibrac . Jusqu' où vous"
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108593,dit Tibrac . Jusqu' où vous aveugleront votre haine et
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108595,. Jusqu' où vous aveugleront votre haine et votre ressentiment
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108598,vous aveugleront votre haine et votre ressentiment ? – Vous
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108618,", le père Delbos et vous , n' est -"
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108626,"est - ce pas , professeur Tibrac ? – En"
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108648,"pour des raisons idéologiques , je vous le rappelle ."
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108649,"des raisons idéologiques , je vous le rappelle . –"
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108696,"le père Delbos , et moi , j' ai quitté"
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108698,"Delbos , et moi , j' ai quitté les jésuites"
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108704,"ai quitté les jésuites . Vous le savez , n'"
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108744,", à l' intérieur de vous - mêmes et de"
Abecassis-Eliette_Le-palimpseste-d-Archimede_<au professeur Tibrac-5419>_108749,"vous - mêmes et de votre groupe , personne n'"
