,text_surronding
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_18979,ça pourrait se recoller . Chère tête blonde . Brian
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_18995,son problème . Si on vous a dit qu' il
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19068,"la musique , si on vous a dit tout ça"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19075,dit tout ça on ne vous a pas menti .
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19096,", universel sauf Mick . Vous êtes malheureux , malheureux"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19110,"vie malheureux en amour , vous n' avez pas tiré"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19119,"tiré le bon numéro , vous êtes pas aidé quoi"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19127,aidé quoi . Par compensation vous développez une vie intérieure
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19134,"une vie intérieure , il vous vient des sons ,"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19142,"sons , la musique est votre cabane au fond du"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19156,pas . Pourquoi pas si vous vous en teniez là
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19166,", au lieu de quoi vous voulez la faire visiter"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19174,"faire visiter la cabane , vous voulez vous exprimer ,"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19180,"voulez vous exprimer , épancher votre petite épicerie domestique ,"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19195,"témoins , que les autres vous reconnaissent , vous reconnaissent"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19198,"les autres vous reconnaissent , vous reconnaissent pour ce que"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19203,"vous reconnaissent pour ce que vous êtes , car vous"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19207,"que vous êtes , car vous vouez un culte à"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19212,vous vouez un culte à votre sincérité profonde . Vous
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19216,à votre sincérité profonde . Vous voulez que vos gestes
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19219,profonde . Vous voulez que vos gestes soient le reflet
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19226,soient le reflet fidèle de votre âme . Sur les
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19232,âme . Sur les photos vous prenez des airs qui
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19256,engelures à l' âme . Vous voudriez qu' on sache
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19261,"Vous voudriez qu' on sache votre souffrance , enrober la"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19270,la planète des mélodies de votre bile noire . Forcément
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19285,Par définition le monde excède votre psyché malade . Il
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19293,. Il est bigger than vous . Vous vous sentez
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19295,"est bigger than vous . Vous vous sentez trahi ,"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19308,". Chaque portion de réalité vous semble une ennemie ,"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19320,"de vie une ingérence . Vous vous affaissez , enlaidissez"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19326,"vous affaissez , enlaidissez , aigrissez , réfugiez dans l'"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19328,", enlaidissez , aigrissez , réfugiez dans l' orient de"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19343,de l' îlot dépeuplé que vous êtes devenu . Vous
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19347,que vous êtes devenu . Vous boudez . Robinson échoué
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19367,"dès 63 dissemblent de comment il les voulait , à"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19375,", à savoir excroissance de son for , projection de"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19380,"son for , projection de son soi . Il se"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19383,"projection de son soi . Il se rêvait leader ,"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19392,", les filles regardent aussi Mick , puis n' ont"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19401,ont d' yeux que pour lui . Il se rêvait
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19403,"yeux que pour lui . Il se rêvait compositeur ,"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19431,", ne se servent de lui que comme appoint ,"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19441,ne tolèrent que par condescendance ses arrangements de harpe électrique
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19457,"roulettes . Se moquent de lui , l' appellent Mister"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19459,"Se moquent de lui , l' appellent Mister Shampoo parce"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19465,appellent Mister Shampoo parce qu' il passe son temps à
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19467,Shampoo parce qu' il passe son temps à s' arranger
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19479,pour plaire aux filles . Brian n' a pas compris
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19502,"vent , leur truc . Brian aime les femmes ,"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19507,"Brian aime les femmes , aime être aimé , aime"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19511,", aime être aimé , aime sa mère , aime"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19512,"aime être aimé , aime sa mère , aime l'"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19519,", aime l' amour de sa mère pour lui et"
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19522,amour de sa mère pour lui et le poursuit partout
Begaudeau-François_Un-democrate-Mick-Jagger_<Chère tête blonde-1024>_19524,sa mère pour lui et le poursuit partout . Il
