,text_surronding
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25062,": Chère Amélie , Si j' avais su que vous"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25073,"ce genre de personne , je ne vous aurais jamais"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25080,vous aurais jamais écrit . Je me suis trompé sur
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25093,"À travers vos livres , je vous supposais intraitable ,"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25133,avant . C' est pourquoi je m' en veux profondément
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25139,m' en veux profondément . Je me suis très mal
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25148,mal conduit envers vous . Je vous mens depuis le
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25155,mens depuis le début . Je ne suis jamais allé
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25163,"jamais allé en Irak , je n' ai jamais été"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25170,ai jamais été soldat . J' ai voulu susciter votre
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25177,voulu susciter votre intérêt . Je n' ai pas quitté
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25185,"pas quitté Baltimore , où je n' ai d' autre"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25199,"surfer sur le net . Mon frère , Howard ,"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25215,"y a des années , je l' avais aidé à"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25236,"Las Vegas . Comme il me devait encore beaucoup ,"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25241,"me devait encore beaucoup , je l' ai convaincu de"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25252,recopier des courriers électroniques que je lui envoyais et de
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25267,"vos réponses arrivaient , il me les scannait . Cette"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25282,prendre une telle ampleur . J' avais pensé vous envoyer
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25295,"lettres , pas plus . Je ne m' attendais pas"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25321,"chose la plus importante de ma vie où , faut"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25340,pas grand - chose . Je ne me sentais pas
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25361,s' éterniser . C' était mon souhait . J' avais
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25364,C' était mon souhait . J' avais prévu qu' un
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25371,prévu qu' un jour vous me demanderiez une photo .
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25378,une photo . Aussi avais - je envoyé à Howard
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25394,rien de la gravité de mon état . À l��époque
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25400,"état . À l��époque , je n' avais pas imaginé"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25406,n' avais pas imaginé que je posais pour une galerie
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25415,galerie d' art belge . Je ne vous remercierai jamais
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25429,; votre générosité a accru ma mauvaise conscience . Ensuite
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25443,a voulu une photo de moi en costume militaire :
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25450,"costume militaire : là , j' étais piégé . J'"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25454,", j' étais piégé . J' ai commencé à négocier"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25462,à négocier le coup avec mon frère : pouvait -
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25468,frère : pouvait - il m' obtenir un treillis XXXL
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25494,5 $ la page ( j' ignorais ce calcul )
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25505,"moyennant quoi , il ne me devait plus rien ."
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25528,"il avait dû écrire pour moi , que ça le"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25551,"que vous soyez dingue pour me répondre . Bref ,"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25556,"me répondre . Bref , je ne pouvais plus compter"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25567,lui . C' est pourquoi je ne vous ai plus
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25576,"plus écrit . Pourtant , j' aurais pu , même"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25583,"pu , même en maintenant ma version . J' aurais"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25586,en maintenant ma version . J' aurais pu dactylographier les
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25597,et vous raconter avoir brûlé mon costume militaire à titre
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25604,militaire à titre symbolique dès mon arrivée à Baltimore .
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25615,"en gardant le silence , je trouvais une fin décente"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25625,à cette histoire fumeuse . Je serais devenu pour vous
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25638,vous en auriez conclu que mon retour au bercail nécessitait
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25649,profonde remise en cause . J' ai donc coupé les
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25659,ponts avec vous . Cela me fut facilité par le
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25666,facilité par le fait que mon frère ne me transmettait
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25669,fait que mon frère ne me transmettait plus vos courriers
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25675,transmettait plus vos courriers ; j' imagine qu' il y
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25688,"- uns . Notre correspondance me manquait . Cependant ,"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25693,"me manquait . Cependant , j' étais persuadé que mon"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25697,", j' étais persuadé que mon mutisme s' imposait désormais"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25715,"y a trois semaines , je reçois votre message ."
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25732,d' Howard et vous ne m' en voulez en rien
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25739,"voulez en rien , vous m' écrivez avec autant d'"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25770,"dissiper vos dernières illusions , je vous envoie une réponse"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25785,changement d' écriture vous révèle ma supercherie . Et là
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25796,"comble des combles , vous m' écrivez séance tenante un"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25815,"de cette affaire . Rassurez - vous , je ne"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25818,". Rassurez - vous , je ne vous prends pas"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25838,"à ce point . Mais moi , je me sens"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25840,"point . Mais moi , je me sens mal ."
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25845,je me sens mal . Je vois bien qu' aux
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25856,"du commun des mortels , je me suis payé votre"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25863,suis payé votre tête et j' y ai réussi .
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25881,"vous êtes , si vous me passez l' expression ,"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25898,c' était le contraire de mon intention . Plus exactement
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25904,"intention . Plus exactement , je ne sais pas quelle"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25910,ne sais pas quelle était mon intention . Ce qui
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25921,"certain , c' est que j' ai voulu attirer votre"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25928,voulu attirer votre attention . J' y ai mis les
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25938,"moyens . Sur internet , j' avais vu que vous"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25951,des monceaux de lettres . Moi qui passe ma vie
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25952,monceaux de lettres . Moi qui passe ma vie sur
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25954,lettres . Moi qui passe ma vie sur le net
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25961,"sur le net , ça m' a fasciné , ces"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25980,"et écriviez continuellement . Ça m' a paru , comment"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_25999,si peu de réel dans mon existence . C' est
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_26005,existence . C' est pourquoi j' ai si ardemment voulu
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_26012,si ardemment voulu que vous me donniez un peu de
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_26030,"entrer dans votre réalité , j' ai cru nécessaire de"
Nothomb-Amelie_Une-forme-de-vie_<j'-938>_26043,. C' est ce que je me reproche le plus
