,text_surronding
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2626,"extrémité de la salle , le roi saisit une torchère"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2652,s' abattirent en frémissant sur ses manches de soie .
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2658,manches de soie . Mais le roi ne les remarqua
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2665,ne les remarqua pas . Il se dirigea vers une
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2743,par les ornements royaux . Le roi s' arrêta devant
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2752,devant ce portrait et l' éclaira en soulevant la torchère
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2759,soulevant la torchère . Puis il gémit et dit :
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2762,. Puis il gémit et dit : « - premier
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2768,": « - premier de ma race , mon frère"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2771,"premier de ma race , mon frère , que nous"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2781,sommes pitoyables ! » Et il baisa le portrait sur
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2800,", qui était masquée , le roi s' arrêta et"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2805,le roi s' arrêta et déchira la toile du masque
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2821,"qu' il fallait faire , mon père , second de"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2826,"mon père , second de ma race . » Et"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2832,race . » Et ainsi il déchira les masques de
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2842,"tous les autres rois de sa race , jusqu' à"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2847,"sa race , jusqu' à lui - même . Sous"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2866,de la muraille . Puis il arriva dans les salles
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2881,luisantes étaient encore dressées . Il porta la torchère au
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_2889,"torchère au - dessus de sa tête , et des"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_3025,à croûte saine . Et le roi traversa les salles
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_3046,"pas eu honte , dit - il , de mordre"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_3091,Il est parmi ceux dont j' ai arraché les faux
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_3099,les faux visages : et j' ai mangé du pain
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_3109,"de son panier , et j' ai bu du vin"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_3134,"salles à coucher , et le roi y glissa ,"
Schwob-Marcel_Le-roi-au-masque-d-or_<le roi-101>_3141,"y glissa , portant devant lui sa torche sanglante ."
