,text_surronding
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_78874,comte ! – s' écria M . Chalumeau d' une
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_78900,une indignité ! … et je vous en rends responsable
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_78908,"rends responsable … – Puis - je savoir , Monsieur"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_78916,", Monsieur ? … – Je vous dis que vous"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_78932,comte ! – s' écria l' électeur infortuné en interrompant
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_78937,l' électeur infortuné en interrompant M . Duriveau . –
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_78944,"Duriveau . – Oui , vous êtes cause et responsable"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_78994,"Monsieur , – s' écria l' électeur avec indignation ,"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79001,"avec indignation , – savez - vous … ce qui"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79012,de se passer ? Savez - vous ce qu' il
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79019,"ce qu' il vient de m' arriver , Monsieur ?"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79025,"arriver , Monsieur ? Savez - vous où j' ai"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79028,? Savez - vous où j' ai trouvé mon épouse
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79031,"vous où j' ai trouvé mon épouse , Monsieur ?"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79037,"épouse , Monsieur ? – Je ne sais rien ,"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79042,"Je ne sais rien , Monsieur , – dit froidement"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79047,"Monsieur , – dit froidement le comte , refoulant à"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79059,les violents ressentiments soulevés en lui par cette nouvelle équipée
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79070,Scipion . – Mais si vous avez quelques explications à
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79075,"vous avez quelques explications à me demander , je vous"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79078,"explications à me demander , je vous prie , dans"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79079,"à me demander , je vous prie , dans notre"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79092,"de vouloir bien passer chez moi , afin de ne"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79113,publiques … – s' écria M . Chalumeau avec un
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79126,"sardonique ; – mais , je voudrais que ma voix"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79129,"mais , je voudrais que ma voix pût s' entendre"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79146,de pouvoir proclamer de tous mes poumons que mon épouse
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79149,de tous mes poumons que mon épouse est une malheureuse
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79157,une malheureuse … et que votre fils est un …
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79172,"du doigt l' épaule de M . Chalumeau , l'"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79176,"de M . Chalumeau , l' arrêta net , en"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79181,"l' arrêta net , en lui disant de sa voix"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79193,hautaine : – Un ? L' électeur se retourna brusquement
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79199,"électeur se retourna brusquement vers le vicomte , le toisa"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79202,"brusquement vers le vicomte , le toisa d' abord d'"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79203,"vers le vicomte , le toisa d' abord d' un"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79219,"campant résolument en face de lui , il s' écria"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79221,"en face de lui , il s' écria d' un"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79231,"air de bravade : – Je dis , Monsieur ,"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79234,": – Je dis , Monsieur , que vous êtes"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79237,"dis , Monsieur , que vous êtes un homme …"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79239,"Monsieur , que vous êtes un homme … un homme"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79242,vous êtes un homme … un homme pétri de passions
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79252,"adultères … indécemment adultères ! Scipion , qui ne riait"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79254,"indécemment adultères ! Scipion , qui ne riait jamais ,"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79267,"empêcher de sourire , et dit à M . Chalumeau"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79269,"sourire , et dit à M . Chalumeau avec un"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79289,… – Comment ! que j' aille ? je ne
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79292,! que j' aille ? je ne suis pas votre
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79296,"? je ne suis pas votre valet , Monsieur !"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79299,"suis pas votre valet , Monsieur ! Je n' ai"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79301,"votre valet , Monsieur ! Je n' ai pas besoin"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79307,n' ai pas besoin de votre permission pour … –
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79312,"votre permission pour … – Monsieur , – dit le"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79316,"– Monsieur , – dit le comte , – je"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79320,"dit le comte , – je vous en conjure ;"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79321,"le comte , – je vous en conjure ; si"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79330,"si ce n' est pour vous , que ce soit"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79338,ce soit au moins pour Madame ; … mettez un
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79356,", d' ailleurs , croyez - moi , les apparences"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79386,femmes ! – s' écria l' électeur en regardant la
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79390,"écria l' électeur en regardant la trop sensible Chalumeau ,"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79397,"sensible Chalumeau , comme s' il eût voulu l' écraser"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79400,comme s' il eût voulu l' écraser sous ce sanglant
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79414,"apparences ! … – reprit - il exaspéré , –"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79444,"que l' on poursuit , je me sauve , j'"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79448,", je me sauve , j' ouvre la première porte"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79457,"porte qui se trouve devant moi , … c' était"
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79466,était la serre chaude … je la traverse … j'
Sue-Eugene_Martin-l-enfant-trouve_<M . Chalumeau-2694>_79470,… je la traverse … j' arrive à une rotonde
