,text_surronding
Darien-Georges_Le-Voleur_<moi-826>_23800,"plaisir est tellement profonde en moi , pourtant , qu'"
Darien-Georges_Le-Voleur_<moi-826>_23820,et les frissons nerveux . Je ne l' aime pas
Darien-Georges_Le-Voleur_<moi-826>_23833,"y a des moments où je l' adore , des"
Darien-Georges_Le-Voleur_<moi-826>_23846,"; et d' autres où je la déteste , il"
Darien-Georges_Le-Voleur_<moi-826>_23851,"je la déteste , il me semble , de tout"
Darien-Georges_Le-Voleur_<moi-826>_23872,si alourdi déjà et que je ne puis plus dégager
Darien-Georges_Le-Voleur_<moi-826>_23910,"– vieille , vieille … J' ai conscience qu' elle"
Darien-Georges_Le-Voleur_<moi-826>_23919,elle n' est pas pour moi ; et elle sent
Darien-Georges_Le-Voleur_<moi-826>_23931,n' est point faite de ma chair . C' est
Darien-Georges_Le-Voleur_<moi-826>_23938,. C' est comme si je lui glaçais le cœur
Darien-Georges_Le-Voleur_<moi-826>_23946,"le cœur , comme si je pétrifiais sa sympathie ;"
Darien-Georges_Le-Voleur_<moi-826>_24002,"fermentations de la mémoire qui m' imprègnent d' elle ,"
Darien-Georges_Le-Voleur_<moi-826>_24016,"sa supériorité qui domine toutes mes pensées , qui est"
Darien-Georges_Le-Voleur_<moi-826>_24025,est comme une barrière devant ma volonté ; ses regards
Darien-Georges_Le-Voleur_<moi-826>_24052,grâce mille fois révélée à moi et qui me reste
Darien-Georges_Le-Voleur_<moi-826>_24055,"révélée à moi et qui me reste si mystérieuse ,"
Darien-Georges_Le-Voleur_<moi-826>_24068,"de ses charmes , ne m' ont donné que des"
Darien-Georges_Le-Voleur_<moi-826>_24107,"partie , une délivrance . Je puis la revoir au"
Darien-Georges_Le-Voleur_<moi-826>_24119,lorsqu' elle est absente ! Je la revois dans le
Darien-Georges_Le-Voleur_<moi-826>_24175,ressemble un peu ; mais je ne puis jamais la
Darien-Georges_Le-Voleur_<moi-826>_24183,jamais la voir telle que je l' ai revue en
Darien-Georges_Le-Voleur_<moi-826>_24198,"une seule , sa présence m' a été douce ,"
Darien-Georges_Le-Voleur_<moi-826>_24218,endormie un moment ; et j' ai eu à moi
Darien-Georges_Le-Voleur_<moi-826>_24222,"et j' ai eu à moi , réellement , immobiles"
Darien-Georges_Le-Voleur_<moi-826>_24267,yeux qui interrogent – quand j' y voudrais voir briller
Darien-Georges_Le-Voleur_<moi-826>_24276,briller des étoiles . – J' aurais voulu qu' elle
Darien-Georges_Le-Voleur_<moi-826>_24286,"ne se réveillât jamais et m' endormir avec elle ,"
Darien-Georges_Le-Voleur_<moi-826>_24291,"m' endormir avec elle , moi , pour toujours …"
Darien-Georges_Le-Voleur_<moi-826>_24312,"plus séparés , Charlotte et moi ; par un adversaire"
Darien-Georges_Le-Voleur_<moi-826>_24331,"sans doute , et que je ne veux pas avoir"
Darien-Georges_Le-Voleur_<moi-826>_24364,"parler . Ou bien , je parlerai ; et si"
Darien-Georges_Le-Voleur_<moi-826>_24371,; et si ce que je dirai doit tuer notre
Darien-Georges_Le-Voleur_<moi-826>_24382,", qu' il meure . Je ne veux plus subir"
Darien-Georges_Le-Voleur_<moi-826>_24396,qui l' étreignent ; et je ne veux pas plus
Darien-Georges_Le-Voleur_<moi-826>_24434,"Avant - hier , elle m' a décidé à aller"
Darien-Georges_Le-Voleur_<moi-826>_24452,à lui tout avouer ; je dois lui faire part
Darien-Georges_Le-Voleur_<moi-826>_24467,résultat de l' entrevue ; je l' attends . La
Darien-Georges_Le-Voleur_<moi-826>_24484,"en face d' elle , je me sens maître de"
Darien-Georges_Le-Voleur_<moi-826>_24489,"je me sens maître de moi , je n' éprouve"
Darien-Georges_Le-Voleur_<moi-826>_24491,"sens maître de moi , je n' éprouve pas les"
Darien-Georges_Le-Voleur_<moi-826>_24513,devant sa conscience . – Tu as vu mon père
Darien-Georges_Le-Voleur_<moi-826>_24516,. – Tu as vu mon père ? – Oui
Darien-Georges_Le-Voleur_<moi-826>_24526,. C' est vrai . J' ai vu mon oncle
Darien-Georges_Le-Voleur_<moi-826>_24529,vrai . J' ai vu mon oncle hier matin .
Darien-Georges_Le-Voleur_<moi-826>_24535,oncle hier matin . Il m' a écouté sans émotion
Darien-Georges_Le-Voleur_<moi-826>_24541,a écouté sans émotion et m' a laissé parler sans
Darien-Georges_Le-Voleur_<moi-826>_24546,m' a laissé parler sans m' interrompre . « Tu
Darien-Georges_Le-Voleur_<moi-826>_24550,sans m' interrompre . « Tu n' auras pas ma
Darien-Georges_Le-Voleur_<moi-826>_24557,"auras pas ma fille , m' a - t -"
Darien-Georges_Le-Voleur_<moi-826>_24565,t - il dit quand j' ai eu fini .
Darien-Georges_Le-Voleur_<moi-826>_24572,eu fini . – Voulez - vous me donner les
Darien-Georges_Le-Voleur_<moi-826>_24579,me donner les raisons de votre refus ? ai -
Darien-Georges_Le-Voleur_<moi-826>_24583,de votre refus ? ai - je demandé . –
Darien-Georges_Le-Voleur_<moi-826>_24598,en a qu' une . Je ne veux plus marier
Darien-Georges_Le-Voleur_<moi-826>_24606,plus marier Charlotte . – Vous ne voulez plus …
Darien-Georges_Le-Voleur_<moi-826>_24681,"rareté de leur caractère , m' autorisent à abandonner ,"
Darien-Georges_Le-Voleur_<moi-826>_24728,profondément Edouard ; et on m' imagine généralement versant des
Darien-Georges_Le-Voleur_<moi-826>_24753,. – Situation conciliable avec vos intérêts ? – Peut
Darien-Georges_Le-Voleur_<moi-826>_24761,– Peut - être . Je ne tenais pas à
Darien-Georges_Le-Voleur_<moi-826>_24770,"à avoir d' enfant , moi ; une fille ,"
Darien-Georges_Le-Voleur_<moi-826>_24810,". Il faut payer . Je payerai , puisqu' il"
Darien-Georges_Le-Voleur_<moi-826>_24832,tard possible . – Savez - vous si Charlotte sera
Darien-Georges_Le-Voleur_<moi-826>_24838,vous si Charlotte sera de votre avis et si elle
Darien-Georges_Le-Voleur_<moi-826>_24847,elle voudra attendre ? » Mon oncle s' est mis
Darien-Georges_Le-Voleur_<moi-826>_24943,Depuis trois mois elle est ma maîtresse . – Ta
Darien-Georges_Le-Voleur_<moi-826>_24947,est ma maîtresse . – Ta … ? a crié
Darien-Georges_Le-Voleur_<moi-826>_24952,"Ta … ? a crié mon oncle en sursautant ,"
Darien-Georges_Le-Voleur_<moi-826>_24958,"oncle en sursautant , car il a senti que je"
Darien-Georges_Le-Voleur_<moi-826>_24962,car il a senti que je ne mentais pas .
Darien-Georges_Le-Voleur_<moi-826>_24977,"mois ; et je viens vous demander , puisque c'"
Darien-Georges_Le-Voleur_<moi-826>_24994,"régulariser notre situation . » Mon oncle était blême ,"
Darien-Georges_Le-Voleur_<moi-826>_25002,"blême , encore , et sa main , posée à"
Darien-Georges_Le-Voleur_<moi-826>_25017,frémissait un peu ; mais sa voix n' a pas
Darien-Georges_Le-Voleur_<moi-826>_25025,"a pas tremblé . « Votre situation , a -"
Darien-Georges_Le-Voleur_<moi-826>_25031,"situation , a - t - il dit , je"
Darien-Georges_Le-Voleur_<moi-826>_25035,"t - il dit , je puis la régulariser facilement"
Darien-Georges_Le-Voleur_<moi-826>_25044,facilement ; en faisant enfermer ma fille jusqu' à sa
Darien-Georges_Le-Voleur_<moi-826>_25056,"d' abord ; et en te faisant poursuivre , toi"
Darien-Georges_Le-Voleur_<moi-826>_25060,"en te faisant poursuivre , toi , pour détournement de"
Darien-Georges_Le-Voleur_<moi-826>_25069,de mineure . La loi m' autorise … – Oui
Darien-Georges_Le-Voleur_<moi-826>_25083,"A voler la dot de votre fille , comme vous"
Darien-Georges_Le-Voleur_<moi-826>_25087,"de votre fille , comme vous m' avez volé mon"
Darien-Georges_Le-Voleur_<moi-826>_25088,"votre fille , comme vous m' avez volé mon héritage"
