,text_surronding
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_104696,"écran : un message d' Antoine Rheims , de Paris"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_104726,"il reconnut sa voix , Rheims annonça : — L'"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_104761,n' y parvint pas . Le directeur continua : —
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_104809,— En théorie ? — J' ai parlé à Terpentes
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_104849,célèbre de France . ( Rheims marqua un temps .
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_104899,contre colonne . C' est Rheims qui reprit : —
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_104900,colonne . C' est Rheims qui reprit : — Pierre
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_104949,nos comptes plus tard . Je ne t' ai pas
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_104978,"ce bordel Après ça , je ne pourrai plus rien"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105019,bondissant sur sa droite . Le policier mit une seconde
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105117,"sur la gauche , forçant le policier à freiner d'"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105126,d' un coup sec . Le policier accéléra de nouveau
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105137,Le 4x4 était maintenant devant lui et roulait à pleine
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105164,"L' esprit à vide , le policier tentait d' accélérer"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105248,à se rapprocher . Mais l' officier de police profita
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105261,"de régime . Brutalement , il accéléra en force et"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105266,il accéléra en force et se glissa cette fois sur
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105277,"gauche . In extremis , il parvint à passer ."
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105282,il parvint à passer . Le commissaire doubla la puissance
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105294,"sur l' accélérateur . Dans son rétroviseur , il vit"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105297,". Dans son rétroviseur , il vit le véhicule tout"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105312,"ténèbres . Sans réfléchir , il maintint le cap et"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105317,il maintint le cap et parcourut plusieurs kilomètres . Il
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105321,et parcourut plusieurs kilomètres . Il était de nouveau seul
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105330,seul sur la route . Il suivait maintenant à pleine
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105365,- il passé ? Qui l' avait attaqué ? Et
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105374,Et pourquoi ? Que savait - il désormais qui vaille
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105381,désormais qui vaille qu' on l' élimine ? L' assaut
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105391,avait été si rapide que le policier n' était pas
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105413,"terme d' un virage , Niémans aperçut la route suspendue"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105441,cent mètres de hauteur . Il n' était donc plus
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105456,"Guernon , le bercail . Le policier accéléra encore ."
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105461,Le policier accéléra encore . Il s' engouffrait sur la
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105471,"passerelle quand un éclair blanc l' aveugla , inondant d'"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105478,", inondant d' un coup sa vitre arrière . Des"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105497,son pare - chocs . Niémans baissa son rétroviseur éblouissant
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105499,- chocs . Niémans baissa son rétroviseur éblouissant et fixa
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105503,baissa son rétroviseur éblouissant et fixa la voie de béton
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105515,suspens dans la nuit . Il pensa distinctement : «
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105520,Il pensa distinctement : « Je ne peux pas mourir
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105532,comme ça . » Et il écrasa sa pédale d'
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105534,. » Et il écrasa sa pédale d' accélérateur .
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105544,Les phares étaient toujours derrière lui . Arc - bouté
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105550,". Arc - bouté sur son volant , il scrutait"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105553,"bouté sur son volant , il scrutait exclusivement les rails"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105563,"de sécurité qui brillaient sous ses propres lumières , embrassant"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105602,volées à la Terre . Niémans éprouva une idée étrange
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105616,conviction inexplicable : tant qu' il roulerait sur ce pont
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105624,"ce pont , tant qu' il volerait dans l' orage"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105632,"l' orage , rien ne lui arriverait . Il était"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105635,rien ne lui arriverait . Il était vivant . Il
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105639,. Il était vivant . Il était léger . Invulnérable
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105647,. Invulnérable . La collision lui bloqua la respiration .
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105652,lui bloqua la respiration . Sa tête partit en un
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105661,"un mouvement de fronde , cogna le pare - brise"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105673,rétroviseur vola en éclats . Sa tige de composite déchira
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105681,"composite déchira la tempe de Niémans , comme un crochet"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105704,dessus de sa tête . Il sentit sa voiture chasser
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105706,sa tête . Il sentit sa voiture chasser sur la
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105729,sang inondait la moitié de son visage . Un nouveau
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105766,". Des secondes . Quand Niémans ouvrit les yeux ,"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105771,"Niémans ouvrit les yeux , il ne pouvait croire ce"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105777,ne pouvait croire ce qu' il vit : du ciel
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105790,", à l' envers . Il volait , seul ,"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105803,"et dans l' averse . Sa voiture , en heurtant"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105811,"en heurtant le parapet , l' avait expulsé et catapulté"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105826,- dessus le pont . Il était en train de
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105859,la sensation ultime que revêtirait sa mort . Un déferlement
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105866,. Un déferlement de souffrances lui répondit instantanément . Des
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105880,Des branches craquantes . Et sa chair éclatant en mille
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105910,presque simultanés . D' abord son propre contact avec le
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105947,abattu d' un coup sur son corps . L' instant
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_105994,"rouvrit les yeux . Derrière ses paupières , d' autres"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106000,"paupières , d' autres paupières l' accueillirent – celles de"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106027,"- tombe , la lucidité lui revint . Progressivement il"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106031,lucidité lui revint . Progressivement il extirpa cette conclusion du
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106038,"cette conclusion du tréfonds de son esprit : vivant ,"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106043,"son esprit : vivant , il était vivant . Il"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106047,", il était vivant . Il rassembla quelques lambeaux de"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106054,quelques lambeaux de conscience et reconstitua ce qui était survenu
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106060,ce qui était survenu . Il s' était écrasé à
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106103,"exactement la même trajectoire , sa propre voiture avait basculé"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106128,juste au - dessus de lui . Sans l' atteindre
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106156,canalisation . Un miracle . Niémans ferma les yeux .
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106165,". De multiples blessures torturaient son corps , mais une"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106184,palpitait dans la région de sa tempe droite . L'
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106188,de sa tempe droite . L' officier devina que la
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106198,"tige du rétroviseur avait déchiré ses chairs en profondeur ,"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106213,"oreille . En revanche , il pressentait que son corps"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106216,"revanche , il pressentait que son corps avait été relativement"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106231,"Menton collé au torse , il scruta au - dessus"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106237,scruta au - dessus de lui la calandre fumante de
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106242,lui la calandre fumante de sa voiture . Il était
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106245,fumante de sa voiture . Il était emprisonné sous un
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106265,un sarcophage de ciment . Il tourna la tête de
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106274,de droite à gauche et s' aperçut qu' un lambeau
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106283,lambeau de pare - chocs le retenait dans le conduit
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106294,"Dans un effort désespéré , le policier exerça un mouvement"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106311,qui fourmillaient le long de son corps jouaient maintenait en
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106316,son corps jouaient maintenait en sa faveur : elles s'
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106328,"unes les autres , plongeant sa chair dans une sorte"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106337,sorte d' indifférence mortifiée . Il parvint à se glisser
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106352,et à s' extirper de son cercueil . Ses bras
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106355,"extirper de son cercueil . Ses bras libérés , il"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106359,". Ses bras libérés , il plaqua aussitôt sa main"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106362,"libérés , il plaqua aussitôt sa main sur sa tempe"
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106365,plaqua aussitôt sa main sur sa tempe et sentit un
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106368,main sur sa tempe et sentit un flux épais qui
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106375,flux épais qui coulait de ses chairs ouvertes . Il
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106379,de ses chairs ouvertes . Il gémit en percevant la
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106390,chaleur du sang filer entre ses doigts endoloris . Il
Grange-Jean-Christophe_Les-rivieres-pourpres_<Antoine Rheims-4577>_106394,entre ses doigts endoloris . Il songea à un bec
