,text_surronding
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_20928,"midi de la France , j' ai souvent observé cet"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_20945,Bélisaire VOICI QUELQUE CHOSE QUE j' ai entendu raconter cette
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_20959,"cabaret de Montmartre . Il me faudrait , pour bien"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21007,même à un Marseillais . Je serais sûr alors de
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21021,les veines le frisson que j' ai eu en écoutant
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21058,dire l' armistice ) . Ma femme nous avait envoyés
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21107,"nouvelles depuis le siège . Moi , ça me chiffonnait"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21110,"siège . Moi , ça me chiffonnait d' emmener le"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21117,d' emmener le gamin . Je savais que nous allions
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21130,"les Prussiens , et comme je n' en avais pas"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21140,"encore vu en face , j' avais peur de me"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21144,", j' avais peur de me faire arriver quelque histoire"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21213,deux à travers champs . Je ne sais pas s'
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21250,"dans les terres labourées . Moi , je n' y"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21252,"terres labourées . Moi , je n' y allais pas"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21303,taper dessus . Mais où je sentis la colère me
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21307,"où je sentis la colère me monter , là ,"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21322,"entrant dans Villeneuve , quand je vis nos pauvres jardins"
Daudet-Alphonse_Contes-du-lundi_<j'-1223>_21374,"l' enfant marchait près de moi , et chaque fois"
