,text_surronding
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57733,qui s' arrêta en face du roi . – La
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57744,"de Nevers ! s' écria Charles IX . Çà ,"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57773,"t - on dit , ma cousine , que ,"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57809,"Nevers rougit extrêmement . – Sire , dit - elle"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57823,"en venant s' agenouiller devant le roi , c' est"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57847,"– Bien , bien , ma cousine ! il y"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57856,y a deux façons de me servir : l' une
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57863,": l' une en exterminant mes ennemis , l' autre"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57870,", l' autre en secourant mes amis . On fait"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57881,"qu' on peut , et je suis sûr que si"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57886,"je suis sûr que si vous eussiez pu davantage ,"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57891,"vous eussiez pu davantage , vous l' eussiez fait ."
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57916,"la maison de Lorraine et Charles IX , criait à"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57926,tue - tête :– Vive le roi ! vive le
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57947,"au Louvre avec nous , Henriette ? dit la reine"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57954,dit la reine mère à la belle duchesse . Marguerite
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_57962,". Marguerite toucha du coude son amie , qui comprit"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58008,. – Et qu' allez - vous faire ensemble ?
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58014,vous faire ensemble ? demanda Catherine . – Voir des
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58053,"la - Boucherie , répondit Marguerite . – Vous feriez"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58056,", répondit Marguerite . – Vous feriez mieux d' aller"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58077,"dans la Seine , dit Charles IX . C' est"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58089,"des bons Français . – Nous irons , s' il"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58100,"à Votre Majesté , répondit la duchesse de Nevers ."
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58105,la duchesse de Nevers . Catherine jeta un regard de
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58117,"les deux jeunes femmes . Marguerite , aux aguets ,"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58122,"Marguerite , aux aguets , l' intercepta , et se"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58137,"un air fort préoccupé , elle regarda avec inquiétude autour"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58143,"regarda avec inquiétude autour d' elle . Cette inquiétude ,"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58161,Catherine . – Que cherchez - vous ?– Je cherche
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58164,Que cherchez - vous ?– Je cherche … Je ne
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58167,vous ?– Je cherche … Je ne vois plus …
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58174,"vois plus … , dit - elle . – Que"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58180,elle . – Que cherchez - vous ? qui ne
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58186,vous ? qui ne voyez - vous plus ?– La
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58194,"?– La Sauve , dit Marguerite . Serait - elle"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58197,", dit Marguerite . Serait - elle retournée au Louvre"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58205,au Louvre ?– Quand je te disais que tu étais
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58208,Quand je te disais que tu étais jalouse ! dit
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58229,"… Allons , allons , Henriette ! continua - t"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58247,la reine de Navarre . Marguerite feignit encore de regarder
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58254,"encore de regarder autour d' elle , puis , se"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58261,"puis , se penchant à son tour à l' oreille"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58267,tour à l' oreille de son amie :– Emmène -
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58270,"oreille de son amie :– Emmène - moi vite ,"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58271,"de son amie :– Emmène - moi vite , lui"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58275,"Emmène - moi vite , lui dit - elle ."
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58277,"moi vite , lui dit - elle . J' ai"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58280,lui dit - elle . J' ai des choses de
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58290,la plus haute importance à te dire . La duchesse
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58293,importance à te dire . La duchesse fit une révérence
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58323,t - elle monter dans ma litière ? dit -
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58327,dans ma litière ? dit - elle . – Volontiers
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58338,Seulement vous serez obligée de me faire reconduire au Louvre
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58345,"reconduire au Louvre . – Ma litière , comme mes"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58349,"– Ma litière , comme mes gens , comme moi"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58353,"comme mes gens , comme moi - même , répondit"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58358,"moi - même , répondit la duchesse , sont aux"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58383,"sur un signe qu' elle lui fit , la duchesse"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58386,"qu' elle lui fit , la duchesse de Nevers monta"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58392,duchesse de Nevers monta à son tour et prit respectueusement
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58395,monta à son tour et prit respectueusement place sur le
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58437,"mère parler sans relâche à l' oreille du roi ,"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58481,"une menace . Quant à Marguerite , une fois qu'"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58486,"Marguerite , une fois qu' elle eut senti la litière"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58498,"en mouvement , et qu' elle n' eut plus à"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58510,"perçante investigation de Catherine , elle tira vivement de sa"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58514,", elle tira vivement de sa manche le billet de"
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58523,de madame de Sauve et lut les mots suivants :«
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58528,lut les mots suivants :« J' ai reçu l' ordre
Dumas-Alexandre_La-Reine-Margot_<du roi-2442>_58573,"qu' il sera entré chez moi , il m' est"
