,text_surronding
Delly_Annonciade_<l' étrangère-1790>_43504,de son frère et de l' étrangère . À l'
Delly_Annonciade_<l' étrangère-1790>_43649,que tout aux yeux de cette jeune croyante . Flavia
Delly_Annonciade_<l' étrangère-1790>_43653,"de cette jeune croyante . Flavia était sincère , dans"
Delly_Annonciade_<l' étrangère-1790>_43661,", dans l' ardeur de sa passion . Mais il"
Delly_Annonciade_<l' étrangère-1790>_43688,"plus ou moins long , elle se lasserait d' être"
Delly_Annonciade_<l' étrangère-1790>_43693,elle se lasserait d' être la compagne d' un aveugle
Delly_Annonciade_<l' étrangère-1790>_43699,compagne d' un aveugle et retournerait à cette vie mondaine
Delly_Annonciade_<l' étrangère-1790>_43721,", enfin , il ne l' aimait pas . La"
Delly_Annonciade_<l' étrangère-1790>_43761,peu de fraîcheur ? Voulez - vous rentrer ?– Non
Delly_Annonciade_<l' étrangère-1790>_43774,est très doux . Mais je pensais à votre dureté
Delly_Annonciade_<l' étrangère-1790>_43782,votre dureté . . . Elle levait sur lui ses
Delly_Annonciade_<l' étrangère-1790>_43786,. Elle levait sur lui ses yeux assombris par un
Delly_Annonciade_<l' étrangère-1790>_43809,"un peu de hauteur :– Je vous en prie ,"
Delly_Annonciade_<l' étrangère-1790>_43821,plus sur ce sujet . Je regrette d' être pour
Delly_Annonciade_<l' étrangère-1790>_43843,tout à l' heure que j' ai toujours agi loyalement
Delly_Annonciade_<l' étrangère-1790>_43863,valeur ni la durée de mes sentiments . – C'
Delly_Annonciade_<l' étrangère-1790>_43872,C' est vrai . Mais je voudrais . . .
Delly_Annonciade_<l' étrangère-1790>_43877,je voudrais . . . Elle appuyait sa main sur
Delly_Annonciade_<l' étrangère-1790>_43879,. . . Elle appuyait sa main sur le bras
Delly_Annonciade_<l' étrangère-1790>_43893,"Une brûlante supplication passait dans sa voix , dans son"
Delly_Annonciade_<l' étrangère-1790>_43897,"dans sa voix , dans son regard . – Oh"
Delly_Annonciade_<l' étrangère-1790>_43905,"– Oh ! Wennaël , je serais moins malheureuse si"
Delly_Annonciade_<l' étrangère-1790>_43910,je serais moins malheureuse si je savais que votre cœur
Delly_Annonciade_<l' étrangère-1790>_43913,"malheureuse si je savais que votre cœur est libre ,"
Delly_Annonciade_<l' étrangère-1790>_43924,personne . . . Il l' interrompit avec une froide
Delly_Annonciade_<l' étrangère-1790>_43942,"catégorie des jardins fermés , doña Flavia . Elle fit"
Delly_Annonciade_<l' étrangère-1790>_43945,"fermés , doña Flavia . Elle fit un mouvement en"
Delly_Annonciade_<l' étrangère-1790>_43952,un mouvement en arrière et redressa la tête . Le
Delly_Annonciade_<l' étrangère-1790>_43965,"d' émeraudes qui retombait sur sa poitrine étincela , touché"
