,text_surronding
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17030,"- ce pas , il me dit des choses très"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17055,"autre whisky . Oui , je veux bien un autre"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17087,"ou si on baise , je suppose . Le jeu"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17102,". À y réfléchir , je ne veux pas baiser"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17120,"ne manifeste aucun trouble , je ne dois pas avoir"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17265,"café près de Bastille , tu dis que tu es"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17268,"Bastille , tu dis que tu es encore saoul de"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17276,saoul de la veille . Ta main est loin sous
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17281,"Ta main est loin sous ma jupe , tes doigts"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17284,"loin sous ma jupe , tes doigts à l' intérieur"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17290,doigts à l' intérieur de moi . Ton autre main
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17292,l' intérieur de moi . Ton autre main sur ma
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17296,. Ton autre main sur ma joue : «Je t'
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17300,"sur ma joue : «Je t' aime , Emma ."
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17303,": «Je t' aime , Emma . » Il n'"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17318,", ni de cacahuètes , il dit on pourrait se"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17329,. Est - ce qu' il peut m' emprunter mon
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17331,"- ce qu' il peut m' emprunter mon portable ,"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17333,"qu' il peut m' emprunter mon portable , il voudrait"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17336,"m' emprunter mon portable , il voudrait appeler un ami"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17346,"qui devait nous rejoindre , je dois le connaître ,"
de-Vigan-Delphine_Les-jolis-garçons_<me-458>_17367,"beau , très tout , je vais tomber amoureuse de"
