,text_surronding
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_4891,et de deux gustaves . Le père Morbleut continue de
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_4897,"père Morbleut continue de prodiguer ses pertinents conseils aux """
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_4926,causer ! affirme - t - il . Elles tiennent
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_4938,"tifs , les garces ! Il caresse son crâne aussi"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_4940,les garces ! Il caresse son crâne aussi lisse qu'
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_4948,lisse qu' une olive et enchaine : - Quant aux
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_4955,"- Quant aux bonshommes , moi je connais deux méthodes"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_4956,"Quant aux bonshommes , moi je connais deux méthodes :"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5032,le parti de rigoler et lui demandent s' il accepterait
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5035,rigoler et lui demandent s' il accepterait de leur prêter
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5040,il accepterait de leur prêter sa collaboration . - Cela
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5051,"de soi , affirme hautement Morbleut . Je m' occuperai"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5053,", affirme hautement Morbleut . Je m' occuperai même dés"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5066,Avec une lampe à souder je vous les interroge par
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5075,par paquets de dix ! Je le laisse à ses
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5076,paquets de dix ! Je le laisse à ses divagations
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5079,! Je le laisse à ses divagations et je reprends
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5082,laisse à ses divagations et je reprends mon interview de
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5084,ses divagations et je reprends mon interview de Conrouge .
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5093,". - Pour en revenir au premier , qui lui"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5096,"en revenir au premier , qui lui téléphonait au moment"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5097,"revenir au premier , qui lui téléphonait au moment du"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5104,au moment du drame ? Il sourcille . - Je
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5108,? Il sourcille . - Je ne sais pas .
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5128,était interrompue . - Et tu as recherché d' où
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5137,où elle provenait ? - Je . . . C'
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5164,maison de douze étages qu' il ne s' est pas
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5196,agissait d' un revolver appartenant au comte . Il était
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5199,revolver appartenant au comte . Il était resté sur place
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5284,bras ne retombe . - Tu oublies que le comte
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5287,. - Tu oublies que le comte n' était pas
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5295,était pas gaucher et qu' il tenait au moment de
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5300,il tenait au moment de sa mort le combiné du
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5307,le combiné du téléphone de sa main droite . Ce
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5314,droite . Ce dernier argument me convainc . - D'
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5321,". - D' accord , fils , c' est un"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5328,c' est un meurtre . Tu es sûr que les
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5352,la famille depuis quarante ans? Tu rigoles! Ils l' avaient
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5355,"quarante ans? Tu rigoles! Ils l' avaient élevé , le"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5359,"Ils l' avaient élevé , le Gaétan et ils chialent"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5372,avait buté leur fils ! Je me lève . -
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5377,Je me lève . - Tu permets que j' aille
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5380,. - Tu permets que j' aille faire un tour
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5395,"A une condition ! - Je t' écoute , mon"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5396,"une condition ! - Je t' écoute , mon beau"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5399,"- Je t' écoute , mon beau Conrouge ! -"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5407,"! - Les résultats de tes observations , c' est"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5419,en a l' exclusivité . Je veux bien que tu
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5423,. Je veux bien que tu manges dans mon assiette
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5426,"bien que tu manges dans mon assiette , San -"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5429,"manges dans mon assiette , San - A ; mais"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5437,; mais à condition que tu fasses la vaisselle !
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5442,tu fasses la vaisselle ! Je promets et je me
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5445,vaisselle ! Je promets et je me taille sur la
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5464,en aperçoive . CHAPITRE III Le comte Gaétan de Martinet
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5567,qui explique les opinions avancées du défunt . Je malmène
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5570,"opinions avancées du défunt . Je malmène le heurtoir ,"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5623,un brochet sans dents que j' ai beaucoup connu (
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5643,"temps , le privilège de m' alimenter ) . Il"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5701,vélo sans pneu . - Monsieur désire ? Bredouillent ces
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5716,bons et loyaux services . Je lui fais voir la
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5717,et loyaux services . Je lui fais voir la jolie
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5732,"le gouvernement français met à ma disposition , histoire d'"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5742,amadouer les foules . Ça me dispense de blablater .
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5759,un sanglot . - Conduisez - moi sur les lieux
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5768,"lieux du drame , intimé - je . Il branle"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5852,aussi . Le vieux valet me pilote jusqu' à une
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5868,"de portraits d' ancêtres . Je regarde ces toiles ,"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5943,ce monsieur à barbiche ? M' inquiété - Je .
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5945,à barbiche ? M' inquiété - Je . - C'
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5959,le larbin . - Il me semblait en effet l'
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5972,"part . Bon , expliquez - moi comment les choses"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_5991,version au point car il me la déballe comme un
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6073,"jour du crime , reprend la momie à rayures ,"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6080,"à rayures , tandis que je préparais le petit déjeuner"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6086,"préparais le petit déjeuner , j' ai entendu la sonnerie"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6107,puis Monsieur a décroché et je l' ai entendu dire
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6149,"assourdies ; franchement , il m' a semblé qu' elles"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6171,- Et puis ? - J' ai préparé mon plateau
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6174,? - J' ai préparé mon plateau et je suis
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6177,ai préparé mon plateau et je suis allé directement à
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6187,"la chambre de Monsieur . J' ai toqué , il"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6193,"ai toqué , il ne m' a pas répondu ."
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6198,m' a pas répondu . Je me suis permis d'
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6221,la bibliothèque était ouverte . Je me suis avancé jusqu'
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6230,jusqu' à l' encadrement et j' ai vu . .
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6255,enrhumé . - Qu' avez - vous vu ? -
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6268,gisait sur le tapis que vous voyez là . Au
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6315,yeux grands ouverts et paraissait me regarder . Il voile
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6331,". - Aussi longtemps que je vivrai , j' aurai"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6334,"longtemps que je vivrai , j' aurai cet horrible spectacle"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6376,"l' office , Maryse et moi . . . Seulement"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6402,qui taillait les rosiers . J' opine . - Quelles
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6428,trouvions ! - Qu' avez - vous fait après avoir
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6434,vous fait après avoir trouvé votre maître ? - J'
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6438,trouvé votre maître ? - J' ai couru à la
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6445,couru à la croisée et j' ai appelé le jardinier
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6451,ai appelé le jardinier . Je lui ai dit d'
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6469,! - Pourquoi n' avez - vous pas téléphoné à
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6536,"- Ensuite , qu' avez - vous fait ? -"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6541,- vous fait ? - Je suis allé prévenir Maryse
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6562,- Oui . - Et vous n' avez rien vu
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6571,vu ? - Rien ! Je ressors dans le hall
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6577,ressors dans le hall et je mate les lieux avec
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6615,pouvait s' enfuir tandis que vous retourniez à l' office
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6634,"- Bien sûr , admet le valet de pique ,"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6652,"- Le jardinier , quand je lui ai dit qu'"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6694,"gens arrivaient . . . Je renifle , mécontent ."
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6703,. Cet assassin fantôme ne me dit rien qui vaille
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6771,assez dans la façon de mon illustre consœur . Si
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6787,ouvrage elle va croire que je piétine ses fraisiers .
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6799,", c' est pas dans mes mœurs . Comme quoi"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6826,? - Bien sûr ! Je vais la chercher ?
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6834,"chercher ? - Non , je vous suis à l'"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6841,suis à l' office . Je lui file le train
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6909,"de Madame votre mère ? M' étranglé - je ,"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6911,"votre mère ? M' étranglé - je , en biglant"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6945,le roi Charles X . Je l' appelle Maryse car
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_6963,appelât la cuisinière Maman . Je me penche sur la
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_7021,le comte ? M' enquiers - je . - Soixante
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_7065,de l' office ? Il me la désigne . Elle
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_7075,est vitrée du haut . Je l' ouvre et je
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_7079,. Je l' ouvre et je constate qu' elle donne
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_7102,Il a été questionné ? Je demande en désignant le
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_7155,"en train de refroidir , mes fils . Ça devient"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_7170,"close , cette affaire ! Je connaissais déjà celle de"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_7244,? - Rien . - Votre maure n' était pas
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_7266,"petite rente pour maman et moi , il a tout"
San-Antonio_Votez-Berurier_<Le père Morbleut-282>_7277,au P . C . Je bigle l' heure .
