,text_surronding
Forest-Philippe_Le-nouvel-amour_<Je-995>_27947,! Nous rentrions enfin . Je nous versais à boire
Forest-Philippe_Le-nouvel-amour_<Je-995>_28059,. Les nuits ? Mais j' en ai déjà parlé
Forest-Philippe_Le-nouvel-amour_<Je-995>_28085,seule fois sauront de quoi je parle . Et les
Forest-Philippe_Le-nouvel-amour_<Je-995>_28094,"les autres , pourquoi parlerais - je pour eux ?"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28099,- je pour eux ? Je sais bien qu' ils
Forest-Philippe_Le-nouvel-amour_<Je-995>_28105,sais bien qu' ils ne me comprendront pas . IX
Forest-Philippe_Le-nouvel-amour_<Je-995>_28180,nous avons aimé tous deux Je parle donc au passé
Forest-Philippe_Le-nouvel-amour_<Je-995>_28198,en dit du son de mes paroles Crachons sur l'
Forest-Philippe_Le-nouvel-amour_<Je-995>_28232,", allons - y , mon amour . Déchirons -"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28291,sont venues les choses dont je n' ai plus de
Forest-Philippe_Le-nouvel-amour_<Je-995>_28301,plaisir à parler et dont je ne dis l' histoire
Forest-Philippe_Le-nouvel-amour_<Je-995>_28329,avec lequel elle finit . Je veux bien que ce
Forest-Philippe_Le-nouvel-amour_<Je-995>_28335,veux bien que ce soit ma faute . J' aurais
Forest-Philippe_Le-nouvel-amour_<Je-995>_28338,ce soit ma faute . J' aurais dû quitter Alice
Forest-Philippe_Le-nouvel-amour_<Je-995>_28381,seulement vers le pire . Je ne sais pas .
Forest-Philippe_Le-nouvel-amour_<Je-995>_28386,Je ne sais pas . Je me trouvais tout à
Forest-Philippe_Le-nouvel-amour_<Je-995>_28394,tout à fait perdu . J' aurais voulu pouvoir nous
Forest-Philippe_Le-nouvel-amour_<Je-995>_28426,réponse n' existait pas . Je l' ai cherchée pourtant
Forest-Philippe_Le-nouvel-amour_<Je-995>_28433,"ai cherchée pourtant . Dans ma tête , cela prenait"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28444,proportions d' une obsession et m' ôtait l' énergie qu'
Forest-Philippe_Le-nouvel-amour_<Je-995>_28467,était sans espoir . Cela me rendait triste et maussade
Forest-Philippe_Le-nouvel-amour_<Je-995>_28477,", d' une mélancolie qui m' enfonçait encore davantage dans"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28512,"a eu encore , si j' y pense , ces"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28544,ce bonheur nous restait . Je vivais avec Lou et
Forest-Philippe_Le-nouvel-amour_<Je-995>_28558,"trois fois par semaine , je rentrais chez moi où"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28561,"semaine , je rentrais chez moi où je retrouvais Alice"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28563,je rentrais chez moi où je retrouvais Alice . C'
Forest-Philippe_Le-nouvel-amour_<Je-995>_28585,"à dégénérer . Pourquoi , je peux seulement l' imaginer"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28591,peux seulement l' imaginer . Je veux bien penser que
Forest-Philippe_Le-nouvel-amour_<Je-995>_28618,vie qu' elle vivait avec moi et qu' elle se
Forest-Philippe_Le-nouvel-amour_<Je-995>_28643,ni de son amour pour moi ni de mon amour
Forest-Philippe_Le-nouvel-amour_<Je-995>_28646,amour pour moi ni de mon amour pour elle .
Forest-Philippe_Le-nouvel-amour_<Je-995>_28657,quelque chose l' accablait que je pouvais facilement comprendre puisque
Forest-Philippe_Le-nouvel-amour_<Je-995>_28662,je pouvais facilement comprendre puisque j' en sentais également le
Forest-Philippe_Le-nouvel-amour_<Je-995>_28669,sentais également le poids sur moi et qu' il m'
Forest-Philippe_Le-nouvel-amour_<Je-995>_28673,sur moi et qu' il m' anéantissait autant qu' elle
Forest-Philippe_Le-nouvel-amour_<Je-995>_28684,"Pour Lou , qui avant moi n' avait jamais durablement"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28731,"pour de bon , que je lui donne l' enfant"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28765,comme un reproche qu' elle m' aurait adressé . Ce
Forest-Philippe_Le-nouvel-amour_<Je-995>_28798,"empoisonnait sa pensée . Pour moi , il y avait"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28816,"le même — , de me dire que tout n'"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28834,avait une femme avec laquelle j' aurais pu recommencer la
Forest-Philippe_Le-nouvel-amour_<Je-995>_28849,"Et à ce rêve , je ne voulais pas renoncer"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28856,voulais pas renoncer même si je savais bien que toute
Forest-Philippe_Le-nouvel-amour_<Je-995>_28861,je savais bien que toute ma vie me tirait en
Forest-Philippe_Le-nouvel-amour_<Je-995>_28863,bien que toute ma vie me tirait en arrière .
Forest-Philippe_Le-nouvel-amour_<Je-995>_28897,"nous retrouver , Lou parfois m' appelait pour me dire"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28900,Lou parfois m' appelait pour me dire qu' elle préférait
Forest-Philippe_Le-nouvel-amour_<Je-995>_28946,"Lou , parfois c' était moi : elle disait qu'"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28958,"pouvait pas vivre sans que je sois avec elle ,"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28988,"personne d' autre , que j' étais son cœur et"
Forest-Philippe_Le-nouvel-amour_<Je-995>_28996,"cœur et que , si je venais à lui manquer"
Forest-Philippe_Le-nouvel-amour_<Je-995>_29005,"manquer , tout disparaîtrait avec moi . Nous nous retrouvions"
Forest-Philippe_Le-nouvel-amour_<Je-995>_29022,certitude de notre amour . Je revenais chez elle comme
Forest-Philippe_Le-nouvel-amour_<Je-995>_29049,perdu . Chaque fois que je partais de chez Lou
Forest-Philippe_Le-nouvel-amour_<Je-995>_29058,"Lou , qu' au matin je quittais son appartement ,"
Forest-Philippe_Le-nouvel-amour_<Je-995>_29071,"l' école , retournant chez moi , je ne parvenais"
Forest-Philippe_Le-nouvel-amour_<Je-995>_29073,", retournant chez moi , je ne parvenais pas à"
Forest-Philippe_Le-nouvel-amour_<Je-995>_29100,fois . Un pressentiment mauvais me suivait . Une ou
Forest-Philippe_Le-nouvel-amour_<Je-995>_29109,ou deux heures passaient et je téléphonais . Lou décrochait
Forest-Philippe_Le-nouvel-amour_<Je-995>_29115,téléphonais . Lou décrochait et j' ignorais ce qu' elle
Forest-Philippe_Le-nouvel-amour_<Je-995>_29124,"elle allait dire , si je la retrouverais aussitôt ou"
