,text_surronding
Bauchau-Henry_Deluge_<Florian-868>_23065,rafraîchir des souvenirs anciens . Florian garde les yeux fermés
Bauchau-Henry_Deluge_<Florian-868>_23080,", comme toujours , s' il écoute ou s' il"
Bauchau-Henry_Deluge_<Florian-868>_23084,"s' il écoute ou s' il dort , mais je"
Bauchau-Henry_Deluge_<Florian-868>_23091,", mais je sais pour l' avoir retrouvé dans le"
Bauchau-Henry_Deluge_<Florian-868>_23099,"dans le tableau ou dans ses dessins que , quand"
Bauchau-Henry_Deluge_<Florian-868>_23110,"lis un passage important , il l' entend . J'"
Bauchau-Henry_Deluge_<Florian-868>_23202,J' ai l' impression que Florian dort . Antoinette m'
Bauchau-Henry_Deluge_<Florian-868>_23209,. Antoinette m' aide à le coucher . Elle restera
Bauchau-Henry_Deluge_<Florian-868>_23245,"vais éteindre la lumière , Florian saisit mon poignet et"
Bauchau-Henry_Deluge_<Florian-868>_23250,Florian saisit mon poignet et dit : “Restez encore un
Bauchau-Henry_Deluge_<Florian-868>_23259,un peu vous deux . J' ai entendu ton histoire
Bauchau-Henry_Deluge_<Florian-868>_23277,"faut faire , ce que je n' ai pas fait"
Bauchau-Henry_Deluge_<Florian-868>_23284,ai pas fait parce que j' avais peur . La
Bauchau-Henry_Deluge_<Florian-868>_23295,domine le monde . Quand j' ai peur je ne
Bauchau-Henry_Deluge_<Florian-868>_23298,. Quand j' ai peur je ne le supporte pas
Bauchau-Henry_Deluge_<Florian-868>_23305,"le supporte pas . Quand j' étais petit , je"
Bauchau-Henry_Deluge_<Florian-868>_23309,"Quand j' étais petit , je criais , je donnais"
Bauchau-Henry_Deluge_<Florian-868>_23312,"petit , je criais , je donnais des coups de"
Bauchau-Henry_Deluge_<Florian-868>_23319,"des coups de pied , je me roulais par terre"
Bauchau-Henry_Deluge_<Florian-868>_23326,roulais par terre . On m' a mis dans un
Bauchau-Henry_Deluge_<Florian-868>_23333,mis dans un centre . J' étais assez content là
Bauchau-Henry_Deluge_<Florian-868>_23347,"odeur de la peur venait je voulais me venger ,"
Bauchau-Henry_Deluge_<Florian-868>_23352,"je voulais me venger , je jetais des chaises ,"
Bauchau-Henry_Deluge_<Florian-868>_23358,"jetais des chaises , surtout j' aurais voulu casser des"
Bauchau-Henry_Deluge_<Florian-868>_23365,"voulu casser des fenêtres , je ne le faisais pas"
Bauchau-Henry_Deluge_<Florian-868>_23375,à cause des mains . Je savais que les mains
Bauchau-Henry_Deluge_<Florian-868>_23409,prof dans ce centre qui m' a dit que je
Bauchau-Henry_Deluge_<Florian-868>_23413,"qui m' a dit que je pouvais peindre , dessiner"
Bauchau-Henry_Deluge_<Florian-868>_23430,prendre sa retraite et dans ma tête je l' entends
Bauchau-Henry_Deluge_<Florian-868>_23432,retraite et dans ma tête je l' entends toujours dire
Bauchau-Henry_Deluge_<Florian-868>_23439,entends toujours dire : « Tu as des mains d'
Bauchau-Henry_Deluge_<Florian-868>_23451,suis - les . » Je me suis mis à
Bauchau-Henry_Deluge_<Florian-868>_23458,suis mis à peindre pour moi - même . Je
Bauchau-Henry_Deluge_<Florian-868>_23462,pour moi - même . Je recevais une petite pension
Bauchau-Henry_Deluge_<Florian-868>_23477,"tout d' un coup , je ne sais comment ,"
Bauchau-Henry_Deluge_<Florian-868>_23490,tableaux s' est intéressé à moi . Jusque - là
Bauchau-Henry_Deluge_<Florian-868>_23495,moi . Jusque - là je n' avais jamais exposé
Bauchau-Henry_Deluge_<Florian-868>_23506,en banlieue où personne ne me remarquait . Il a
Bauchau-Henry_Deluge_<Florian-868>_23524,autre à Londres . Il m' a traîné avec lui
Bauchau-Henry_Deluge_<Florian-868>_23537,"de villes où on voyait mes tableaux , mes sculptures"
Bauchau-Henry_Deluge_<Florian-868>_23540,"on voyait mes tableaux , mes sculptures . Des journalistes"
Bauchau-Henry_Deluge_<Florian-868>_23545,"mes sculptures . Des journalistes me posaient des questions ,"
Bauchau-Henry_Deluge_<Florian-868>_23551,"posaient des questions , mais je ne pouvais pas leur"
Bauchau-Henry_Deluge_<Florian-868>_23558,"pouvais pas leur répondre , je cassais parfois beaucoup et"
Bauchau-Henry_Deluge_<Florian-868>_23563,"je cassais parfois beaucoup et je me sentais seul ,"
Bauchau-Henry_Deluge_<Florian-868>_23574,plus en plus seul . Mes tableaux que j' avais
Bauchau-Henry_Deluge_<Florian-868>_23577,seul . Mes tableaux que j' avais l' habitude de
Bauchau-Henry_Deluge_<Florian-868>_23601,vendaient à des prix que je n' arrivais pas à
Bauchau-Henry_Deluge_<Florian-868>_23608,arrivais pas à comprendre . Je devenais riche peut -
Bauchau-Henry_Deluge_<Florian-868>_23634,une grande exposition internationale . Je ne comprenais pas ce
Bauchau-Henry_Deluge_<Florian-868>_23640,ne comprenais pas ce que mes toiles faisaient là .
Bauchau-Henry_Deluge_<Florian-868>_23645,mes toiles faisaient là . Je regardais les œuvres des
Bauchau-Henry_Deluge_<Florian-868>_23670,cher que les autres . Je ne voulais pas hurler
Bauchau-Henry_Deluge_<Florian-868>_23677,voulais pas hurler . Quand j' avais envie de le
Bauchau-Henry_Deluge_<Florian-868>_23684,"envie de le faire , je me rappelais l' homme"
Bauchau-Henry_Deluge_<Florian-868>_23692,l' homme du centre qui m' avait dit que j'
Bauchau-Henry_Deluge_<Florian-868>_23696,qui m' avait dit que j' étais plus malheureux que
Bauchau-Henry_Deluge_<Florian-868>_23712,par moments à cause de mes mains et de mes
Bauchau-Henry_Deluge_<Florian-868>_23716,de mes mains et de mes instants d' or .
Bauchau-Henry_Deluge_<Florian-868>_23734,"un à l' autre que j' étais fou , pas"
Bauchau-Henry_Deluge_<Florian-868>_23742,", pas à cause de mes œuvres mais parce que"
