,text_surronding
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4306,", sans l' aide de Mme Rémy . Cependant ,"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4398,par elle . Valserine vit Mme Rémy faire un signe
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4404,Rémy faire un signe à sa voisine et se pencher
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4464,", la fillette entendit que l' ouvrière disait :« Maintenant"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4520,"journée , en pensant que Mme Rémy allait lui dire"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4549,"l' heure du dîner , Mme Rémy dit à Valserine"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4595,de la table . Elle la rapprocha beaucoup plus près
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4613,chercha de nouveau celui de Mme Rémy . Mais Mme
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4617,de Mme Rémy . Mais Mme Rémy regardait à présent
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4622,Mme Rémy regardait à présent son verre avec attention ;
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4627,son verre avec attention ; elle le prit pour en
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4640,", tout en disant :« J' ai demandé à Grosgoigin"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4653,. »Elle continua de frotter son verre avec sa serviette
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4656,"de frotter son verre avec sa serviette , comme si"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4672,"importante du moment , et elle ajouta :« Sa voiture"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4726,"heure , Grosgoigin vint prendre Mme Rémy avec ses trois"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4729,vint prendre Mme Rémy avec ses trois enfants et Valserine
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4733,avec ses trois enfants et Valserine . Le cheval avançait
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4762,Ils attiraient l' attention de Valserine sur tout ce qu'
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4771,qu' ils voyaient ; mais Valserine ne leur répondait pas
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4778,leur répondait pas toujours ; elle avait remarqué l' air
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4785,"remarqué l' air soucieux de Mme Rémy , et cela"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4790,"Mme Rémy , et cela l' empêchait de montrer toute"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4798,montrer toute la joie qu' elle portait en elle .
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4801,joie qu' elle portait en elle . Il fallut s'
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4829,petite famille déjeunait seule . Valserine vit Mme Rémy se
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4831,déjeunait seule . Valserine vit Mme Rémy se lever précipitamment
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4858,parlant à voix basse . La fillette fut très surprise
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4865,fut très surprise de voir Mme Rémy revenir toute seule
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4871,Rémy revenir toute seule . Elle aperçut peu après le
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4937,endormir tout à fait . Mme Rémy était assise juste
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4945,assise juste en face de Valserine . De temps en
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4952,"De temps en temps , elle respirait longuement , comme"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4966,"une grande résolution , et Valserine croyait toujours qu' elle"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4970,et Valserine croyait toujours qu' elle allait lui parler .
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4972,"croyait toujours qu' elle allait lui parler . Puis ,"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4977,"lui parler . Puis , la jeune femme détournait son"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4981,", la jeune femme détournait son visage de celui de"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4986,"son visage de celui de la fillette , et elle"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_4990,"de la fillette , et elle paraissait très occupée à"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5005,glisser de la banquette . Valserine l' aidait de son
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5006,de la banquette . Valserine l' aidait de son mieux
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5009,". Valserine l' aidait de son mieux , en soutenant"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5023,"un d' eux , mais elle se renversait constamment en"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5039,d' une montagne qui cachait sa maison . Quand la
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5051,"le village de Lajoux , Valserine sentit en elle comme"
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5054,"Lajoux , Valserine sentit en elle comme un bouillonnement ."
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5059,elle comme un bouillonnement . Elle se mit à rire
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5070,à remuer les jambes . Elle avait en vie de
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5078,vie de parler aussi . Elle voulait dire à Mme
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5082,. Elle voulait dire à Mme Rémy ce qu' elle
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5086,à Mme Rémy ce qu' elle avait entendu la veille
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5095,veille dans la diamanterie . Elle voulait lui demander depuis
Audoux-Marguerite_Valserine_<Mme Rémy-184>_5097,la diamanterie . Elle voulait lui demander depuis combien de
