,text_surronding
Echenoz-Jean_Ravel_<Ravel-158>_2875,atouts majeurs : à peine Ravel s' est - il
Echenoz-Jean_Ravel_<Ravel-158>_2878,à peine Ravel s' est - il présenté à l'
Echenoz-Jean_Ravel_<Ravel-158>_2897,de groom rouge flambant neuve le conduit à travers escaliers
Echenoz-Jean_Ravel_<Ravel-158>_2909,vers la suite qu' on lui a réservée . C'
Echenoz-Jean_Ravel_<Ravel-158>_2960,"les lieux rapidement inspectés , Ravel jette un coup d'"
Echenoz-Jean_Ravel_<Ravel-158>_2982,", commandent le quai : il observe la masse de"
Echenoz-Jean_Ravel_<Ravel-158>_3017,d' autres choses encore . Il ne cherche pas à
Echenoz-Jean_Ravel_<Ravel-158>_3032,dans cette foule : s' il a bien voulu qu'
Echenoz-Jean_Ravel_<Ravel-158>_3038,a bien voulu qu' on l' escorte à la gare
Echenoz-Jean_Ravel_<Ravel-158>_3049,c' est tout seul qu' il préfère embarquer . Une
Echenoz-Jean_Ravel_<Ravel-158>_3056,embarquer . Une fois qu' il a ôté son manteau
Echenoz-Jean_Ravel_<Ravel-158>_3059,"fois qu' il a ôté son manteau , déplié trois"
Echenoz-Jean_Ravel_<Ravel-158>_3067,déplié trois affaires et disposé son nécessaire de toilette autour
Echenoz-Jean_Ravel_<Ravel-158>_3075,"toilette autour des lavabos , Ravel va réserver une place"
Echenoz-Jean_Ravel_<Ravel-158>_3110,"attendant qu' on appareille , il s' attarde un moment"
Echenoz-Jean_Ravel_<Ravel-158>_3130,sont incrustés de nacre . Il y grille encore une
Echenoz-Jean_Ravel_<Ravel-158>_3156,"sourires discrets ou connivents , il croit comprendre qu' on"
Echenoz-Jean_Ravel_<Ravel-158>_3161,il croit comprendre qu' on le reconnaît . Il y
Echenoz-Jean_Ravel_<Ravel-158>_3176,c' est assez normal : il est à cinquante -
Echenoz-Jean_Ravel_<Ravel-158>_3186,"deux ans au sommet de sa gloire , il partage"
Echenoz-Jean_Ravel_<Ravel-158>_3189,"sommet de sa gloire , il partage avec Stravinsky le"
Echenoz-Jean_Ravel_<Ravel-158>_3208,on a pu voir souvent son portrait dans le journal
Echenoz-Jean_Ravel_<Ravel-158>_3220,est assez normal aussi vu son physique : son visage
Echenoz-Jean_Ravel_<Ravel-158>_3223,aussi vu son physique : son visage aigu rasé de
Echenoz-Jean_Ravel_<Ravel-158>_3231,rasé de près dessine avec son long nez mince deux
Echenoz-Jean_Ravel_<Ravel-158>_3289,", pas forcément bavard , il est un homme sec"
Echenoz-Jean_Ravel_<Ravel-158>_3310,sur vingt - quatre . Il n' a cependant pas
Echenoz-Jean_Ravel_<Ravel-158>_3320,"toujours été si glabre , il a tout essayé dans"
Echenoz-Jean_Ravel_<Ravel-158>_3325,il a tout essayé dans sa jeunesse : favoris à
Echenoz-Jean_Ravel_<Ravel-158>_3363,A trente - cinq ans il a rasé tout cela
Echenoz-Jean_Ravel_<Ravel-158>_3373,", réduisant du même pas sa chevelure qui , de"
Echenoz-Jean_Ravel_<Ravel-158>_3392,et vite blanche . Mais son trait principal est sa
Echenoz-Jean_Ravel_<Ravel-158>_3396,"Mais son trait principal est sa taille , dont il"
Echenoz-Jean_Ravel_<Ravel-158>_3400,"est sa taille , dont il souffre et qui fait"
Echenoz-Jean_Ravel_<Ravel-158>_3406,souffre et qui fait que sa tête paraît un peu
Echenoz-Jean_Ravel_<Ravel-158>_3414,un peu trop volumineuse pour son corps . Un mètre
Echenoz-Jean_Ravel_<Ravel-158>_3436,"centimètres de périmètre thoracique , Ravel a le format d'"
Echenoz-Jean_Ravel_<Ravel-158>_3496,"contient un soleil flou quand Ravel , alerté par les"
Echenoz-Jean_Ravel_<Ravel-158>_3530,. L' immense fatigue dont il se plaignait ce matin
Echenoz-Jean_Ravel_<Ravel-158>_3551,"à trois tons , subitement il se sent léger ,"
Echenoz-Jean_Ravel_<Ravel-158>_3577,dure pas : très vite il a très froid sans
Echenoz-Jean_Ravel_<Ravel-158>_3584,"très froid sans pardessus , serre les pans de son"
Echenoz-Jean_Ravel_<Ravel-158>_3588,", serre les pans de son veston sur sa poitrine"
Echenoz-Jean_Ravel_<Ravel-158>_3591,pans de son veston sur sa poitrine et grelotte .
Echenoz-Jean_Ravel_<Ravel-158>_3594,veston sur sa poitrine et grelotte . Le vent qui
Echenoz-Jean_Ravel_<Ravel-158>_3607,lever d' un coup plaque ses vêtements contre sa peau
Echenoz-Jean_Ravel_<Ravel-158>_3610,"coup plaque ses vêtements contre sa peau , dénie leur"
Echenoz-Jean_Ravel_<Ravel-158>_3613,"vêtements contre sa peau , dénie leur existence et leur"
Echenoz-Jean_Ravel_<Ravel-158>_3621,et leur fonction . Comme il attaque de front la
Echenoz-Jean_Ravel_<Ravel-158>_3628,"de front la surface de son corps , l' homme"
Echenoz-Jean_Ravel_<Ravel-158>_3631,"surface de son corps , l' homme se sent nu"
Echenoz-Jean_Ravel_<Ravel-158>_3637,homme se sent nu et doit s' y reprendre plusieurs
Echenoz-Jean_Ravel_<Ravel-158>_3659,temps de s' embraser . Il y parvient enfin mais
Echenoz-Jean_Ravel_<Ravel-158>_3711,"elle dans les poumons de Ravel , refroidissant maintenant son"
Echenoz-Jean_Ravel_<Ravel-158>_3715,"de Ravel , refroidissant maintenant son corps de l' intérieur"
Echenoz-Jean_Ravel_<Ravel-158>_3721,"corps de l' intérieur , l' attaquant de toutes parts"
Echenoz-Jean_Ravel_<Ravel-158>_3727,"attaquant de toutes parts , lui coupant le souffle en"
Echenoz-Jean_Ravel_<Ravel-158>_3732,"lui coupant le souffle en le décoiffant , faisant voltiger"
Echenoz-Jean_Ravel_<Ravel-158>_3737,"le décoiffant , faisant voltiger sa cendre de cigarette sur"
Echenoz-Jean_Ravel_<Ravel-158>_3742,sa cendre de cigarette sur ses habits et dans ses
Echenoz-Jean_Ravel_<Ravel-158>_3746,"sur ses habits et dans ses yeux , le combat"
Echenoz-Jean_Ravel_<Ravel-158>_3761,vaut battre en retraite . Il retourne comme les autres
Echenoz-Jean_Ravel_<Ravel-158>_3865,"candélabres et ses tapis . Ravel demeure , préfère considérer"
Echenoz-Jean_Ravel_<Ravel-158>_3868,"tapis . Ravel demeure , préfère considérer le plus longtemps"
Echenoz-Jean_Ravel_<Ravel-158>_3904,"leitmotiv , pourquoi pas . Il sait bien que cela"
Echenoz-Jean_Ravel_<Ravel-158>_3949,est la première fois qu' il est devant un tel
Echenoz-Jean_Ravel_<Ravel-158>_3981,ne se présente et que Ravel commence lui aussi à
Echenoz-Jean_Ravel_<Ravel-158>_3983,présente et que Ravel commence lui aussi à se lasser
Echenoz-Jean_Ravel_<Ravel-158>_4028,se reposer un peu . Ravel s' égare dans les
