,text_surronding
Greville-Henry_Angele_<Marianne-950>_25113,"ma petite , va voir Marianne ; apprends tes leçons"
Greville-Henry_Angele_<Marianne-950>_25223,faire un appui sérieux de Marianne . Celle - ci
Greville-Henry_Angele_<Marianne-950>_25225,appui sérieux de Marianne . Celle - ci avait fait
Greville-Henry_Angele_<Marianne-950>_25233,"avait fait depuis trois ans sa première communion , et"
Greville-Henry_Angele_<Marianne-950>_25245,esprit de tout le monde elle avait par conséquent terminé
Greville-Henry_Angele_<Marianne-950>_25250,elle avait par conséquent terminé ses études . Le père
Greville-Henry_Angele_<Marianne-950>_25256,études . Le père Benoît lui avait de bric et
Greville-Henry_Angele_<Marianne-950>_25287,ce que le père et la fille ne pourraient pas
Greville-Henry_Angele_<Marianne-950>_25308,enfants de l' école ? Marianne ne demandait pas mieux
Greville-Henry_Angele_<Marianne-950>_25324,ce qui retiendrait près d' elle sa petite chérie .
Greville-Henry_Angele_<Marianne-950>_25325,qui retiendrait près d' elle sa petite chérie . À
Greville-Henry_Angele_<Marianne-950>_25332,"chérie . À mesure qu' elle avançait en âge ,"
Greville-Henry_Angele_<Marianne-950>_25337,"elle avançait en âge , elle s' attachait plus fortement"
Greville-Henry_Angele_<Marianne-950>_25362,d' une mère laissait dans sa vie . Elle se
Greville-Henry_Angele_<Marianne-950>_25365,laissait dans sa vie . Elle se sentit mère elle
Greville-Henry_Angele_<Marianne-950>_25369,". Elle se sentit mère elle - même , près"
Greville-Henry_Angele_<Marianne-950>_25402,"de grands tabliers , puis Marianne alluma le feu pendant"
Greville-Henry_Angele_<Marianne-950>_25408,alluma le feu pendant qu' Angèle allait au jardin défouir
Greville-Henry_Angele_<Marianne-950>_25419,"pommes de terre nouvelles . Elle revint bientôt , son"
Greville-Henry_Angele_<Marianne-950>_25423,". Elle revint bientôt , son petit panier à la"
Greville-Henry_Angele_<Marianne-950>_25431,"à la main , et s' occupa activement de peler"
Greville-Henry_Angele_<Marianne-950>_25432,"la main , et s' occupa activement de peler son"
Greville-Henry_Angele_<Marianne-950>_25436,s' occupa activement de peler son butin . Elles travaillèrent
Greville-Henry_Angele_<Marianne-950>_25447,"temps en silence , puis Angèle , sans lever les"
Greville-Henry_Angele_<Marianne-950>_25459,"dit avec hésitation : — Marianne , à quel âge"
Greville-Henry_Angele_<Marianne-950>_25481,"comme une cerise , et souffla avec une véhémence extraordinaire"
Greville-Henry_Angele_<Marianne-950>_25486,souffla avec une véhémence extraordinaire son feu qui fumait sans
