,text_surronding
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68084,fleurie devant la porte . Mme Forestier proposa à Duroy
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68130,"Et tout à coup , elle lui parla , sans"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68153,", là - haut . Elle prononçait les mots lentement"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68168,"et sérieuse :« Écoutez , mon cher ami , j'"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68172,", mon cher ami , j' ai bien réfléchi …"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68183,"… à ce que vous m' avez proposé , et"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68188,"m' avez proposé , et je ne veux pas vous"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68201,"vous répondre un mot . Je ne vous dirai ,"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68243,"facile . Mais , si je vous parle de cela"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68244,". Mais , si je vous parle de cela ,"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68271,", après ce que vous m' avez dit , que"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68280,"que vous sachiez bien qui je suis , afin de"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68294,"longtemps la pensée que vous m' avez exprimée , si"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68311,d' un … caractère à me comprendre et à me
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68315,à me comprendre et à me supporter . « Comprenez
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68320,me supporter . « Comprenez - moi bien . Le
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68327,bien . Le mariage pour moi n' est pas une
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68338,", mais une association . J' entends être libre ,"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68348,"tout à fait libre de mes actes , de mes"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68352,"de mes actes , de mes démarches , de mes"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68356,"de mes démarches , de mes sorties , toujours ."
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68361,"mes sorties , toujours . Je ne pourrais tolérer ni"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68374,"jalousie , ni discussion sur ma conduite . Je m'"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68377,"discussion sur ma conduite . Je m' engagerais , bien"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68394,"nom de l' homme que j' aurais épousé , à"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68419,"s' engageât à voir en moi une égale , une"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68438,"épouse obéissante et soumise . Mes idées , je le"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68441,"soumise . Mes idées , je le sais , ne"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68455,"tout le monde , mais je n' en changerai point"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68464,point . Voilà . « J' ajoute aussi : Ne
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68469,"J' ajoute aussi : Ne me répondez pas , ce"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68503,allez faire un tour . Moi je retourne près de
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68504,faire un tour . Moi je retourne près de lui
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68523,la main et s' en alla sans prononcer un mot
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68593,et demie . Mme Forestier l' avait conduit à la
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68638,ayant que cinq wagons . Le journaliste choisit sa place
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68641,"wagons . Le journaliste choisit sa place , puis redescendit"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68645,"choisit sa place , puis redescendit pour causer encore quelques"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68674,"la quitter , comme s' il allait la perdre pour"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68696,", en voiture ! » Duroy monta , puis s'"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68700,"» Duroy monta , puis s' accouda à la portière"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68724,"se mit en marche . Le jeune homme , penché"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68745,quai et dont le regard le suivait . Et soudain
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68752,". Et soudain , comme il allait la perdre de"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68759,"la perdre de vue , il prit avec ses deux"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68762,"vue , il prit avec ses deux mains un baiser"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68778,vers elle . Elle le lui renvoya d' un geste
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68791,"hésitant , ébauché seulement . Georges Duroy avait retrouvé toutes"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68796,Georges Duroy avait retrouvé toutes ses habitudes anciennes . Installé
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68816,"la rue de Constantinople , il vivait sagement , en"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68828,prépare une existence nouvelle . Ses relations avec Mme de
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68843,"allure conjugale , comme s' il se fût exercé d'"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68855,"l' événement prochain ; et sa maîtresse , s' étonnant"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68905,s' attardait à Cannes . Il reçut une lettre d'
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68931,allusion à leurs adieux . Il attendit . Il était
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68934,adieux . Il attendit . Il était bien résolu maintenant
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68954,elle semblait hésiter . Mais il avait confiance en sa
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68958,"Mais il avait confiance en sa fortune , confiance en"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68968,"cette force de séduction qu' il sentait en lui ,"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68971,"séduction qu' il sentait en lui , force vague et"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68986,femmes . Un court billet le prévint que l' heure
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_68996,décisive allait sonner . « Je suis à Paris .
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69002,suis à Paris . Venez me voir . « MADELEINE
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69013,. »Rien de plus . Il l' avait reçu par
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69014,»Rien de plus . Il l' avait reçu par le
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69024,courrier de neuf heures . Il entrait chez elle à
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69036,", le même jour . Elle lui tendit les deux"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69037,le même jour . Elle lui tendit les deux mains
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69046,"mains , en souriant de son joli sourire aimable ;"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69065,fond des yeux . Puis elle murmura :« Comme vous
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69069,Puis elle murmura :« Comme vous avez été bon de
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69086,terribles . »Il répondit :« J' aurais fait tout ce
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69092,aurais fait tout ce que vous m' auriez ordonné .
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69093,fait tout ce que vous m' auriez ordonné . »Et
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69102,»Et ils s' assirent . Elle s' informa des nouvelles
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69119,"confrères et du journal . Elle y pensait souvent ,"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69129,"au journal . « Ça me manque beaucoup , disait"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69134,"me manque beaucoup , disait - elle , mais beaucoup"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69140,"elle , mais beaucoup . J' étais devenue journaliste dans"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69150,"l' âme . Que voulez - vous , j' aime"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69153,"Que voulez - vous , j' aime ce métier -"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69161,métier - là . »Puis elle se tut . Il
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69165,"»Puis elle se tut . Il crut comprendre , il"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69169,". Il crut comprendre , il crut trouver dans son"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69173,", il crut trouver dans son sourire , dans le"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69180,", dans le ton de sa voix , dans ses"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69184,"de sa voix , dans ses paroles elles - mêmes"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69198,invitation ; et bien qu' il se fût promis de
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69209,"pas brusquer les choses , il balbutia :« Eh bien"
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69219,… pourquoi … pourquoi ne le reprendriez - vous pas
Guy-de-Maupassant_Bel-ami_<Mme Forestier-3185>_69221,… pourquoi ne le reprendriez - vous pas … ce
