,text_surronding
Allais-Alphonse_a-l-oeil_<je-1708>_34510,"DEPUIS CETTE MALENCONTREUSE HISTOIRE , je ne puis passer devant"
Allais-Alphonse_a-l-oeil_<je-1708>_34533,. C' était en … Je ne me souviens plus
Allais-Alphonse_a-l-oeil_<je-1708>_34561,"cette époque - là . Je l' avais remarquée ,"
Allais-Alphonse_a-l-oeil_<je-1708>_34696,". La première fois que je la vis , je"
Allais-Alphonse_a-l-oeil_<je-1708>_34700,"que je la vis , je m' arrêtai cloué devant"
Allais-Alphonse_a-l-oeil_<je-1708>_34722,leva pour le servir . Je vis qu' elle était
Allais-Alphonse_a-l-oeil_<je-1708>_34763,"revenu flâner par là , je me décidai à entrer"
Allais-Alphonse_a-l-oeil_<je-1708>_34776,fut un saucisson qu' elle me servit avec une grâce
Allais-Alphonse_a-l-oeil_<je-1708>_34786,charmante et sérieuse . Et j' y revins tous les
Allais-Alphonse_a-l-oeil_<je-1708>_34793,"revins tous les jours . J' entrais , j' achetais"
Allais-Alphonse_a-l-oeil_<je-1708>_34796,"jours . J' entrais , j' achetais des charcuteries variées"
Allais-Alphonse_a-l-oeil_<je-1708>_34802,achetais des charcuteries variées que je distribuais ensuite à des
Allais-Alphonse_a-l-oeil_<je-1708>_34829,assiettes et les terrines . J' admirais sa merveilleuse habileté
Allais-Alphonse_a-l-oeil_<je-1708>_34857,un demi - quart . J' avais remarqué que le
Allais-Alphonse_a-l-oeil_<je-1708>_34930,la hure aux pistaches que je désirais . Et souvent
Allais-Alphonse_a-l-oeil_<je-1708>_34945,"plus de son cou , j' éloignais d' elle l'"
Allais-Alphonse_a-l-oeil_<je-1708>_34967,". Une fois même , je posais la hure tout"
Allais-Alphonse_a-l-oeil_<je-1708>_34995,"avant , si bien que j' aperçus un affolant petit"
Allais-Alphonse_a-l-oeil_<je-1708>_35012,"lait . Un jour , je n' osai plus rentrer"
Allais-Alphonse_a-l-oeil_<je-1708>_35032,ces timidités brusques ) . Je me contentai de passer
Allais-Alphonse_a-l-oeil_<je-1708>_35043,de repasser . Et puis je n' osai même plus
Allais-Alphonse_a-l-oeil_<je-1708>_35051,même plus passer . Il me semblait que les gens
Allais-Alphonse_a-l-oeil_<je-1708>_35063,", les sergents de ville m' avaient remarqué et me"
Allais-Alphonse_a-l-oeil_<je-1708>_35067,ville m' avaient remarqué et me montraient au doigt .
Allais-Alphonse_a-l-oeil_<je-1708>_35076,". Un matin , – je me souviendrai toujours que"
Allais-Alphonse_a-l-oeil_<je-1708>_35088,"un dimanche matin , – j' eus une idée géniale"
Allais-Alphonse_a-l-oeil_<je-1708>_35121,pour remplacer les grévistes . Je me présentai . Après
Allais-Alphonse_a-l-oeil_<je-1708>_35133,"des plus sommaires , on me confia un fiacre qui"
Allais-Alphonse_a-l-oeil_<je-1708>_35181,"sapin , le carcan et moi devant la boutique où"
Allais-Alphonse_a-l-oeil_<je-1708>_35187,devant la boutique où régnait mon idole . Au moins
Allais-Alphonse_a-l-oeil_<je-1708>_35195,"Au moins , maintenant , j' avais un prétexte pour"
Allais-Alphonse_a-l-oeil_<je-1708>_35205,stationner sur le trottoir . Je me donnais des airs
Allais-Alphonse_a-l-oeil_<je-1708>_35274,ou sur la monnaie . J' étais tout au charme
Allais-Alphonse_a-l-oeil_<je-1708>_35285,"ce spectacle , quand soudain je songeai à ma situation"
Allais-Alphonse_a-l-oeil_<je-1708>_35288,quand soudain je songeai à ma situation de jeune cocher
Allais-Alphonse_a-l-oeil_<je-1708>_35294,situation de jeune cocher . Je me retournai … Plus
Allais-Alphonse_a-l-oeil_<je-1708>_35316,sergents de ville passaient . Je leur racontai ma mésaventure
Allais-Alphonse_a-l-oeil_<je-1708>_35319,passaient . Je leur racontai ma mésaventure . Un attroupement
Allais-Alphonse_a-l-oeil_<je-1708>_35346,peut - être ceux que j' avais récemment gorgés de
Allais-Alphonse_a-l-oeil_<je-1708>_35355,"de hure aux pistaches , me huèrent férocement . Comme"
Allais-Alphonse_a-l-oeil_<je-1708>_35360,me huèrent férocement . Comme je devais avoir l' air
Allais-Alphonse_a-l-oeil_<je-1708>_35368,l' air bête ! Mais ma confusion ne connut plus
Allais-Alphonse_a-l-oeil_<je-1708>_35376,"connut plus de bornes quand j' aperçus , sur la"
Allais-Alphonse_a-l-oeil_<je-1708>_35386,"porte de sa boutique , ma belle charcutière elle -"
Allais-Alphonse_a-l-oeil_<je-1708>_35409,qu' elle s' amusait ! Je ne suis jamais revenu
Allais-Alphonse_a-l-oeil_<je-1708>_35526,fut un léger laps de ma vie où j' en
