,text_surronding
Zola-Emile_L-assommoir_<Virginie-8741>_180722,"et luisant depuis longtemps . Virginie réfléchissait , inquiète de"
Zola-Emile_L-assommoir_<Virginie-8741>_180730,inquiète de deux billets qu' elle ne savait pas comment
Zola-Emile_L-assommoir_<Virginie-8741>_180854,égaya davantage . Il força Virginie à regarder son mari
Zola-Emile_L-assommoir_<Virginie-8741>_180857,Il força Virginie à regarder son mari . – Ah
Zola-Emile_L-assommoir_<Virginie-8741>_180908,"surprendre son monde . Quand Gervaise remonta chez elle ,"
Zola-Emile_L-assommoir_<Virginie-8741>_180911,". Quand Gervaise remonta chez elle , elle trouva Coupeau"
Zola-Emile_L-assommoir_<Virginie-8741>_180913,"Gervaise remonta chez elle , elle trouva Coupeau assis au"
Zola-Emile_L-assommoir_<Virginie-8741>_180942,"yeux morts . Alors , elle s' assit elle -"
Zola-Emile_L-assommoir_<Virginie-8741>_180945,"Alors , elle s' assit elle - même sur une"
Zola-Emile_L-assommoir_<Virginie-8741>_180962,mains tombées le long de sa jupe sale . Et
Zola-Emile_L-assommoir_<Virginie-8741>_180974,"un quart d' heure , elle resta en face de"
Zola-Emile_L-assommoir_<Virginie-8741>_180986,sans rien dire . – J' ai eu des nouvelles
Zola-Emile_L-assommoir_<Virginie-8741>_180995,"nouvelles , murmura - t - elle enfin . On"
Zola-Emile_L-assommoir_<Virginie-8741>_181002,"enfin . On a vu ta fille … Oui ,"
Zola-Emile_L-assommoir_<Virginie-8741>_181007,"ta fille … Oui , ta fille est très chic"
Zola-Emile_L-assommoir_<Virginie-8741>_181018,n' a plus besoin de toi . Elle est joliment
Zola-Emile_L-assommoir_<Virginie-8741>_181039,! Dieu de Dieu ! je donnerais gros pour être
Zola-Emile_L-assommoir_<Virginie-8741>_181080,"ma biche , je ne te retiens pas … T'"
Zola-Emile_L-assommoir_<Virginie-8741>_181084,ne te retiens pas … T' es pas encore trop
Zola-Emile_L-assommoir_<Virginie-8741>_181092,"encore trop mal , quand tu te débarbouilles . Tu"
Zola-Emile_L-assommoir_<Virginie-8741>_181096,"quand tu te débarbouilles . Tu sais , comme on"
Zola-Emile_L-assommoir_<Virginie-8741>_181147,"ou le 13 janvier , Gervaise ne savait plus au"
Zola-Emile_L-assommoir_<Virginie-8741>_181154,"savait plus au juste . Elle perdait la boule ,"
Zola-Emile_L-assommoir_<Virginie-8741>_181167,y avait des siècles qu' elle ne s' était rien
Zola-Emile_L-assommoir_<Virginie-8741>_181230,"le buffet ! Ce qu' elle savait , par exemple"
Zola-Emile_L-assommoir_<Virginie-8741>_181240,", ce qu��elle sentait sur son dos , c' était"
Zola-Emile_L-assommoir_<Virginie-8741>_181296,"sa ceinture , ça ne vous nourrit guère . Peut"
Zola-Emile_L-assommoir_<Virginie-8741>_181332,"- ce pas ? et Gervaise , attrapée pourtant bien"
Zola-Emile_L-assommoir_<Virginie-8741>_181350,"cet argent - là . Elle , après toutes sortes"
Zola-Emile_L-assommoir_<Virginie-8741>_181375,"même une vieille dame dont elle faisait le ménage ,"
Zola-Emile_L-assommoir_<Virginie-8741>_181382,"le ménage , venait de la flanquer dehors , en"
Zola-Emile_L-assommoir_<Virginie-8741>_181398,". On ne voulait d' elle nulle part , elle"
Zola-Emile_L-assommoir_<Virginie-8741>_181402,"d' elle nulle part , elle était brûlée ; ce"
Zola-Emile_L-assommoir_<Virginie-8741>_181408,était brûlée ; ce qui l' arrangeait dans le fond
Zola-Emile_L-assommoir_<Virginie-8741>_181415,"dans le fond , car elle en était tombée à"
