,text_surronding
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40208,"personne dans le métier . Dopalet assume de mentir ,"
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40224,"devant témoin , comme s' il n' avait jamais été"
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40240,"entre eux . — Bleach m' a souvent appelé ,"
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40253,des mails d' injures … j' ai hésité à déposer
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40274,"c' était trop pénible … tu imagines , la presse"
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40295,", on peut dire que vous ne l' avez jamais"
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40305,"laissé tomber . L' insolence l' insupporte , même à"
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40313,même à dose homéopathique . Elle peut lire dans ses
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40317,. Elle peut lire dans ses yeux « tu ne
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40320,lire dans ses yeux « tu ne perds rien pour
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40330,"attendre » , mais pour l' instant il considère qu'"
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40332,", mais pour l' instant il considère qu' il a"
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40339,qu' il a besoin d' elle . Il se lève
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40341,a besoin d' elle . Il se lève et déclare
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40345,. Il se lève et déclare sans la regarder :
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40347,se lève et déclare sans la regarder : « Je
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40351,sans la regarder : « Je veux que ça aille
Despentes-Virginie_Vernon-Subutex_<Dopalet-1811>_40360,aille vite . » Puis il sort du bar sans
