,text_surronding
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42393,"faisait répéter une leçon , un inconnu portant une blouse"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42435,"est sans doute , demanda l' étranger , à madame"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42445,"la baronne Pottemain , que j' ai l' honneur de"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42454,"de parler? — Oui , monsieur , dit Pauline ,"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42471,ces quelques mots . — Vous aimez cet asile et
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42476,"Vous aimez cet asile et vous y venez quelquefois ,"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42487,"- être? — Quelquefois , monsieur . — Moi ,"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42490,"Quelquefois , monsieur . — Moi , madame , j'"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42494,"— Moi , madame , j' ai passé ici deux"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42501,passé ici deux mois dont je me souviendrai toujours .
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42508,souviendrai toujours . — Et vous êtes? — Le tailleur
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42511,— Et vous êtes? — Le tailleur de pierres! s'
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42524,depuis un instant regardait fixement le nouveau venu . Vous
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42528,fixement le nouveau venu . Vous ne me reconnaissez donc
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42548,en tendant la main à l' enfant . Puis se
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42561,"— Oui , madame , le tailleur de pierres ,"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42566,"le tailleur de pierres , l' auteur de cette statue"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42582,être . . . si vous ne veniez point ici
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42595,. — Monsieur Romagny? dit la jeune femme . —
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42600,la jeune femme . — Lui - même qui vous
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42603,. — Lui - même qui vous demande humblement pardon
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42604,"— Lui - même qui vous demande humblement pardon ,"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42609,"vous demande humblement pardon , madame , d' avoir été"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42629,de ses propriétaires et en vous abordant sans vous avoir
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42632,et en vous abordant sans vous avoir été présenté .
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42641,. . . Agréez donc mes excuses . . .
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42651,C' est la faute de mon ami Charaintru avec qui
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42656,mon ami Charaintru avec qui j' avais rendez - vous
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42688,champs d' alentour . — Vous n' êtes nullement indiscret
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42694,"n' êtes nullement indiscret , monsieur , repartit Pauline et"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42697,"indiscret , monsieur , repartit Pauline et je le serai"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42699,"monsieur , repartit Pauline et je le serai en tout"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42707,en tout cas plus que vous en vous adressant une
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42709,cas plus que vous en vous adressant une question .
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42719,"Nous avons beaucoup parlé de vous , mon mari et"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42721,"beaucoup parlé de vous , mon mari et moi ,"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42724,"vous , mon mari et moi , ces temps derniers"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42739,vicomte de Charaintru à qui je disais que je désirais
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42742,à qui je disais que je désirais beaucoup avoir un
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42749,beaucoup avoir un buste de votre main . Est -
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42759,ce à un hasard que je dois de vous rencontrer
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42762,hasard que je dois de vous rencontrer dans le pays
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42771,"pays , au moment où j' émettais le désir de"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42776,j' émettais le désir de vous y voir? — Non
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42782,"y voir? — Non , madame , poursuivit le sculpteur"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42785,"Non , madame , poursuivit le sculpteur , mais simplement"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42794,simplement à la lettre que m' a récemment adressée Charaintru
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42804,. Et Romagny tira de son portefeuille la lettre suivante
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42810,portefeuille la lettre suivante qu' il présenta à la baronne:
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42813,suivante qu' il présenta à la baronne: M . de
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42840,d' éclater entre Romagny et le baron Pottemain . —
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42845,le baron Pottemain . — Mes amis! . . .
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42854,. Voyons! . . . Mes bons amis! Il avait
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42857,. . Mes bons amis! Il avait peine à croire
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42863,"avait peine à croire que Romagny , ordinairement si poli"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42875,"doux , fût sérieux dans son incartade . Vu les"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42882,". Vu les excentricités dont l' artiste était coutumier ,"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42917,d' un goût déplorable . Le baron n' était pas
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42934,"affaire , mais que dire? Romagny s' exaltait en parlant"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42944,", prétendant que , si Pottemain avait brouillé le jeu"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_42981,d' aussi détestables plaisanteries; qu' il se croyait d' autant
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43008,"le tapis; qu' enfin , lui , Romagny , mourrait"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43010,"qu' enfin , lui , Romagny , mourrait de honte"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43016,", mourrait de honte s' il était convaincu d' avoir"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43030,à contre - jour . Le baron jurait ses grands
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43033,jour . Le baron jurait ses grands dieux qu' il
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43037,jurait ses grands dieux qu' il n' avait rien fait
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43046,fait de pareil et que Romagny rêvait tout éveillé; qu'
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43059,"venait de la supposition de Romagny , nullement de ce"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43065,", nullement de ce qu' il avait fait lui -"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43068,ce qu' il avait fait lui - même . Le
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43072,fait lui - même . Le sculpteur s' entêtant à
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43079,s' entêtant à dire qu' il ne remettrait plus les
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43107,"ne veut rien entendre , le baron le suivait pour"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43109,"rien entendre , le baron le suivait pour l' envoyer"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43112,le baron le suivait pour l' envoyer à tous les
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43129,en maudissant la sottise qu' il avait faite de reparaître
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43140,"ce damné château . — Mes bons amis , fit"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43145,"Mes bons amis , fit - il enfin , essoufflé"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43157,"course sans but , permettez - moi de vous dire"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43160,", permettez - moi de vous dire que cette discussion"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43176,commun! — Stupide! s' écria le sculpteur d' une voix
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43185,"voix tonnante . — Si tu m' interromps encore ,"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43205,"un tel exorde , reprit Romagny , tu n' as"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43207,"exorde , reprit Romagny , tu n' as désormais plus"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43224,"Eh bien , s' écria le vicomte , je maintiens"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43227,"s' écria le vicomte , je maintiens le mot stupide!"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43236,"stupide! Car enfin , si tu prétends avoir vu faire"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43241,tu prétends avoir vu faire au baron une chose qu'
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43246,"au baron une chose qu' il prétend , lui ,"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43249,"chose qu' il prétend , lui , n' avoir point"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43260,", pourquoi ne pas prendre sa dénégation pour excuse et"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43272,émettre simplement l' avis que tu t' es trompé? —
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43280,trompé? — Pourquoi t' arrêtes - tu? dit tout bas
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43285,- tu? dit tout bas le sculpteur à Charaintru .
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43288,tout bas le sculpteur à Charaintru . Tu peux aussi
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43290,le sculpteur à Charaintru . Tu peux aussi bien parler
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43297,aussi bien parler en marchant! Marche donc! — Ah ça!
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43302,Marche donc! — Ah ça! il est fou! que veut
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43307,il est fou! que veut - il dire? pensa le
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43311,veut - il dire? pensa le gommeux . — Tout
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43322,"cas est niable , repartit Romagny , M . Pottemain"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43334,pas convenir de ce que je lui reproche . Cela
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43340,lui reproche . Cela aggraverait sa situation . — Mais
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43348,"— Mais enfin , dit le baron , que l'"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43351,", dit le baron , que l' acharnement de l'"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43355,", que l' acharnement de l' artiste finissait par exaspérer"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43361,"artiste finissait par exaspérer , vous entrez dans une maison"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43367,entrez dans une maison et vous dites à la première
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43374,à la première personne que vous rencontrez: Et sur ce
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43380,"rencontrez: Et sur ce , vous jetez les yeux au"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43387,les yeux au ciel et vous vous écriez: Vous conviendrez
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43390,ciel et vous vous écriez: Vous conviendrez que cela n'
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43400,"a pas de sens , monsieur Romagny! Voyons , avouez"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43408,", avouez donc franchement que vous avez cédé à une"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43432,et n' en parlons plus! Charaintru attendit le bon effet
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43442,de cette ouverture conciliatrice et suspendit de nouveau sa marche
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43445,conciliatrice et suspendit de nouveau sa marche . — Mais
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43450,sa marche . — Mais marche donc! répéta tout bas
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43455,marche donc! répéta tout bas le sculpteur . Le gommeux
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43458,tout bas le sculpteur . Le gommeux ne pouvant comprendre
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43480,"à emboîter le pas derrière Romagny , qui s' enfonçait"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43482,"le pas derrière Romagny , qui s' enfonçait de préférence"
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43500,. Ce fut le tour du Normand de s' arrêter
Metenier-Oscar_Barbe-bleue_<un inconnu-1752>_43512,"Allons , bon! Voilà qu' il nous laisse en route"
