,text_surronding
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_30868,"à étudier la physionomie de M . de Gondo ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_30873,"M . de Gondo , qu' il pouvait observer tout"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_30899,"s' approcher le banquier , qui ne les amusait guère"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_30944,"curieuse figure que celle de ce baron de Gondo ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_30976,avait jamais eu à enregistrer ses lettres de noblesse .
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_30981,ses lettres de noblesse . Il pouvait bien avoir soixante
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_30991,"- dix ans , mais il n' y paraissait pas"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31011,"d' épaules et solide sur ses jambes , ce robuste"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31014,"solide sur ses jambes , ce robuste vieillard était porteur"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31051,moins à un animal . Le baron tenait tout à
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31102,Affublé d' un loup qui lui aurait caché la partie
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31111,"partie supérieure du visage , M . de Gondo aurait"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31133,Mais comme la gravité de son âge s' opposait à
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31140,"s' opposait à ce qu' il allât en masque ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31146,"allât en masque , on le prenait volontiers pour ce"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31152,"prenait volontiers pour ce qu' il était , c' est"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31203,jeunes . Ceux du cercle l' appelaient entre eux :
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31208,l' appelaient entre eux : grand - papa Vautour .
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31222,", cher monsieur , reprit - il en soupirant ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31241,de chef de famille . Je n' ai que deux
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31253,et c' est assez pour me donner beaucoup de soucis
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31259,"donner beaucoup de soucis . Je ne parle pas ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31276,"est un ange , quoique je lui reproche parfois d'"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31299,est presque une nécessité . Je parle de mon fils
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31302,"nécessité . Je parle de mon fils . Certes ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31343,"jour . — Qu' entendez - vous , baron ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31346,"Qu' entendez - vous , baron , par le torrent"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31433,". Heureusement , M . votre fils ne descend pas"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31459,"ce rapport - là , je suis sûr de lui"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31467,de lui et il suit mes conseils . Quand j'
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31471,suit mes conseils . Quand j' apprends qu' il est
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31484,"actrice très en vue , je ferme les yeux ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31490,"ferme les yeux , mais je ne tolérerais pas qu'"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31522,faire honneur ; c' est mon principe . — Et
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31527,mon principe . — Et je ne doute pas que
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31541,"s' y conforme , dit Marcel parfaitement édifié sur la"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31560,"— Du reste , reprit cet excellent vieillard , j'"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31564,"reprit cet excellent vieillard , j' ai fait la part"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31572,la part du feu . Je donne à Ernest trois
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31586,"d' argent de poche , je le loge , je"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31590,", je le loge , je le nourris et je"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31594,", je le nourris et je paye son écurie ."
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31602,"écurie . De plus , je ne l' empêche pas"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31615,son compte quelques opérations chez mes agents de change et
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31632,", le gaillard . Mais je l' ai prévenu que"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31637,je l' ai prévenu que je ne payerais jamais un
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31651,lui . C' est encore mon principe . Je le
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31654,est encore mon principe . Je le laisserais plutôt exécuter
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31668,"afficher au cercle . — Je vois , baron ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31671,". — Je vois , baron , que vous êtes"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31674,"vois , baron , que vous êtes un homme tout"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31686,"pièce , et que chez vous mon protégé sera à"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31687,", et que chez vous mon protégé sera à bonne"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31701,"lâché cette phrase ironique , M . Caradoc de Colorado"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31711,se disposait à planter là ce financier à principes .
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31721,Un domestique du cercle vint lui en fournir l' occasion
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31730,occasion en s' approchant pour lui annoncer que M .
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31737,que M . Savinien Brévan lui faisait demander une entrevue
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31744,demander une entrevue immédiate et l' attendait au parloir du
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31759,précisément le jeune homme que je viens de vous recommander
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31762,"homme que je viens de vous recommander , et je"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31766,"de vous recommander , et je vous quitte pour le"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31767,"vous recommander , et je vous quitte pour le recevoir"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31774,"pour le recevoir , dit Marcel charmé et surpris aussi"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31784,"de cette visite , qu' il n' attendait guère ."
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31794,"— Parfait ! s' écria le baron , vous allez"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31797,"s' écria le baron , vous allez pouvoir me le"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31800,"baron , vous allez pouvoir me le présenter tout de"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31808,tout de suite . Voulez - vous que je vous
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31811,. Voulez - vous que je vous accompagne au parloir
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31812,Voulez - vous que je vous accompagne au parloir ?
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31826,. C' est inutile . J' ai à causer avec
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31836,lui de la personne qui me l' a recommandé en
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31844,"recommandé en Californie , mais je vous l' amènerai demain"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31845,"en Californie , mais je vous l' amènerai demain sans"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31857,"Et , sans laisser à M . de Gondo le"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31866,"le temps d' insister , Marcel sortit précipitamment du salon"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31888,"fidèle à son père , il se sentait profondément ému"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31898,", presque troublé , et son cœur battait comme il"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31911,battu depuis des années . Il allait enfin pouvoir se
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31926,"protection et de tendresse , lui qui au milieu des"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31927,"et de tendresse , lui qui au milieu des luttes"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31933,au milieu des luttes de sa vie d' aventures avait
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31943,presque désappris à aimer . Il se demandait bien un
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31960,"au cercle était venue à Savinien , mais il ne"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31963,"venue à Savinien , mais il ne s' attarda point"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31974,"des conjectures oiseuses , et il ouvrit vivement la porte"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_31990,"club recevaient les visiteurs . Il vit debout , au"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32005,"grand garçon brun , et il courut à lui les"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32026,"serrer les deux mains qu' il lui tendait , se"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32027,"les deux mains qu' il lui tendait , se redressa"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32033,"tendait , se redressa et lui dit froidement : —"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32061,"parler . — Oui , mon cher enfant , s'"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32068,"enfant , s' écria chaleureusement Marcel , et je suis"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32071,"écria chaleureusement Marcel , et je suis bien heureux de"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32084,de . . . — Vous vous méprenez sans doute
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32090,"vous méprenez sans doute , monsieur , reprit le visiteur"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32125,"de Michel Brévan , que mon meilleur ami a beauceup"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32136,autrefois . — Je viens vous parler d' un fait
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32155,"- vous dire ? — Vous vous êtes permis ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32160,"Vous vous êtes permis , monsieur , d' aborder dans"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32178,domicile une jeune fille que j' aime et qui sera
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32184,aime et qui sera bientôt ma femme . — C'
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32197,"— Eh ! bien , monsieur , je suis résolu"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32199,"! bien , monsieur , je suis résolu à faire"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32209,respecter cette jeune fille et je viens vous demander raison
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32211,jeune fille et je viens vous demander raison de votre
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32215,viens vous demander raison de votre conduite . Marcel ne
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32218,raison de votre conduite . Marcel ne s' étonnait pas
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32226,"étonnait pas facilement , mais il ne pouvait certes pas"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32240,provoqué par Savinien Brévan . Il eut un mouvement de
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32250,"surprise qui n' échappa point au fiancé de Cécile ,"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32256,"fiancé de Cécile , et il ne trouva rien à"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32261,il ne trouva rien à lui répondre . — Je
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32265,à lui répondre . — Je vois que vous ne
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32268,. — Je vois que vous ne comptiez pas sur
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32273,vous ne comptiez pas sur ma visite . Vous êtes
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32276,"pas sur ma visite . Vous êtes étranger , fort"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32285,fort riche à ce qu' il m' a paru en
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32286,riche à ce qu' il m' a paru en me
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32290,il m' a paru en me présentant à votre hôtel
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32293,paru en me présentant à votre hôtel . — Ah
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32299,hôtel . — Ah ! vous êtes allé . .
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32307,". . . — Chez vous , place de l'"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32316,"l' Europe , oui , monsieur . Votre adresse était"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32318,", oui , monsieur . Votre adresse était sur votre"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32322,". Votre adresse était sur votre carte , que vous"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32326,"sur votre carte , que vous avez eu l' audace"
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32338,à cette jeune fille . Vos laquais m' ont dit
Boisgobey-Fortune-du_Les-Mysteres-du-nouveau-Paris_<M . de Gondo-1571>_32340,jeune fille . Vos laquais m' ont dit que vous
