,text_surronding
Magali_Saison-perdue_<J'-3>_58,secours ! . . . J' étouffe ! À moi
Magali_Saison-perdue_<J'-3>_62,. J' étouffe ! À moi ! . . .
Magali_Saison-perdue_<J'-3>_78,"Ne vous agitez pas . Vous rêvez , voyons ."
Magali_Saison-perdue_<J'-3>_95,"et basse , portait en elle une faculté d' apaisement"
Magali_Saison-perdue_<J'-3>_101,une faculté d' apaisement . Elle tenta de soulever ses
Magali_Saison-perdue_<J'-3>_105,. Elle tenta de soulever ses mains . . .
Magali_Saison-perdue_<J'-3>_110,ses mains . . . ses mains sans forces .
Magali_Saison-perdue_<J'-3>_117,sans forces . . . ses mains mortes comme son
Magali_Saison-perdue_<J'-3>_121,. ses mains mortes comme son corps . Le bruit
Magali_Saison-perdue_<J'-3>_129,Le bruit de pompe qui lui emplissait le cerveau diminua
Magali_Saison-perdue_<J'-3>_154,continua à ruisseler autour d' elle . . . à
Magali_Saison-perdue_<J'-3>_171,étaler en nappes fluides . Elle eut vaguement conscience d'
Magali_Saison-perdue_<J'-3>_188,mains qui s' emparaient d' elle la saisissaient . .
Magali_Saison-perdue_<J'-3>_189,qui s' emparaient d' elle la saisissaient . . .
Magali_Saison-perdue_<J'-3>_206,", continuaient à tourbillonner dans son rêve . Livrée à"
Magali_Saison-perdue_<J'-3>_220,"visage qui resserraient autour d' elle leur ronde vertigineuse ,"
Magali_Saison-perdue_<J'-3>_225,"elle leur ronde vertigineuse , elle replongea dans le gouffre"
Magali_Saison-perdue_<J'-3>_233,le gouffre sans fin . Elle était épuisée . .
Magali_Saison-perdue_<J'-3>_271,une muraille sans faille . Elle ressentait une vague douleur
Magali_Saison-perdue_<J'-3>_286,"Pour la première fois , elle en eut conscience et"
Magali_Saison-perdue_<J'-3>_291,elle en eut conscience et gémit . – Vous souffrez
Magali_Saison-perdue_<J'-3>_294,conscience et gémit . – Vous souffrez ? interrogea la
Magali_Saison-perdue_<J'-3>_302,interrogea la voix calme . Audrey eut la certitude qu'
Magali_Saison-perdue_<J'-3>_307,"Audrey eut la certitude qu' elle aurait pu , maintenant"
Magali_Saison-perdue_<J'-3>_317,", ouvrir les yeux . Elle n' en avait pas"
Magali_Saison-perdue_<J'-3>_330,"semblait que , tant qu' elle gardait ses paupières closes"
