,text_surronding
Bourget-Paul_Mensonges_<René-3592>_87127,entre la jeune femme et René . Elle l' avait
Bourget-Paul_Mensonges_<René-3592>_87130,"femme et René . Elle l' avait interrogé , à"
Bourget-Paul_Mensonges_<René-3592>_87158,avait ajouté: —« Où as - tu placé tout cet
Bourget-Paul_Mensonges_<René-3592>_87166,"tout cet argent? » —« Je ne sais pas ,"
Bourget-Paul_Mensonges_<René-3592>_87174,"pas , » avait dit René en riant , «"
Bourget-Paul_Mensonges_<René-3592>_87179,"René en riant , « ma sœur m' a acheté"
Bourget-Paul_Mensonges_<René-3592>_87181,"riant , « ma sœur m' a acheté des obligations"
Bourget-Paul_Mensonges_<René-3592>_87194,"mille francs , et puis j' ai gardé le reste"
Bourget-Paul_Mensonges_<René-3592>_87200,ai gardé le reste dans mon tiroir . » —«
Bourget-Paul_Mensonges_<René-3592>_87246,renseignement précieux . —Me promets - tu le secret? .
Bourget-Paul_Mensonges_<René-3592>_87256,. . » Et elle lui avait expliqué toute la
Bourget-Paul_Mensonges_<René-3592>_87268,rachat d' actions . « Donne un ordre dès demain
Bourget-Paul_Mensonges_<René-3592>_87281,"- elle conclu , « tu gagneras ce que tu"
Bourget-Paul_Mensonges_<René-3592>_87285,« tu gagneras ce que tu voudras . . .
Bourget-Paul_Mensonges_<René-3592>_87298,- toi! » avait repris le poète en lui fermant
Bourget-Paul_Mensonges_<René-3592>_87306,"lui fermant la bouche avec sa main , « je"
Bourget-Paul_Mensonges_<René-3592>_87310,"avec sa main , « je sais que tu me"
Bourget-Paul_Mensonges_<René-3592>_87313,", « je sais que tu me parles ainsi par"
Bourget-Paul_Mensonges_<René-3592>_87314,« je sais que tu me parles ainsi par tendresse
Bourget-Paul_Mensonges_<René-3592>_87320,parles ainsi par tendresse mais je ne peux pas te
Bourget-Paul_Mensonges_<René-3592>_87324,mais je ne peux pas te laisser me donner des
Bourget-Paul_Mensonges_<René-3592>_87326,ne peux pas te laisser me donner des conseils de
Bourget-Paul_Mensonges_<René-3592>_87334,conseils de ce genre . Je ne m' estimerais plus
Bourget-Paul_Mensonges_<René-3592>_87341,m' estimerais plus . » Il avait été si sincère
Bourget-Paul_Mensonges_<René-3592>_87347,"avait été si sincère en lui parlant ainsi , que"
Bourget-Paul_Mensonges_<René-3592>_87352,"lui parlant ainsi , que Suzanne n' avait pas osé"
Bourget-Paul_Mensonges_<René-3592>_87361,osé insister . Cette délicatesse lui avait bien paru un
Bourget-Paul_Mensonges_<René-3592>_87371,peu ridicule . Mais s' il n' avait pas eu
Bourget-Paul_Mensonges_<René-3592>_87389,"« gobeur , » comme elle disait dans cet affreux"
Bourget-Paul_Mensonges_<René-3592>_87407,"des sentiments: la confiance , lui aurait - il plu"
Bourget-Paul_Mensonges_<René-3592>_87424,cette jeunesse d' âme dont elle avait peur . Si
Bourget-Paul_Mensonges_<René-3592>_87430,avait peur . Si jamais il était éclairé sur les
Bourget-Paul_Mensonges_<René-3592>_87438,"sur les dessous réels de sa vie , quelle révolte"
Bourget-Paul_Mensonges_<René-3592>_87444,"vie , quelle révolte contre elle de ce cœur trop"
Bourget-Paul_Mensonges_<René-3592>_87459,pactiser avec l' honneur pour lui pardonner jamais! Et l'
Bourget-Paul_Mensonges_<René-3592>_87465,pardonner jamais! Et l' éveil lui avait été donné .
Bourget-Paul_Mensonges_<René-3592>_87484,"sur coup: la tristesse de René , sa colère contre"
Bourget-Paul_Mensonges_<René-3592>_87486,"la tristesse de René , sa colère contre Colette Rigaud"
Bourget-Paul_Mensonges_<René-3592>_87492,"colère contre Colette Rigaud , ses réticences , sa rentrée"
Bourget-Paul_Mensonges_<René-3592>_87495,"Rigaud , ses réticences , sa rentrée subite dans le"
Bourget-Paul_Mensonges_<René-3592>_87502,"subite dans le monde , Suzanne se dit: « Ç'"
Bourget-Paul_Mensonges_<René-3592>_87526,. . » Aussi lorsqu' elle entra dans l' appartement
Bourget-Paul_Mensonges_<René-3592>_87542,"quelques jours de là , sa volonté était bien nette"
Bourget-Paul_Mensonges_<René-3592>_87557,faute une seconde fois . Elle vit au premier regard
Bourget-Paul_Mensonges_<René-3592>_87563,vit au premier regard que le jeune homme était plus
Bourget-Paul_Mensonges_<René-3592>_87575,"et plus sombre , mais elle ne fit pas semblant"
Bourget-Paul_Mensonges_<René-3592>_87589,ni la froideur avec laquelle il reçut son baiser d'
Bourget-Paul_Mensonges_<René-3592>_87591,froideur avec laquelle il reçut son baiser d' arrivée .
Bourget-Paul_Mensonges_<René-3592>_87596,son baiser d' arrivée . Elle eut seulement un sourire
Bourget-Paul_Mensonges_<René-3592>_87608,dire: —« Il faut que je te fasse un reproche
Bourget-Paul_Mensonges_<René-3592>_87609,"—« Il faut que je te fasse un reproche ,"
Bourget-Paul_Mensonges_<René-3592>_87614,"te fasse un reproche , mon René; pourquoi ne m'"
Bourget-Paul_Mensonges_<René-3592>_87618,", mon René; pourquoi ne m' as - tu pas"
Bourget-Paul_Mensonges_<René-3592>_87620,René; pourquoi ne m' as - tu pas prévenue que
Bourget-Paul_Mensonges_<René-3592>_87625,- tu pas prévenue que tu irais faire une visite
Bourget-Paul_Mensonges_<René-3592>_87633,une visite à la comtesse? Je me serais arrangée de
Bourget-Paul_Mensonges_<René-3592>_87640,serais arrangée de manière à t' éviter une rencontre qui
Bourget-Paul_Mensonges_<René-3592>_87647,une rencontre qui a dû t' être bien pénible? »
Bourget-Paul_Mensonges_<René-3592>_87656,» —« Pénible? » répondit René avec une ironie que
Bourget-Paul_Mensonges_<René-3592>_87661,René avec une ironie que Suzanne ne lui connaissait pas
Bourget-Paul_Mensonges_<René-3592>_87663,"une ironie que Suzanne ne lui connaissait pas , «"
Bourget-Paul_Mensonges_<René-3592>_87676,Moraines a été charmant pour moi . . . »
Bourget-Paul_Mensonges_<René-3592>_87686,"—« Oui , » reprit - elle , « tu"
Bourget-Paul_Mensonges_<René-3592>_87690,"reprit - elle , « tu as fait sa conquête"
Bourget-Paul_Mensonges_<René-3592>_87704,"sarcastique d' habitude , il m' a parlé de toi"
Bourget-Paul_Mensonges_<René-3592>_87708,il m' a parlé de toi avec un enthousiasme qui
Bourget-Paul_Mensonges_<René-3592>_87713,toi avec un enthousiasme qui m' a fait mal .
Bourget-Paul_Mensonges_<René-3592>_87726,- ce qu' il ne t' a pas invité à
Bourget-Paul_Mensonges_<René-3592>_87738,la maison? . . . Tu peux être fier .
Bourget-Paul_Mensonges_<René-3592>_87759,"visage nouveau . . . Mon pauvre René , »"
Bourget-Paul_Mensonges_<René-3592>_87767,", » continua - t - elle en appuyant ses"
Bourget-Paul_Mensonges_<René-3592>_87771,t - elle en appuyant ses deux mains sur l'
Bourget-Paul_Mensonges_<René-3592>_87778,"mains sur l' épaule de son amant , et posant"
Bourget-Paul_Mensonges_<René-3592>_87783,"son amant , et posant sa tête , de profil"
Bourget-Paul_Mensonges_<René-3592>_87796,"deux mains , « que tu as dû souffrir de"
Bourget-Paul_Mensonges_<René-3592>_87807,"amabilité! » —« Oui , j' ai bien souffert ,"
Bourget-Paul_Mensonges_<René-3592>_87814,"bien souffert , » répondit René d' une voix sourde"
Bourget-Paul_Mensonges_<René-3592>_87820,d' une voix sourde . Il regardait ce gracieux visage
Bourget-Paul_Mensonges_<René-3592>_87830,si près du sien . Il se rappelait ce qu'
Bourget-Paul_Mensonges_<René-3592>_87835,Il se rappelait ce qu' elle lui avait dit au
Bourget-Paul_Mensonges_<René-3592>_87836,se rappelait ce qu' elle lui avait dit au Louvre
Bourget-Paul_Mensonges_<René-3592>_87860,pure! . . . »—Elle lui avait menti cependant .
Bourget-Paul_Mensonges_<René-3592>_87867,menti cependant . Et qui lui prouvait qu' elle ne
Bourget-Paul_Mensonges_<René-3592>_87870,Et qui lui prouvait qu' elle ne lui eût pas
Bourget-Paul_Mensonges_<René-3592>_87872,lui prouvait qu' elle ne lui eût pas menti toujours?
Bourget-Paul_Mensonges_<René-3592>_87877,"lui eût pas menti toujours? Il avait , en proie"
Bourget-Paul_Mensonges_<René-3592>_87911,fort entre l' accueil que lui avait fait Moraines et
Bourget-Paul_Mensonges_<René-3592>_87923,de mari tyrannique décrit par Suzanne: « Pourquoi m' a
Bourget-Paul_Mensonges_<René-3592>_87926,décrit par Suzanne: « Pourquoi m' a - t -
Bourget-Paul_Mensonges_<René-3592>_87930,Pourquoi m' a - t - elle trompé sur ce
Bourget-Paul_Mensonges_<René-3592>_87941,"encore? » s' était demandé René , qui était venu"
Bourget-Paul_Mensonges_<René-3592>_87943,"s' était demandé René , qui était venu chez madame"
Bourget-Paul_Mensonges_<René-3592>_87963,"secrète , au fond de lui , qu' il entendrait"
Bourget-Paul_Mensonges_<René-3592>_87966,"fond de lui , qu' il entendrait parler de Suzanne"
Bourget-Paul_Mensonges_<René-3592>_87970,qu' il entendrait parler de Suzanne par les gens de
Bourget-Paul_Mensonges_<René-3592>_87975,Suzanne par les gens de son monde . Ceux -
Bourget-Paul_Mensonges_<René-3592>_87984,- là du moins devaient la connaître! Hélas! D' avoir
Bourget-Paul_Mensonges_<René-3592>_87992,D' avoir causé avec Moraines lui avait suffi pour le
Bourget-Paul_Mensonges_<René-3592>_87996,Moraines lui avait suffi pour le jeter de nouveau dans
Bourget-Paul_Mensonges_<René-3592>_88009,du doute . Une vérité lui était devenue évidente: Suzanne
Bourget-Paul_Mensonges_<René-3592>_88013,vérité lui était devenue évidente: Suzanne s' était servie de
Bourget-Paul_Mensonges_<René-3592>_88018,Suzanne s' était servie de son mari comme d' un
Bourget-Paul_Mensonges_<René-3592>_88033,"pas à le recevoir chez elle , lui , René?"
Bourget-Paul_Mensonges_<René-3592>_88035,"le recevoir chez elle , lui , René? Pourquoi? sinon"
Bourget-Paul_Mensonges_<René-3592>_88037,"chez elle , lui , René? Pourquoi? sinon qu' elle"
Bourget-Paul_Mensonges_<René-3592>_88041,", René? Pourquoi? sinon qu' elle avait un mystère à"
Bourget-Paul_Mensonges_<René-3592>_88048,un mystère à cacher dans sa vie . Quel mystère?
Bourget-Paul_Mensonges_<René-3592>_88076,"de cet horrible soupçon , René avait conçu un projet"
Bourget-Paul_Mensonges_<René-3592>_88091,", et dont le résultat lui parut devoir être décisif:"
Bourget-Paul_Mensonges_<René-3592>_88105,du mari pour demander à Suzanne d' aller chez elle
Bourget-Paul_Mensonges_<René-3592>_88109,à Suzanne d' aller chez elle . Si elle disait
Bourget-Paul_Mensonges_<René-3592>_88112,"aller chez elle . Si elle disait oui , c'"
Bourget-Paul_Mensonges_<René-3592>_88119,"oui , c' est qu' elle n' avait rien à"
Bourget-Paul_Mensonges_<René-3592>_88126,avait rien à dissimuler; si elle disait non? . .
Bourget-Paul_Mensonges_<René-3592>_88133,"non? . . . Et le jeune homme , en"
Bourget-Paul_Mensonges_<René-3592>_88138,"le jeune homme , en qui revenaient toutes ces pensées"
Bourget-Paul_Mensonges_<René-3592>_88152,"ce visage adoré , sur son épaule . Comme chacun"
Bourget-Paul_Mensonges_<René-3592>_88164,traits si fins remuait en lui une rêverie! Ces prunelles
Bourget-Paul_Mensonges_<René-3592>_88177,"frais et clair , combien il avait eu foi en"
Bourget-Paul_Mensonges_<René-3592>_88195,", de quelles pensées délicates il l' avait cru habité!"
Bourget-Paul_Mensonges_<René-3592>_88196,de quelles pensées délicates il l' avait cru habité! Cette
Bourget-Paul_Mensonges_<René-3592>_88210,", avec quel tendre abandon il l' avait écoutée parler!"
Bourget-Paul_Mensonges_<René-3592>_88211,avec quel tendre abandon il l' avait écoutée parler! .
Bourget-Paul_Mensonges_<René-3592>_88224,", ce qu' avait raconté Colette n' était pas possible!"
Bourget-Paul_Mensonges_<René-3592>_88250,". . . Oui , elle lui avait menti trois"
Bourget-Paul_Mensonges_<René-3592>_88251,". . Oui , elle lui avait menti trois fois"
Bourget-Paul_Mensonges_<René-3592>_88266,"pas de mensonges insignifiants . René le sentait , à"
Bourget-Paul_Mensonges_<René-3592>_88304,. Ceux qui ont dû la perdre le savent trop
Bourget-Paul_Mensonges_<René-3592>_88325,voix de Suzanne . Elle le voyait dans cet état
Bourget-Paul_Mensonges_<René-3592>_88352,"entier . —« Oui , bien pauvre , » reprit"
Bourget-Paul_Mensonges_<René-3592>_88357,"bien pauvre , » reprit le jeune homme qui venait"
Bourget-Paul_Mensonges_<René-3592>_88360,» reprit le jeune homme qui venait d' être remué
