,text_surronding
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14428,– j' ai regretté ! CLOTILDE Désormes était la femme
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14450,", énigme ! Cependant , elle avait des relations honorables"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14456,"avait des relations honorables , était reçue partout et ailleurs"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14464,"et ailleurs , bien que son mari restât éternellement invisible"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14486,", très mince , – une fausse maigre , les"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14499,"les yeux bleu sombre , elle rappelait le type écossais"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14524,"Paramé l' été , – elle tenait une cour ;"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14531,"une cour ; et si elle avait des amants ,"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14553,"n' en savait rien . Elle semblait fort riche ,"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14568,médisants avaient seulement remarqué que ses meilleurs sourires s' adressaient
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14621,"amené la forte somme , elle daigna répondre , cette"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14653,des vagues chantantes . Coupigny l' adorait ; des nuits
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14667,"sous la petite maison qu' elle habitait , en arrière"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14769,"marchaient isolés , doucement . Elle s' appuyait à son"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14832,"à des gouffres perfides . Elle lui reprochait , d'"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14918,"seul ! . . . Elle se ravisa , rompant"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14930,", en coquette habile , excusa les faiblesses , parla"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14934,", excusa les faiblesses , parla du détraquement général de"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14953,"voix changée , tremblante , elle avoua qu' elle comprenait"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14956,"tremblante , elle avoua qu' elle comprenait toutes les passions"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14968,"les plus folles , car elle même . . ."
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14973,"elle même . . . Elle s' arrêta , –"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14986,"de souffrance expressif . A son tour , il la"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_14990,"A son tour , il la gronda tendrement , avec"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15002,timides . Quel était donc son mal à elle ?
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15005,"était donc son mal à elle ? si belle ,"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15023,", hautaine et brève , elle dit ! – Robert"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15030,"! – Robert , vous m' aimez ? – vous"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15035,"m' aimez ? – vous m' aimez , vraiment ?"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15045,Oh ! . . . Ma vie entière . .
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15052,"entière . . . – Je le sais , je"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15056,"– Je le sais , je vous crois . ."
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15065,". . Eh bien ! moi aussi , je vous"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15068,"bien ! moi aussi , je vous aime ; trois"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15075,"aime ; trois semaines , j' ai lutté , je"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15079,", j' ai lutté , je vous ai tenu à"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15094,justement par ceci même que je vous com prenais dangereux
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15100,vous com prenais dangereux pour moi . . . pour
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15105,moi . . . pour mon repos . . .
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15111,repos . . . pour mon honneur . . .
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15117,"honneur . . . – Clotilde ! – Robert ,"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15122,"Clotilde ! – Robert , j' ai fini de lutter"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15139,"ami , les mauvais livres m' ont inspiré des curiosités"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15171,douter . . . promets - moi simplement de ne
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15177,moi simplement de ne pas me prendre plus tard en
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15189,si misérables que te semblent mes fantaisies . . .
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15200,". . . de toute mon âme , de tout"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15205,"mon âme , de tout mon corps , je suis"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15208,"de tout mon corps , je suis à toi ."
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15233,heure est la première de ma joie . . .
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15257,"épie . A minuit , tu viendras frapper à ma"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15326,"question . De loin , je la jugeais sentimentale ;"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15336,"à la première épreuve , j' ai dit : c'"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15340,", j' ai dit : c' est une vicieuse ,"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15342,"ai dit : c' est une vicieuse , et cela"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15347,"une vicieuse , et cela m' a réjoui . ."
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15360,"présent , le mot coquine me vient naturellement aux lèvres"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15370,", à la suite de son nom . Récapitulons ,"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15385,"intégrité . D' abord , elle s' est moquée de"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15390,elle s' est moquée de moi ; elle savait (
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15392,est moquée de moi ; elle savait ( ce n'
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15403,pas un mystère ) que j' étais décavé . .
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15411,". . . puis , je gagne dix mille un"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15422,", et , paf ! elle me saute au cou"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15423,"et , paf ! elle me saute au cou ;"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15431,cou ; jusque - là ma fatuité pourrait encore s'
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15450,", chaud et froid , c' est toute la femme"
Montegut-Maurice_Madame-Tout-le-monde_<CLOTILDE Désormes-772>_15452,"et froid , c' est toute la femme . Mais"
