,text_surronding
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46471,"Depuis trois ans déjà , Marcelle Esnault ne se levait"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46478,"ne se levait plus . Elle vivait presque immobile ,"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46495,de faire un effort de ses yeux faibles pour observer
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46508,de la rue . On la traînait d' ombre en
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46527,des acacias se déplaçait . Elle avait le calme de
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46619,"main , la joue de Marcelle , comme elle faisait"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46627,elle faisait souvent . Mais la petite avait la joue
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46651,"demanda : – Qu' as - tu , Marcelle ?"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46654,"Qu' as - tu , Marcelle ? Tu souffres ?"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46656,"- tu , Marcelle ? Tu souffres ? Un mouvement"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46671,non . – Quelqu' un t' a fait de la
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46678,fait de la peine ? La malade murmura : –
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46688,"Venez tout près , que je vous dise . Et"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46694,"vous dise . Et lorsque la jeune fille , courbée"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46731,"petit souffle reprit : – Mademoiselle Henriette , ne vous"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46740,vous mariez pas ! Ne vous en allez pas du
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46749,du quartier ! Je ne vous verrais plus ! –
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46754,"vous verrais plus ! – Pauvre chérie , où as"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46759,"Pauvre chérie , où as - tu pris ça ?"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46776,caressant la tête pâle de l' enfant . Tu es
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46779,pâle de l' enfant . Tu es folle ! Je
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46783,. Tu es folle ! Je ne me marie pas
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46789,ne me marie pas ; reste en repos . Elle
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46793,"; reste en repos . Elle s' éloigna , plus"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46800,"éloigna , plus troublée . Elle se rappela que le"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46808,"que le matin , quand elle avait descendu la pente"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46845,ce soir avant longtemps . Henriette ne toucha pas au
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46858,"oncle Madiot avait préparé , prétexta une migraine , et"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46866,", et , retirée dans sa chambre , ouvrit le"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46869,"retirée dans sa chambre , ouvrit le cahier relié en"
Bazin-Rene_De-toute-son-ame_<Marcelle Esnault-2259>_46884,"bien des mois , où elle avait écrit ses vagues"
