,text_surronding
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42304,aussi . L' année de mes vingt - six ans
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42315,après dix ans d' interruption je l' ai revu .
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42321,l' ai revu . Il m' a donné un trousseau
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42335,"l' appartement était libre , je pouvais y aller ."
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42346,"cours d' un déjeuner , j' y ai fait la"
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42420,"… Le visage tourné vers moi , elle souriait ,"
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42426,", elle souriait , et me racontait la première fois"
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42439,déjeuné chez les parents de mon père . Un dimanche
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42453,— Ils haddoraient les huîtres tu sais … c' étaient
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42480,chour - là . Pour moi haussi d' ailleurs .
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42488,ailleurs . Heffidemment . Pierre me préssentait hà heux .
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42498,Ch' afais fingt ans . Ch' étais très hintimidée .
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42503,Ch' étais très hintimidée . Che voulais faire bonne himpression
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42511,"bonne himpression tu fois . Ch' étais très cheune ,"
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42561,famille . Et ça ne m' est plus chamais harrifé
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42573,"Dans la première huître , Christine , que ch' ai"
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42576,"huître , Christine , que ch' ai prisse entre mes"
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42580,"que ch' ai prisse entre mes doigts , et que"
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42585,"mes doigts , et que ch' ai misse dans ma"
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42589,"que ch' ai misse dans ma bouche , ch' ai"
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42592,"misse dans ma bouche , ch' ai senti un petit"
Angot-Christine_Un-amour-impossible_<mes vingt - six ans-2044>_42601,petit bout qui craquait sous ma dent . Che n'
