,text_surronding
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45115,de ses murs transparents . Ursule entra . – Tiens
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45122,". – Tiens , dit - elle à Joseph ,"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45136,"jardinier ? – Oui , madame Ursule . Pierre est"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45145,est allé à Paris pour madame et il m' a
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45161,". – Ah ! lit Ursule , je croyais que"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45163,"Ah ! lit Ursule , je croyais que madame devait"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45166,"Ursule , je croyais que madame devait aller elle -"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45169,croyais que madame devait aller elle - même à Paris
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45180,"matin . – Hier , elle en avait parlé ,"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45198,"aujourd' hui , que monsieur l' a priée de rester"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45205,"priée de rester , et vous savez , madame Ursule"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45208,", et vous savez , madame Ursule , que madame"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45212,", madame Ursule , que madame fait tout ce que"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45227,"est vrai , et je l' aime encore plus pour"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45236,pour tout le bonheur qu' elle lui donne . –
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45237,tout le bonheur qu' elle lui donne . – Malheureusement
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45276,"parlez , monsieur Joseph , je vous en prie ."
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45292,"domestique en se rapprochant d' Ursule , afin d' élever"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45297,"Ursule , afin d' élever sa voix le moins possible"
Stapleaux-Leopold_Le-Roman-d-un-pere_<Ursule-1645>_45320,"jamais un seul instant avec madame , et qu' il"
