,text_surronding
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30645,diamants de ses oreilles . Hoyos sourit . – Quelle
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30654,"Quelle belle nuit , dit - il rêveusement: les fleurs"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30675,"trop fort , Gloria , je vous l' ai déjà"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30684,"déjà dit … intolérant , il tue ces pauvres petites"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30746,"pures , la nuit … J' aime ce pays ."
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30752,"aime ce pays . Cela m' affligerait , vraiment ,"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30764,"cette maison vendue . – Tu es fou , murmura"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30779,qu' est - ce que tu dis? – Mon Dieu
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30795,"maison n' est pas à ton nom , n' est"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30809,Elle ne répondit rien . Il continua: – Tu as
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30812,rien . Il continua: – Tu as essayé tant de
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30821,"de fois , te rappelles - tu? Il disait toujours"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30823,", te rappelles - tu? Il disait toujours , oh"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30829,"disait toujours , oh , son refrain … « Je"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30833,", son refrain … « Je suis encore là …"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30873,"mieux , répéta - t - il . Elle se"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30889,cette histoire m' énerve … Tu restes ici? … –
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30907,"elle entra chez Golder , il travaillait; il était assis"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30909,"chez Golder , il travaillait; il était assis dans son"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30913,"travaillait; il était assis dans son lit , des coussins"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30923,"froissés et roulés ensemble , lui maintenaient le corps ,"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30928,"lui maintenaient le corps , sa chemise était défaite sur"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30936,"défaite sur la poitrine , ses grandes manches larges ,"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30945,", déboutonnées , flottaient sur ses bras nus . Il"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30949,sur ses bras nus . Il avait posé la lampe
Nemirovsky-Irene_David-Golder_<Hoyos-957>_30990,"lampe tombait d' aplomb sur sa tête inclinée , éclairant"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31008,"Gloria ouvrit la porte , il se retourna brusquement ,"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31014,"se retourna brusquement , la regarda , puis grommela en"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31017,", la regarda , puis grommela en baissant le front"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31035,il y a encore? – J' avais à te parler
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31038,"encore? – J' avais à te parler , répliqua -"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31048,"t - elle sèchement . Il ôta ses lunettes ,"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31050,"elle sèchement . Il ôta ses lunettes , essuya longuement"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31053,"Il ôta ses lunettes , essuya longuement du coin de"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31058,essuya longuement du coin de son mouchoir ses yeux enflammés
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31060,du coin de son mouchoir ses yeux enflammés . Elle
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31064,mouchoir ses yeux enflammés . Elle s' assit sur le
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31072,"sur le lit , à ses côtés , le buste"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31080,"le buste raide , tourmentant ses perles . – David"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31084,"tourmentant ses perles . – David , écoute … Il"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31092,… Il est indispensable que je te parle … Tu
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31093,Il est indispensable que je te parle … Tu pars
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31096,que je te parle … Tu pars demain … Tu
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31100,"… Tu pars demain … Tu es malade , fatigué"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31107,"malade , fatigué … As - tu réfléchi que ,"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31114,"réfléchi que , s' il t' arrivait quelque chose ,"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31119,"t' arrivait quelque chose , je serais seule au monde"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31125,serais seule au monde … Il l' écoutait d' un
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31126,seule au monde … Il l' écoutait d' un air
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31143,sans un mot . – David … – Qu' est
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31151,Qu' est - ce que tu me veux? demanda -
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31152,est - ce que tu me veux? demanda - t
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31157,"me veux? demanda - t - il enfin , en"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31162,"- il enfin , en la regardant avec cette expression"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31174,"craintive , têtue , qu' elle seule connaissait , laisse"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31178,"qu' elle seule connaissait , laisse - moi , j'"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31179,"elle seule connaissait , laisse - moi , j' ai"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31182,", laisse - moi , j' ai à travailler …"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31190,travailler … – Ce que je te dis est aussi
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31191,… – Ce que je te dis est aussi important
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31197,dis est aussi important pour moi que ton travail .
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31199,aussi important pour moi que ton travail . Tu ne
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31202,moi que ton travail . Tu ne te débarrasseras pas
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31208,"ne te débarrasseras pas de moi aussi facilement , je"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31212,"de moi aussi facilement , je te préviens … Elle"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31213,"moi aussi facilement , je te préviens … Elle serra"
Nemirovsky-Irene_David-Golder_<Hoyos-957>_31216,", je te préviens … Elle serra les lèvres avec"
