,text_surronding
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40655,"après , elle reparut . M . Cambrelu la suivait"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40708,s' élança au - devant du visiteur . – Ah
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40720,"Dieu , comment c' est vous , monsieur Cambrelu ?"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40722,"comment c' est vous , monsieur Cambrelu ? . ."
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40743,"effet , madame , répondit - il presque balbutiant ;"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40748,- il presque balbutiant ; j' ai besoin de votre
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40764,est assez pressante pour que je vienne un dimanche .
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40791,"un amoureux résigné , et qui souffrait encore de sa"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40795,"et qui souffrait encore de sa blessure , après un"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40815,"la main à Catherine , Cambrelu accepta la siège que"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40821,accepta la siège que Bonnard lui offrit à ses côtés
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40828,"à ses côtés . – Je vous en prie ,"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40838,"continuez votre diner , dit - il , je ne"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40841,", dit - il , je ne veux pas vous"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40848,"veux pas vous déranger , j' ai tout le temps"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40874,Aglaé servit le café . Cambrelu offrit un cigare à
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40881,"un cigare à Bonnard . Il parut à Catherine ,"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40892,"elle très décontenancée , que le marchand de guano avait"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40908,elle fut très surprise de le trouver réellement très changé
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40921,sortir d' une maladie . Ses grosses joues devenues flasques
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_40935,d' hépatite . Quelques semaines l' avaient subitement vieilli .
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41029,"– Non , non , je ne le souffrirai jamais"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41037,souffrirai jamais ! s' écria Cambrelu ; Bonnard viendra me
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41041,"écria Cambrelu ; Bonnard viendra me voir demain matin ,"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41079,elle se trouva répondre à Cambrelu ; de son côté
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41082,"répondre à Cambrelu ; de son côté , il lui"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41085,"; de son côté , il lui parla d' Auteuil"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41118,fils . – Aussi est - il frais et rose
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41127,"rose , ajouta - t - il avec une caresse"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41145,", le jour baissait , Cambrelu ne se disposait pas"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41295,"Mon Dieu ! dit doucement Cambrelu , ma voiture est"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41297,"! dit doucement Cambrelu , ma voiture est à la"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41305,à la porte . Si j' osais l' offrir à
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41312,"l' offrir à madame … Moi , j' en prendrai"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41314,"à madame … Moi , j' en prendrai une autre"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41336,– Qu' importe ! … Je serais très heureux de
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41355,geste de refus . – M . Cambrelu demeure justement
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41371,"; sans se déranger , il pourrait te mettre déjà"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41382,"moitié route . . . L' enfant était las ,"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41387,"L' enfant était las , il commençait à sommeiller sur"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41392,il commençait à sommeiller sur sa chaise . Il devenait
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41404,"outre , matériellement impossible de l' emmener par cette pluie"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41461,craintes et laisser croire à Cambrelu qu' il pouvait être
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41463,laisser croire à Cambrelu qu' il pouvait être un danger
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41594,couché sur ses genoux . Cambrelu se mit auprès d'
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41666,"le monde barbote , dit Cambrelu . Jamais vous n'"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41764,! . . . dit Cambrelu . La causerie se
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41809,s' étendaient par place . Cambrelu parut s' encourager .
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41827,", lui demanda - t - il tout à coup"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41855,"– Tant mieux ! reprit - il . Puis ,"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41872,"fond , vous savez , je n' en crois rien"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41961,"Voyons , ajouta - t - il , pourquoi ne"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_41971,voulez - vous pas que je sois votre ami ?
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42019,voulez - vous pas que je vous aide ? –
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42047,veut rien dire ! reprit - il d' un ton
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42057,bonhomme . Du moment que je suis votre ami :
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42062,"je suis votre ami : moi , j' ai de"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42064,"votre ami : moi , j' ai de l' argent"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42070,"ai de l' argent , je suis riche , laissez"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42075,"je suis riche , laissez - moi faire votre bonheur"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42086,"Ainsi , l' hôtel que j' ai loué pour vous"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42092,"ai loué pour vous , je l' ai sur les"
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42127,en est faite ? – Vous savez bien que c'
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42152,", à cette déduction que Cambrelu semblait trouver victorieuse ."
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42157,Cambrelu semblait trouver victorieuse . Vous n' avez aucune raison
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42170,de pareilles générosités . – Je n' ai aucune raison
Uchard-Mario_La-Buveuse-de-perles_<M . Cambrelu-1380>_42188,. . ajouta - t - il d' un air
