,text_surronding
Simenon-Georges_Signe-Picpus_<vous-1236>_20874,"après cinq heures , il vous a vu jeter une"
Simenon-Georges_Signe-Picpus_<vous-1236>_20897,m' est égal … soupire Le Cloaguen . — Pourtant
Simenon-Georges_Signe-Picpus_<vous-1236>_20906,"Pourtant , cette déclaration aggrave votre situation et … Maigret"
Simenon-Georges_Signe-Picpus_<vous-1236>_20945,"désarmante . — Voyons , monsieur Le Cloaguen … Avouez"
Simenon-Georges_Signe-Picpus_<vous-1236>_20951,Le Cloaguen … Avouez que votre existence est pour le
Simenon-Georges_Signe-Picpus_<vous-1236>_20959,"pour le moins équivoque … Vous êtes riche , intelligent"
Simenon-Georges_Signe-Picpus_<vous-1236>_20965,"êtes riche , intelligent … Vous avez été un brillant"
Simenon-Georges_Signe-Picpus_<vous-1236>_20975,"médecin de marine , et vous étiez courageux , comme"
Simenon-Georges_Signe-Picpus_<vous-1236>_20980,"vous étiez courageux , comme vos états de service le"
Simenon-Georges_Signe-Picpus_<vous-1236>_20993,", soudain , voilà que vous vivez comme un misérable"
Simenon-Georges_Signe-Picpus_<vous-1236>_21002,"misérable , que , chez vous , on vous enferme"
Simenon-Georges_Signe-Picpus_<vous-1236>_21005,", chez vous , on vous enferme comme un personnage"
Simenon-Georges_Signe-Picpus_<vous-1236>_21013,un personnage encombrant et que vos journées se passent à
Simenon-Georges_Signe-Picpus_<vous-1236>_21042,changement ? … Pourquoi avez - vous quitté Saint -
Simenon-Georges_Signe-Picpus_<vous-1236>_21057,Paris ? … Pourquoi … Le Cloaguen lève la tête
Simenon-Georges_Signe-Picpus_<vous-1236>_21063,Cloaguen lève la tête . Ses yeux clairs sont pleins
Simenon-Georges_Signe-Picpus_<vous-1236>_21074,une candeur tragique tandis qu' il murmure : — Vous
Simenon-Georges_Signe-Picpus_<vous-1236>_21078,qu' il murmure : — Vous savez bien que je
Simenon-Georges_Signe-Picpus_<vous-1236>_21082,— Vous savez bien que je suis fou … —
Simenon-Georges_Signe-Picpus_<vous-1236>_21087,"je suis fou … — Vous voulez dire , sans"
Simenon-Georges_Signe-Picpus_<vous-1236>_21098,", que certains , que votre femme , peut -"
Simenon-Georges_Signe-Picpus_<vous-1236>_21104,"femme , peut - être votre fille , essayent de"
Simenon-Georges_Signe-Picpus_<vous-1236>_21109,"votre fille , essayent de vous persuader que vous êtes"
Simenon-Georges_Signe-Picpus_<vous-1236>_21112,essayent de vous persuader que vous êtes fou ? …
Simenon-Georges_Signe-Picpus_<vous-1236>_21117,vous êtes fou ? … Il hoche la tête .
Simenon-Georges_Signe-Picpus_<vous-1236>_21122,"Il hoche la tête . Il répète sans fièvre ,"
Simenon-Georges_Signe-Picpus_<vous-1236>_21133,"obstination : — Non , je suis fou … —"
