,text_surronding
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_30963,"aux matins de fêtes , une petite fille toute vêtue"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_30971,"toute vêtue de blanc , que d' autres semblables suivaient"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_30983,"agenouillait en tremblant pour recevoir son Dieu . Oui ,"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_30988,"son Dieu . Oui , une petite fille très fervente"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_30994,"petite fille très fervente , qui disait à son Seigneur"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_30997,"fervente , qui disait à son Seigneur : « Je"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31001,"à son Seigneur : « Je vous aime , mon"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31005,"« Je vous aime , mon Dieu , et je"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31009,", mon Dieu , et je voudrais mourir pour vous"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31030,qui avait entendu ce désir la mettait en face non
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31106,un martyre non sanglant . Gilberte avait dit : «
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31113,"dit : « Non , je ne veux pas !"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31121,pas ! . . . Je ne veux plus souffrir
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31132,» Le pieux désir de son enfance était si loin
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31138,"enfance était si loin d' elle , alors ! Elle"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31142,"d' elle , alors ! Elle ignorait – ou plutôt"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31147,Elle ignorait – ou plutôt refusait d' admettre – que
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31162,de pires martyres . Mais elle le savait aujourd' hui
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31168,le savait aujourd' hui . Elle connaissait les tourments du
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31201,"tout , la pensée qu' elle ne pouvait échapper aux"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31208,pouvait échapper aux conséquences de sa faute la poursuivait jour
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31210,aux conséquences de sa faute la poursuivait jour et nuit
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31222,des mois . C' était elle encore qui la faisait
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31225,"C' était elle encore qui la faisait frissonner , tandis"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31235,"qu' en se redressant , elle regardait l' autel ,"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31276,n' en serait besoin pour Gilberte Clergeux . Son corps
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31279,besoin pour Gilberte Clergeux . Son corps ne passerait pas
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31318,"première de tous ceux de sa race , Gilberte morte"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31321,"ceux de sa race , Gilberte morte serait portée tout"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31328,serait portée tout droit de sa demeure à la sépulture
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31336,la sépulture des Clergeux . Elle s' affaissa de nouveau
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31352,"banc . Tout bas , elle gémit :– Mon Dieu"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31371,horloge de l' église . Gilberte se souvint tout à
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31378,"souvint tout à coup de son mari , de sa"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31382,"de son mari , de sa fille , qui ne"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31397,"Ils s' informeraient d' où elle venait , car ils"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31402,"elle venait , car ils lui avaient recommandé de ne"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31412,pas sortir seule . Et elle aimait mieux ne rien
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31426,à Saint - Denis . Elle se souleva avec effort
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31432,se souleva avec effort et se mit debout . Son
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31436,"et se mit debout . Son pas chancelait , tandis"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31442,"pas chancelait , tandis qu' elle avançait de quelques pas"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31489,autel . Le regard de Gilberte s' attardait au tabernacle
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31505,"dans l' ombre . En son cœur , elle cria"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31508,". En son cœur , elle cria :– Seigneur !"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31516,Seigneur ! Seigneur ! Délivrez mon âme de cette angoisse
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31525,angoisse ! Ayez pitié de la malheureuse que je suis
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31527,Ayez pitié de la malheureuse que je suis !Elle commença
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31528,pitié de la malheureuse que je suis !Elle commença de
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31539,"la porte . Mais comme elle y atteignait , il"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31544,"elle y atteignait , il lui vint l' idée de"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31562,la dernière fois . Car elle sentait bien qu' elle
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31566,Car elle sentait bien qu' elle n' y reviendrait plus
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31577,"À pas très lents , elle s' engagea dans l'"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31637,"lumière . Au passage , Gilberte jeta un coup d'"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31649,vers la grande salle qu' elle connaissait bien . Devant
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31703,"passées sans le revoir , Gilberte se dit : «"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31723,", dans une impulsion qu' elle ne chercha pas d'"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31732,"d' ailleurs à maîtriser , elle s' avança , alla"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31736,", elle s' avança , alla vers le prêtre qui"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31780,"très visiblement surpris . – Vous désirez , madame ?–"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31783,". – Vous désirez , madame ?– Vous ne me"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31785,"Vous désirez , madame ?– Vous ne me reconnaissez pas"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31862,", pas du tout , madame . Si vous vouliez"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31865,"tout , madame . Si vous vouliez me dire votre"
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31876,? . . . – Je m' appelais autrefois Gilberte
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31901,Gilberte ! . . . Vous qui . . .
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31902,! . . . Vous qui . . . –
Delly_La-porte-scellee_<une petite fille toute vêtue de blanc-1184>_31909,". . – Oui , moi qui ai divorcé ,"
