,text_surronding
San-Antonio_J-suis-comme-ça_<Ma-1633>_35586,toc à la lourde . Ma première pensée est pour
San-Antonio_J-suis-comme-ça_<Ma-1633>_35610,la tonnelle . Il vient m' apporter son cahier de
San-Antonio_J-suis-comme-ça_<Ma-1633>_35634,- t - elle . Je vais lui demander le
San-Antonio_J-suis-comme-ça_<Ma-1633>_35653,homme lance quelque chose que je ne pige pas car
San-Antonio_J-suis-comme-ça_<Ma-1633>_35715,"une décision extrême , elle me pousse en direction de"
San-Antonio_J-suis-comme-ça_<Ma-1633>_35729,"et referme la porte . J' attends , dans l'"
San-Antonio_J-suis-comme-ça_<Ma-1633>_35753,perce dans la touffeur de mon bocal . Le San
San-Antonio_J-suis-comme-ça_<Ma-1633>_35840,"jamais le scandale éclate , je vais me trouver dans"
San-Antonio_J-suis-comme-ça_<Ma-1633>_35863,passe pas trop mal . Je perçois vaguement un chuchotement
San-Antonio_J-suis-comme-ça_<Ma-1633>_35895,"félicité , lui aussi ? Je patiente encore un chouia"
San-Antonio_J-suis-comme-ça_<Ma-1633>_35901,patiente encore un chouia . J' ai beau tendre l'
San-Antonio_J-suis-comme-ça_<Ma-1633>_35908,"beau tendre l' oreille , je ne distingue pas le"
San-Antonio_J-suis-comme-ça_<Ma-1633>_35917,"le moindre bruit . A mon avis , la môme"
San-Antonio_J-suis-comme-ça_<Ma-1633>_35940,entraîner le fâcheux . Elle me laisse le champ libre
San-Antonio_J-suis-comme-ça_<Ma-1633>_35959,. Avec d' infinies précautions je tourne le loquet de
San-Antonio_J-suis-comme-ça_<Ma-1633>_35968,de la porte . Ça me prend cinq minutes car
San-Antonio_J-suis-comme-ça_<Ma-1633>_35973,me prend cinq minutes car j' opère millimètre par millimètre
San-Antonio_J-suis-comme-ça_<Ma-1633>_35980,millimètre par millimètre . Enfin j' écarte le panneau .
San-Antonio_J-suis-comme-ça_<Ma-1633>_35997,La voie est libre . Je sors carrément de la
San-Antonio_J-suis-comme-ça_<Ma-1633>_36006,la salle de bains et je m' apprête à gagner
San-Antonio_J-suis-comme-ça_<Ma-1633>_36016,"la sortie en souplesse lorsque je stoppe , pétrifié ,"
San-Antonio_J-suis-comme-ça_<Ma-1633>_36071,la commode . CHAPITRE XIV Je me penche sur l'
San-Antonio_J-suis-comme-ça_<Ma-1633>_36180,eurésien de malheur ? Ça me paraît probable . Il
San-Antonio_J-suis-comme-ça_<Ma-1633>_36226,dans de beaux draps ! Je sors pour récupérer Béru
San-Antonio_J-suis-comme-ça_<Ma-1633>_36246,faire éclater les sinus . Je le secoue . Il
San-Antonio_J-suis-comme-ça_<Ma-1633>_36256,"éternue , se réveille et me demande ce qui se"
San-Antonio_J-suis-comme-ça_<Ma-1633>_36280,ton lard . . . Je le mets rapidos au
San-Antonio_J-suis-comme-ça_<Ma-1633>_36307,en fais de belles ! Je ne réponds pas .
San-Antonio_J-suis-comme-ça_<Ma-1633>_36312,Je ne réponds pas . Je suis très accablé en
San-Antonio_J-suis-comme-ça_<Ma-1633>_36320,accablé en effet . Car me voici embarqué dans un
San-Antonio_J-suis-comme-ça_<Ma-1633>_36365,elle représente . Vous allez me dire que nous n'
San-Antonio_J-suis-comme-ça_<Ma-1633>_36378,"à calter , Béru et ma pomme . - ."
San-Antonio_J-suis-comme-ça_<Ma-1633>_36415,: peut - être même me mettra - t -
San-Antonio_J-suis-comme-ça_<Ma-1633>_36429,"le dossard ? Comme pour me donner raison , je"
San-Antonio_J-suis-comme-ça_<Ma-1633>_36433,"pour me donner raison , je vois des lumières qui"
San-Antonio_J-suis-comme-ça_<Ma-1633>_36459,. Cette peau d' hareng me fait porter le bada
San-Antonio_J-suis-comme-ça_<Ma-1633>_36506,- Antonio est là . Je désigne une petite porte
San-Antonio_J-suis-comme-ça_<Ma-1633>_36538,"! Pendant ce temps , moi , je vais évacuer"
San-Antonio_J-suis-comme-ça_<Ma-1633>_36540,"ce temps , moi , je vais évacuer Monsieur de"
San-Antonio_J-suis-comme-ça_<Ma-1633>_36587,un pingouin en deuil . Je rentre dans le nid
San-Antonio_J-suis-comme-ça_<Ma-1633>_36595,le nid d' amour . Je cramponne un peignoir de
San-Antonio_J-suis-comme-ça_<Ma-1633>_36602,"un peignoir de bain , je roule l' Excellence dedans"
San-Antonio_J-suis-comme-ça_<Ma-1633>_36616,poignard dans le palpitant . J' éteins tout et je
San-Antonio_J-suis-comme-ça_<Ma-1633>_36620,. J' éteins tout et je charge Tulacomak sur mes
San-Antonio_J-suis-comme-ça_<Ma-1633>_36624,et je charge Tulacomak sur mes robustes épaules . Ensuite
