,text_surronding
Darien-Georges_Bas-les-coeurs_<je-2958>_58475,signe de la croix et je m' appuie à la
Darien-Georges_Bas-les-coeurs_<je-2958>_58506,pleure à chaudes larmes . Je vais lui ouvrir .
Darien-Georges_Bas-les-coeurs_<je-2958>_58511,Je vais lui ouvrir . Je la suis ; mais
Darien-Georges_Bas-les-coeurs_<je-2958>_58516,Je la suis ; mais je ne dépasse pas le
Darien-Georges_Bas-les-coeurs_<je-2958>_58533,"chambre en est sortie , j' ouvre tout doucement une"
Darien-Georges_Bas-les-coeurs_<je-2958>_58540,"tout doucement une fenêtre , j' enjambe la barre d'"
Darien-Georges_Bas-les-coeurs_<je-2958>_58547,la barre d' appui et je me laisse glisser à
Darien-Georges_Bas-les-coeurs_<je-2958>_58555,"glisser à terre . Et je me sauve , à"
Darien-Georges_Bas-les-coeurs_<je-2958>_58568,"à travers bois comme dans mon rêve , dans la"
Darien-Georges_Bas-les-coeurs_<je-2958>_58581,", en courant de toutes mes forces . . ."
Darien-Georges_Bas-les-coeurs_<je-2958>_58599,assassin ! Oh ! que j' ai peur ! oh
Darien-Georges_Bas-les-coeurs_<je-2958>_58606,peur ! oh ! que j' ai honte ! .
Darien-Georges_Bas-les-coeurs_<je-2958>_58613,honte ! . . . Je ne veux plus voir
Darien-Georges_Bas-les-coeurs_<je-2958>_58618,Je ne veux plus voir mon grand - père !
Darien-Georges_Bas-les-coeurs_<je-2958>_58643,jours se sont passés . Je me suis raisonné .
Darien-Georges_Bas-les-coeurs_<je-2958>_58648,Je me suis raisonné . J' ai réfléchi . Je
Darien-Georges_Bas-les-coeurs_<je-2958>_58652,. J' ai réfléchi . Je ne dirai rien .
Darien-Georges_Bas-les-coeurs_<je-2958>_58659,dirai rien . Bien que je ne puisse chasser de
Darien-Georges_Bas-les-coeurs_<je-2958>_58664,je ne puisse chasser de mon esprit le souvenir des
Darien-Georges_Bas-les-coeurs_<je-2958>_58672,souvenir des tableaux terribles que j' ai vus se dérouler
Darien-Georges_Bas-les-coeurs_<je-2958>_58678,"ai vus se dérouler devant moi , bien que les"
Darien-Georges_Bas-les-coeurs_<je-2958>_58688,"paroles affreuses de la paysanne me poursuivent sans relâche ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_58695,"sans relâche , bien que je sente sa dernière insulte"
Darien-Georges_Bas-les-coeurs_<je-2958>_58702,sa dernière insulte imprimée sur mon front comme avec un
Darien-Georges_Bas-les-coeurs_<je-2958>_58710,"avec un fer rouge , je suis décidé à garder"
Darien-Georges_Bas-les-coeurs_<je-2958>_58716,"suis décidé à garder pour moi la honte , à"
Darien-Georges_Bas-les-coeurs_<je-2958>_58727,rien révéler des turpitudes qui me font frémir et crier
Darien-Georges_Bas-les-coeurs_<je-2958>_58745,le secret des ignominies qui m' écrasent . L' autre
Darien-Georges_Bas-les-coeurs_<je-2958>_58759,"en revenant de Moussy , j' ai été près de"
Darien-Georges_Bas-les-coeurs_<je-2958>_58773,", aux premiers mots , j' ai senti le rouge"
Darien-Georges_Bas-les-coeurs_<je-2958>_58781,le rouge de la confusion me monter au visage et
Darien-Georges_Bas-les-coeurs_<je-2958>_58786,me monter au visage et j' ai compris que je
Darien-Georges_Bas-les-coeurs_<je-2958>_58790,et j' ai compris que je ne pourrais jamais prononcer
Darien-Georges_Bas-les-coeurs_<je-2958>_58798,"jamais prononcer les paroles qui me brûlaient la langue ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_58804,"brûlaient la langue , qui m' étranglaient pourtant , que"
Darien-Georges_Bas-les-coeurs_<je-2958>_58809,"m' étranglaient pourtant , que j' avais besoin de hurler"
Darien-Georges_Bas-les-coeurs_<je-2958>_58816,besoin de hurler . Et j' ai raconté seulement la
Darien-Georges_Bas-les-coeurs_<je-2958>_58827,"de la tante , devant moi ; j' ai dit"
Darien-Georges_Bas-les-coeurs_<je-2958>_58829,"tante , devant moi ; j' ai dit l' épouvante"
Darien-Georges_Bas-les-coeurs_<je-2958>_58837,"l' épouvante que ce spectacle m' avait causé , et"
Darien-Georges_Bas-les-coeurs_<je-2958>_58843,"avait causé , et comment je m' étais sauvé ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_58857,", pris de peur . Mon père et ma sœur"
Darien-Georges_Bas-les-coeurs_<je-2958>_58860,"peur . Mon père et ma sœur , heureusement ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_58873,trop insisté . Ils ne m' ont pas semblé s'
Darien-Georges_Bas-les-coeurs_<je-2958>_58910,pas du tout — même ma sœur — des figures
Darien-Georges_Bas-les-coeurs_<je-2958>_58918,"des figures d' enterrement . Moi , je n' ai"
Darien-Georges_Bas-les-coeurs_<je-2958>_58920,"d' enterrement . Moi , je n' ai pas été"
Darien-Georges_Bas-les-coeurs_<je-2958>_58929,été à l' enterrement . J' ai fait le malade
Darien-Georges_Bas-les-coeurs_<je-2958>_58935,ai fait le malade . Je ne pourrais pas supporter
Darien-Georges_Bas-les-coeurs_<je-2958>_58943,pas supporter la vue de mon grand - père .
Darien-Georges_Bas-les-coeurs_<je-2958>_58948,mon grand - père . J' ai passé la journée
Darien-Georges_Bas-les-coeurs_<je-2958>_58954,"ai passé la journée dans ma chambre , à pleurer"
Darien-Georges_Bas-les-coeurs_<je-2958>_58983,"bois . Car , pendant mon absence , le chantier"
Darien-Georges_Bas-les-coeurs_<je-2958>_59001,"repris son activité . Cela m' a fort étonné ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_59007,"a fort étonné , à mon retour . Comment le"
Darien-Georges_Bas-les-coeurs_<je-2958>_59033,"- t - on ? Mon père , à qui"
Darien-Georges_Bas-les-coeurs_<je-2958>_59038,"Mon père , à qui j' ai posé ces questions"
Darien-Georges_Bas-les-coeurs_<je-2958>_59044,"ai posé ces questions , m' a fait des réponses"
Darien-Georges_Bas-les-coeurs_<je-2958>_59071,"Mais , aujourd' hui , je vais savoir à quoi"
Darien-Georges_Bas-les-coeurs_<je-2958>_59080,quoi m' en tenir . Mon père et ma sœur
Darien-Georges_Bas-les-coeurs_<je-2958>_59083,tenir . Mon père et ma sœur sont partis ce
Darien-Georges_Bas-les-coeurs_<je-2958>_59128,enfilent déjà leurs vestes . Je descends au chantier et
Darien-Georges_Bas-les-coeurs_<je-2958>_59133,Je descends au chantier et je m' approche du contremaître
Darien-Georges_Bas-les-coeurs_<je-2958>_59187,"Dame ! — Alors , mon père travaille pour les"
Darien-Georges_Bas-les-coeurs_<je-2958>_59232,"Le contremaître se rapproche de moi et , tout bas"
Darien-Georges_Bas-les-coeurs_<je-2958>_59308,"moins . Alors , voyez - vous , il y"
Darien-Georges_Bas-les-coeurs_<je-2958>_59337,"de tomber là - dessus Moi , je crois que"
Darien-Georges_Bas-les-coeurs_<je-2958>_59339,"là - dessus Moi , je crois que c' est"
Darien-Georges_Bas-les-coeurs_<je-2958>_59349,M . Zabulon Hoffner qui lui a fait avoir ça
Darien-Georges_Bas-les-coeurs_<je-2958>_59373,"lunettes ? — Oui , je sais . . ."
Darien-Georges_Bas-les-coeurs_<je-2958>_59391,"Une fois que le patron m' avait fait demander ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_59399,"demander , pour savoir si je pourrais embaucher assez d'"
Darien-Georges_Bas-les-coeurs_<je-2958>_59409,"ouvriers dans la ville , je l' ai trouvé en"
Darien-Georges_Bas-les-coeurs_<je-2958>_59430,". . Et puis , vous savez , ce particulier"
Darien-Georges_Bas-les-coeurs_<je-2958>_59452,". . . Ça ne m' étonnerait même pas ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_59466,une bonne petite commission à votre papa . . .
Darien-Georges_Bas-les-coeurs_<je-2958>_59476,. . . . — Jean ! Je me retourne
Darien-Georges_Bas-les-coeurs_<je-2958>_59478,. . — Jean ! Je me retourne . C'
Darien-Georges_Bas-les-coeurs_<je-2958>_59484,me retourne . C' est mon père qui m' appelle
Darien-Georges_Bas-les-coeurs_<je-2958>_59486,. C' est mon père qui m' appelle par la
Darien-Georges_Bas-les-coeurs_<je-2958>_59487,C' est mon père qui m' appelle par la fenêtre
Darien-Georges_Bas-les-coeurs_<je-2958>_59517,"— Oui , papa . Je prends tout doucement le"
Darien-Georges_Bas-les-coeurs_<je-2958>_59527,chemin de la maison . Je sais ce qui m'
Darien-Georges_Bas-les-coeurs_<je-2958>_59531,. Je sais ce qui m' attend : un bon
Darien-Georges_Bas-les-coeurs_<je-2958>_59554,un quart d' heure . Mon père y met le
Darien-Georges_Bas-les-coeurs_<je-2958>_59562,"met le temps . — Jean , tu es un"
Darien-Georges_Bas-les-coeurs_<je-2958>_59564,"temps . — Jean , tu es un petit malheureux"
Darien-Georges_Bas-les-coeurs_<je-2958>_59566,"— Jean , tu es un petit malheureux ! Quel"
Darien-Georges_Bas-les-coeurs_<je-2958>_59575,Quel drôle de début ! Mon père éprouve - t
Darien-Georges_Bas-les-coeurs_<je-2958>_59593,de ses prologues ? — Tu m' as menti !
Darien-Georges_Bas-les-coeurs_<je-2958>_59594,ses prologues ? — Tu m' as menti ! Mon
Darien-Georges_Bas-les-coeurs_<je-2958>_59598,Tu m' as menti ! Mon père me crie ça
Darien-Georges_Bas-les-coeurs_<je-2958>_59600,as menti ! Mon père me crie ça d' une
Darien-Georges_Bas-les-coeurs_<je-2958>_59625,t - il ? — Tu m' as menti !
Darien-Georges_Bas-les-coeurs_<je-2958>_59630,Tu m' as menti ! Tu as menti à ta
Darien-Georges_Bas-les-coeurs_<je-2958>_59634,! Tu as menti à ta sœur ! Tu as
Darien-Georges_Bas-les-coeurs_<je-2958>_59637,menti à ta sœur ! Tu as menti à tout
Darien-Georges_Bas-les-coeurs_<je-2958>_59673,", cette fois . Lorsque tu es arrivé chez ta"
Darien-Georges_Bas-les-coeurs_<je-2958>_59677,"Lorsque tu es arrivé chez ta tante , au Pavillon"
Darien-Georges_Bas-les-coeurs_<je-2958>_59709,"d' un chien ! si tu continues à mentir ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_59714,"tu continues à mentir , tu auras affaire à moi"
Darien-Georges_Bas-les-coeurs_<je-2958>_59731,- il passé ? que t' a dit ta tante
Darien-Georges_Bas-les-coeurs_<je-2958>_59734,"? que t' a dit ta tante , pendant le"
Darien-Georges_Bas-les-coeurs_<je-2958>_59741,", pendant le temps que tu es resté seul avec"
Darien-Georges_Bas-les-coeurs_<je-2958>_59752,", en arrivant ? Car tu es resté seul avec"
Darien-Georges_Bas-les-coeurs_<je-2958>_59759,"resté seul avec elle , j' en suis sûr ;"
Darien-Georges_Bas-les-coeurs_<je-2958>_59799,"Regarde - le rougir . Je rougis , parce que"
Darien-Georges_Bas-les-coeurs_<je-2958>_59804,"Je rougis , parce que je comprends , maintenant ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_59810,"comprends , maintenant , pourquoi mon père m' a appelé"
Darien-Georges_Bas-les-coeurs_<je-2958>_59812,"maintenant , pourquoi mon père m' a appelé . Il"
Darien-Georges_Bas-les-coeurs_<je-2958>_59818,a appelé . Il peut m' interroger tant qu' il
Darien-Georges_Bas-les-coeurs_<je-2958>_59825,tant qu' il voudra ; je ne dirai rien .
Darien-Georges_Bas-les-coeurs_<je-2958>_59834,". — Allons , veux - tu parler ? que"
Darien-Georges_Bas-les-coeurs_<je-2958>_59850,— Rien . — Que t' a dit ta tante
Darien-Georges_Bas-les-coeurs_<je-2958>_59853,— Que t' a dit ta tante ? — Elle
Darien-Georges_Bas-les-coeurs_<je-2958>_59858,ta tante ? — Elle m' a dit qu' elle
Darien-Georges_Bas-les-coeurs_<je-2958>_59910,". . . — Et toi , on t' a"
Darien-Georges_Bas-les-coeurs_<je-2958>_59913,"— Et toi , on t' a envoyé chercher ton"
Darien-Georges_Bas-les-coeurs_<je-2958>_59917,on t' a envoyé chercher ton grand - père ?
Darien-Georges_Bas-les-coeurs_<je-2958>_59930,papa . — Y as - tu été ? —
Darien-Georges_Bas-les-coeurs_<je-2958>_59941,", papa . — Et tu es resté près de"
Darien-Georges_Bas-les-coeurs_<je-2958>_59952,heures dehors ! Qu' as - tu fait pendant ce
Darien-Georges_Bas-les-coeurs_<je-2958>_59962,temps - là ? — Je me suis amusé en
Darien-Georges_Bas-les-coeurs_<je-2958>_59984,faisait ! . . . Tu ne veux pas dire
Darien-Georges_Bas-les-coeurs_<je-2958>_59991,veux pas dire ce que tu as fait ? Tu
Darien-Georges_Bas-les-coeurs_<je-2958>_59995,que tu as fait ? Tu ne veux pas le
Darien-Georges_Bas-les-coeurs_<je-2958>_60005,dire ? . . . Tu veux continuer à mentir
Darien-Georges_Bas-les-coeurs_<je-2958>_60011,veux continuer à mentir ! Petit misérable ! Mon père
Darien-Georges_Bas-les-coeurs_<je-2958>_60014,mentir ! Petit misérable ! Mon père s' avance vers
Darien-Georges_Bas-les-coeurs_<je-2958>_60019,"Mon père s' avance vers moi , la main haute"
Darien-Georges_Bas-les-coeurs_<je-2958>_60030,Mais il se contente de m' empoigner par le bras
Darien-Georges_Bas-les-coeurs_<je-2958>_60037,"par le bras et de m' amener devant lui ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_60051,". — Reste là , gredin ! Et , puisque"
Darien-Georges_Bas-les-coeurs_<je-2958>_60056,"gredin ! Et , puisque tu ne veux pas parler"
Darien-Georges_Bas-les-coeurs_<je-2958>_60066,", je vais parler pour toi , moi ! je"
Darien-Georges_Bas-les-coeurs_<je-2958>_60072,", moi ! je vais te dire ce que tu"
Darien-Georges_Bas-les-coeurs_<je-2958>_60076,vais te dire ce que tu as fait . Tu
Darien-Georges_Bas-les-coeurs_<je-2958>_60080,que tu as fait . Tu as été chez ton
Darien-Georges_Bas-les-coeurs_<je-2958>_60084,. Tu as été chez ton grand - père .
Darien-Georges_Bas-les-coeurs_<je-2958>_60089,ton grand - père . Tu es resté chez lui
Darien-Georges_Bas-les-coeurs_<je-2958>_60100,à la nuit ! Et tu t' es entendu avec
Darien-Georges_Bas-les-coeurs_<je-2958>_60109,avec lui pour laisser mourir ta tante sans nous prévenir
Darien-Georges_Bas-les-coeurs_<je-2958>_60133,"vrai , dis ? Crois - tu que je voie"
Darien-Georges_Bas-les-coeurs_<je-2958>_60141,"je voie clair , malgré tes mensonges ? . ."
Darien-Georges_Bas-les-coeurs_<je-2958>_60147,mensonges ? . . . Mon père se lève et
Darien-Georges_Bas-les-coeurs_<je-2958>_60152,Mon père se lève et me secoue de toutes ses
Darien-Georges_Bas-les-coeurs_<je-2958>_60163,". — Et maintenant , tu vas nous dire ce"
Darien-Georges_Bas-les-coeurs_<je-2958>_60170,"nous dire ce qu' il t' a donné , le"
Darien-Georges_Bas-les-coeurs_<je-2958>_60181,"Toussaint , ce qu' il t' a promis , plutôt"
Darien-Georges_Bas-les-coeurs_<je-2958>_60188,"promis , plutôt , pour te faire son complice ."
Darien-Georges_Bas-les-coeurs_<je-2958>_60193,te faire son complice . Tu vas nous le dire
Darien-Georges_Bas-les-coeurs_<je-2958>_60214,parle donc ! s' écrie ma sœur en grinçant des
Darien-Georges_Bas-les-coeurs_<je-2958>_60231,! . . . — Je n' ai pas été
Darien-Georges_Bas-les-coeurs_<je-2958>_60241,chez grand - papa ! Mon père m' allonge une
Darien-Georges_Bas-les-coeurs_<je-2958>_60243,- papa ! Mon père m' allonge une gifle terrible
Darien-Georges_Bas-les-coeurs_<je-2958>_60252,terrible . — Non ! je n' y ai pas
Darien-Georges_Bas-les-coeurs_<je-2958>_60264,"— Alors , qu' as - tu fait ? —"
Darien-Georges_Bas-les-coeurs_<je-2958>_60271,"fait ? — Rien ! Mon père se rassied ,"
Darien-Georges_Bas-les-coeurs_<je-2958>_60299,que font les pieds de ma sœur en trépignant sur
Darien-Georges_Bas-les-coeurs_<je-2958>_60310,"parquet . — Allons , Jean , mon petit Jean"
