,text_surronding
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5200,"apportez - moi le rôti! L' ours , ainsi interpellé"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5209,"interpellé , se dressa sur ses pattes , et ,"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5216,", et , saisissant dans sa gueule un quartier de"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5227,"accroché au mur , l' apporta à son maître ."
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5229,"mur , l' apporta à son maître . - -"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5244,"jetant un regard de côté au grizzly , voici la"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5255,fois je que je vois un semblable animal en tête
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5271,morceau de venaison sans qu' il fasse avec lui plus
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5274,sans qu' il fasse avec lui plus ample connaissance .
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5281,ample connaissance . - - Martin est incapable d' une
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5294,même d' une mauvaise pensée; il sait que tôt ou
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5300,sait que tôt ou tard il aura sa part et
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5302,tôt ou tard il aura sa part et il préfère
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5305,il aura sa part et il préfère l' attendre .
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5307,sa part et il préfère l' attendre . D' ailleurs
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5322,"prolonge et que la faim le presse trop vivement ,"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5327,"le presse trop vivement , il n' est pas embarrassé"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5335,"pas embarrassé de chasser pour son compte , et alors"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5341,"compte , et alors même il a soin de rapporter"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5350,rapporter au logis ce qui lui reste après son repas
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5353,ce qui lui reste après son repas . - -
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5387,- Mais si l' envie lui venait de goûter un
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5402,- Bah! J' ai pris Martin tout petit . Je
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5407,"Martin tout petit . Je l' ai nourri , élevé"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5414,"nourri , élevé , je l' ai vu grandir ."
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5454,". A table , reprit le trappeur . Et comme"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5459,le trappeur . Et comme Raoul jetait un regard autour
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5465,"jetait un regard autour de lui , cherchant le meuble"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5479,"Marcheur ajouta: - - Chez moi , les meubles et"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5555,"tard aujourd' hui , dit le Marcheur , et pour"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5562,", et pour la remplacer je n' ai que quelques"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5575,"résine . - - Gardez vos flambeaux , dit Raoul;"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5579,"Gardez vos flambeaux , dit Raoul; après le souper ,"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5599,"le lit . - - Vous parlez de dormir ,"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5604,"Vous parlez de dormir , monsieur le marquis . Couchez"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5615,"vous et dormez , dit le trappeur en indiquant les"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5626,"de bison . Martin et moi , nous partagerons les"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5668,"bientôt un silence solennel enveloppa le trappeur , qui ,"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5671,"solennel enveloppa le trappeur , qui , sa carabine entre"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5673,"le trappeur , qui , sa carabine entre les genoux"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5689,porte de la hutte et surveillait l' obscurité . Seul
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5744,son maître habitaient la hutte du trappeur . - -
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5765,obligés de prendre congé de vous; mais ce ne sera
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5772,ce ne sera pas sans vous remercier vivement de votre
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5776,sans vous remercier vivement de votre cordiale hospitalité . -
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5799,"faut partir . - - Monsieur de Valvert , voulez"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5804,"Monsieur de Valvert , voulez - vous me permettre de"
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5809,- vous me permettre de vous parler à coeur ouvert?
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5817,coeur ouvert? - - Certes! Je vous écoute . -
La-Blanchere-Henri-de_Les-derniers-Peaux-Rouges-Le-tresor-de-Montcalm_<L' ours-268>_5818,ouvert? - - Certes! Je vous écoute . - -
