,text_surronding
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31786,moins de trente ans . Christophe avait entendu parler d'
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31854,depuis . Un jour que Christophe prenait le chemin de
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31872,en ouvrant la porte de son compartiment il trouva la
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31874,la porte de son compartiment il trouva la comédienne installée
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31895,souffrance ; l' apparition de Christophe lui fut désagréable .
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31901,"lui fut désagréable . Elle lui tourna le dos ,"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31913,la vitre opposée . Mais Christophe frappé de l' altération
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31938,"gênante . Impatientée , elle lui lança un regard furieux"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31945,"un regard furieux , qu' il ne comprit pas ."
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31968,"voiture . Alors seulement , il pensa – un peu"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31976,un peu tard – qu' il l' avait fait fuir
Rolland-Romain_Jean-Christophe_<Christophe-1161>_31983,avait fait fuir ; et il en fut mortifié .
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32009,"et attendant le train , il était assis sur l'"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32029,s' asseoir à côté de lui . Il voulut se
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32031,à côté de lui . Il voulut se lever .
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32046,. Ils étaient seuls . Il s' excusa de l'
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32062,", l' autre jour ; il dit que s' il"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32066,; il dit que s' il avait pu se douter
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32072,"avait pu se douter qu' il la gênait , il"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32076,"qu' il la gênait , il serait descendu . Elle"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32093,"– C' est vrai , vous étiez insupportable , avec"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32098,"vous étiez insupportable , avec votre insistance à me dévisager"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32104,insistance à me dévisager . Il dit : – Pardon
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32110,dit : – Pardon ; je ne pouvais pas m'
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32145,fort que moi . Si vous voyiez quelqu' un se
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32156,", est - ce que vous ne lui tendriez pas"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32207,"d' humour ; et comme il la regardait , d'"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32235,voiture . Elle monta . L' employé les pressait .
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32240,"L' employé les pressait . Christophe , qui ne tenait"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32242,"les pressait . Christophe , qui ne tenait pas à"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32262,un autre compartiment . Elle lui dit : – Montez
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32268,dit : – Montez . Il entra . Elle dit
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32291,"Avec un grand sérieux , Christophe cherchait à lui démontrer"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32344,sur moi … Et comme Christophe insistait ; – Oui
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32369,un rôle avantageux pour celui qui le joue . Il
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32373,celui qui le joue . Il fut un moment avant
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32382,"avant de comprendre . Quand il comprit , quand il"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32386,"Quand il comprit , quand il s' imagina qu' elle"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32391,il s' imagina qu' elle le soupçonnait de chercher son
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32395,"elle le soupçonnait de chercher son propre intérêt , alors"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32401,"propre intérêt , alors qu' il ne pensait qu' à"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32408,"pensait qu' à elle , il se leva indigné ,"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32413,"il se leva indigné , ouvrit la portière , et"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32418,"ouvrit la portière , et voulut sortir , bien que"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32430,"fût en marche . Elle l' empêcha , non sans"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32437,", non sans peine . Il se rassit furieux ,"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32443,"se rassit furieux , et referma la portière , juste"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32465,", dit - elle , vous auriez pu être tué"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32472,pu être tué . – Je m' en fous .
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32477,Je m' en fous . Il ne voulait plus lui
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32492,"est trop bête , dit - il . On se"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32515,"à quelqu' un , il vous soupçonne . C' est"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32535,"humains . Elle tâcha de le calmer , en riant"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32542,", en riant . Elle lui posa sa main gantée"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32552,"sur la main ; elle lui parla gentiment , en"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32557,"lui parla gentiment , en l' appelant par son nom"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32560,", en l' appelant par son nom . – Comment"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32566,"nom . – Comment , vous me connaissez ? dit"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32567,". – Comment , vous me connaissez ? dit -"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32571,vous me connaissez ? dit - il . – Comme
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32587,"connaissait pas à Paris ! Vous êtes du bateau ,"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32592,"Vous êtes du bateau , vous aussi . Mais j'"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32601,j' ai eu tort de vous parler comme j' ai
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32608,comme j' ai fait . Vous êtes un bon garçon
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32614,"êtes un bon garçon , vous , je vois ça"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32626,", calmez - vous . Tope ! Faisons la paix"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32654,"pas ma faute , voyez - vous . J' ai"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32675,rendue défiante . – Ils m' ont bien souvent déçu
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32681,"ont bien souvent déçu , moi aussi , dit Christophe"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32685,", moi aussi , dit Christophe . Mais je leur"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32688,", dit Christophe . Mais je leur fais toujours crédit"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32695,"fais toujours crédit . – Je vois bien , vous"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32699,"– Je vois bien , vous devez être né gobe"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32707,né gobe - mouches . Il se mit à rire
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32716,"rire : – Oui , j' en ai avalé pas"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32724,"avalé pas mal , dans ma vie ; mais cela"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32730,vie ; mais cela ne me gêne pas . J'
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32734,ne me gêne pas . J' ai bon estomac .
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32739,J' ai bon estomac . J' avale aussi de plus
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32765,misérables qui s' attaquent à moi . Je ne m'
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32767,s' attaquent à moi . Je ne m' en porte
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32776,porte que mieux . – Vous avez de la veine
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32786,", dit - elle , vous êtes homme , vous"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32790,", vous êtes homme , vous . – Et vous"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32815,"est très beau , dit - il , et ça"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32826,- être si bon ! Elle rit : – Ça
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32833,: – Ça ! dit - elle . Mais qu'
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32906,qui dessèche l' âme . Il fut sur le point
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32915,"point de s' apitoyer sur elle . Puis , il"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32919,"sur elle . Puis , il se souvint de l'"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32926,souvint de l' accueil qu' elle lui avait fait tout
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32927,de l' accueil qu' elle lui avait fait tout à
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32936,à l' heure … – Vous allez encore parler du
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32950,"… – Non , dit - elle , je ne"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32953,", dit - elle , je ne le dirai plus"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32959,ne le dirai plus . Je sens que vous êtes
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32962,"plus . Je sens que vous êtes bon , que"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32967,"vous êtes bon , que vous êtes sincère . Merci"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32976,"Merci . Seulement , ne me dites rien . Vous"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32980,ne me dites rien . Vous ne pouvez savoir …
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32985,Vous ne pouvez savoir … Je vous remercie . Ils
Rolland-Romain_Jean-Christophe_<Christophe-1161>_32986,ne pouvez savoir … Je vous remercie . Ils arrivaient
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33017,"deux mois plus tard , elle vint sonner à la"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33019,"plus tard , elle vint sonner à la porte de"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33024,sonner à la porte de Christophe . – Je viens
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33027,porte de Christophe . – Je viens vous trouver .
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33029,Christophe . – Je viens vous trouver . J' ai
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33032,Je viens vous trouver . J' ai besoin de causer
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33040,de causer un peu avec vous . J' ai pensé
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33042,un peu avec vous . J' ai pensé à vous
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33046,". J' ai pensé à vous quelquefois , depuis notre"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33053,", depuis notre rencontre . Elle s' installa . –"
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33062,– Un instant seulement . Je ne vous dérangerai pas
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33064,instant seulement . Je ne vous dérangerai pas longtemps .
Rolland-Romain_Jean-Christophe_<Christophe-1161>_33069,vous dérangerai pas longtemps . Il commençait de lui parler
