,text_surronding
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8654,"Tout d' un coup , Ludovic poussa un cri si"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8673,", un moment , qu' il venait de perdre la"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8680,"de perdre la raison . L' enfant ricanait , dans"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8704,"Qu' y a - t - il , mon Dieu?"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8719,"Il y a , clama l' enfant , dont la"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8722,", clama l' enfant , dont la surexcitation était arrivée"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8735,", qu' à force de me creuser l' imagination de"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8744,"de toutes les façons , j' ai enfin trouvé le"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8771,"– Eh bien , répondit l' enfant , le voici:"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8813,"D' après l' opinion d' Alban lui - même ,"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8814,"après l' opinion d' Alban lui - même , il"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8872,nous sera facile de retrouver Alban qui n' a pu
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8873,sera facile de retrouver Alban qui n' a pu aller
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8881,"pu aller bien loin avec sa montgolfière , et qui"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8885,"avec sa montgolfière , et qui a dû certainement ,"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8892,"dû certainement , étant donné sa grande expérience des aérostats"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8899,"expérience des aérostats , opérer son atterrissage sans blessures ."
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8909,– Ah! si ce que vous dites était possible! s'
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8936,courage me revenir! … – Je vous jure que je
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8940,– Je vous jure que je ne me trompe pas
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8948,"trompe pas , s' écria Ludovic , avec toute l'"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8959,que donne la foi … Je ne me trompe pas
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8965,"ne me trompe pas , je ne puis pas me"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_8974,me tromper! … – Puissiez - vous dire vrai! dit
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9024,". Sous la direction de Ludovic , qui avait retenu"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9026,"la direction de Ludovic , qui avait retenu , dans"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9032,"avait retenu , dans tous ses détails , la façon"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9039,", la façon dont opérait Alban , une vingtaine de"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9058,"se chargea des accumulateurs , Ludovic des cartouches d' eau"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9148,"entrée de la caverne , Ludovic fit déposer sur le"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9158,"sol les accumulateurs , y adapta le fil dont il"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9162,"y adapta le fil dont il s' était muni ,"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9168,"s' était muni , et commença à le dérouler ,"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9223,"intérieur de la caverne , Ludovic , arrivé à un"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9273,"la moins épaisse . S' il se trompait , il"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9277,"S' il se trompait , il ne réussirait qu' à"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9314,"les galeries , sans que Ludovic arrivât à se décider"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9339,"insomnie et l' émotion , il choisit la plus longue"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9358,"les flancs du rocher . Il y disposa , tout"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9366,", tout au fond , ses cartouches d' eau ,"
Le-Rouge-Gustave_La-Princesse-des-airs_<Ludovic-314>_9375,", dans une excavation qu' il pratiqua à coups de"
