,text_surronding
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13443,"de Beaumont . Si jamais je passe par là ,"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13448,"je passe par là , j' irai m' incliner devant"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13458,sa pierre funéraire . Si mon monument est érigé avant
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13480,"littérateur ne sera pas , j' en suis sûr ,"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13541,"ivre de colère , il me passa le manuscrit suivant"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13563,"journal favori , et que je reproduis mot pour mot"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13621,", depuis six mois , je ne suis pas resté"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13627,"ne suis pas resté chez moi , et je me"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13630,"resté chez moi , et je me suis fait des"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13648,"est de me débarrasser de mes voisins , et de"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13655,", et de rentrer chez moi : c' est ce"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13661,: c' est ce que je vais tenter de faire
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13668,"tenter de faire . On me suppose , quelque part"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13692,". On s' imagine que je veux percer , devenir"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13704,. On se trompe ; mon unique ambition est de
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13721,suivante fait foi suffisamment . Je ne dois rien aux
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13738,"Puissance du Canada ; et j' espère , Dieu aidant"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13750,leur jamais rien devoir . Je voudrais bien pouvoir en
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13763,la corporation de Québec . Je ne suis redevable de
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13792,", ayant cours , qui m' a été payée fidèlement"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13839,"a pas été satisfait de mes services , et avec"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13851,L' huile de ricin que je m' obstinais à prescrire
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13860,prescrire envers et contre tous m' a ruiné dans l'
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13867,ruiné dans l' esprit de mes clients . On m'
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13871,de mes clients . On m' a évincé ; je
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13875,On m' a évincé ; je le méritais bien .
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13880,je le méritais bien . Je n' attends rien des
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13888,rien des gouvernements futurs . Je ne suis pas riche
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13895,"suis pas riche , mais j' espère grandement de le"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13904,le devenir . Cet espoir me berce ainsi que bien
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13915,"autres : ces autres et moi , nous ferions mieux"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13933,aiguille et du chameau . J' aurai 39 ans le
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13958,. Chose singulière ! il me reste encore dans le
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13994,"cela est surprenant , mais je m' en félicite ."
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_13999,je m' en félicite . Je ne veux pas devenir
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_14026,du gouvernement fédéral . On m' offrirait le plus beau
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_14038,la Puissance tout fait que je ne me baisserais pas
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_14047,pas pour le ramasser . Mon parti est pris là
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_14056,"là - dessus , et j' ai la réputation bien"
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_14068,avoir la tête dure . J' oubliais une chose ;
Larue-Hubert_Voyage-sentimental-sur-la-rue-Saint-Jean_<je-799>_14073,J' oubliais une chose ; je suis auteur . Auteur
