,text_surronding,Gender
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11537,"amour . RENCONTRES J' ALLAI le voir , dans ce",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11546,ce village du Valais où il achevait censément sa convalescence,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11549,"Valais où il achevait censément sa convalescence , où ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11557,"où , en réalité , il se préparait à mourir",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11565,à mourir . La maladie l' avait à ce point,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11573,ce point changé que je le reconnus à peine .,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11595,"du tout , me dit - il . Chaque organe",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11623,la rate … Quant à mon genou ! … Par,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11631,"… Par curiosité , regarde - le . Et ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11639,"Et , relevant à demi ses couvertures , ramenant sa",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11643,"demi ses couvertures , ramenant sa maigre jambe en avant",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11649,"maigre jambe en avant , il découvrit une sorte de",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11664,"de l' articulation . Comme il transpirait beaucoup , sa",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11668,"Comme il transpirait beaucoup , sa chemise était collée au",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11677,au corps et laissait paraître sa maigreur . Je tâchai,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11694,. – De toute manière tu savais que tu en,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11697,toute manière tu savais que tu en avais pour longtemps,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11707,"avant de te remettre , lui dis - je .",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11713,"dis - je . Mais tu es bien , ici",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11740,"Excellente . Et ce qui me sauve , c' est",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11746,"sauve , c' est que je digère encore bien .",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11755,". Depuis quelques jours , j' ai même repris du",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11762,même repris du poids . J' ai moins de fièvre,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11773,"Oh ! somme toute , je vais sensiblement mieux .",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11783,Un semblant de sourire tira ses traits et je compris,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11789,traits et je compris qu' il n' avait peut -,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11827,"larmes , que je voulais lui cacher , emplissaient mes",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11834,", emplissaient mes yeux . Tu vas pouvoir t' installer",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11844,dans le jardin . – J' y descends déjà pour,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11868,est que le dîner que je fais monter dans ma,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11872,que je fais monter dans ma chambre . Le déjeuner,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11878,"chambre . Le déjeuner , je me force à le",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11892,commune et jusqu' à présent je n' y ai manqué,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11914,les deux étages ; mais je prends mon temps :,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11916,étages ; mais je prends mon temps : pas plus,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11947,vingt minutes . Mais cela me fait prendre un peu,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11956,"peu d' exercice ; et je suis si content ,",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11965,", ensuite , de retrouver mon lit ! Puis cela",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11981,"chambre . Mais surtout , j' ai peur de me",male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_11991,laisser aller … Tu regardes mes livres ? … Oui,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12007,. Ce petit livre ne me quitte pas . Tu,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12022,consolation et l' encouragement que j' y trouve . Ceci,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12027,j' y trouve . Ceci me toucha plus qu' aucun,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12038,qu' on eût jamais pu me faire ; car je,male
Gide-Andre_Les-nouvelles-nourritures_<le-346>_12042,"pu me faire ; car je craignais , je l'",male
