,text_surronding
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12728,"vrillant contre sa tempe , tu vois un peu le"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12737,le pays de dingues ? Tu vois un peu les
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12748,"malades ? D' instinct , Hélène se recule , s'"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12752,", Hélène se recule , s' avise que c' est"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12761,est aussi un corps à sa merci . On frappe
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12770,frappe à la porte . Hélène sursaute . Finis la
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12783,"jeux de la mémoire , elle s' élance vers Aliocha"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12809,"les siennes , chut ! Écoute . Le silence les"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12843,"deux jambes , paniqué , Hélène répond da , da"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12853,"d' une voix ensommeillée , remue des papiers , répand"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12857,", remue des papiers , répand quelques journaux par terre"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12863,"quelques journaux par terre , ouvre son ordinateur , fourrage"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12864,"journaux par terre , ouvre son ordinateur , fourrage dans"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12900,", quand renversant le cou elle avise une cavité au"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12922,pour les bagages volumineux mais elle n' y a pas
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12931,pas enfourné les siens qu' elle a simplement poussés du
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12941,"pied sous les banquettes , elle l' indique à Aliocha"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_12994,"impatiente , toc toc , Hélène a revêtu un tee"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13002,"un tee - shirt , elle chiffonne son oreiller ,"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13004,"- shirt , elle chiffonne son oreiller , enfin pivote"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13008,"chiffonne son oreiller , enfin pivote pour avancer une main"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13017,"main vers la clenche , relève la tête une dernière"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13048,"il faut y aller , elle ouvre . En face"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13054,"ouvre . En face d' elle , deux provodnitsy ,"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13061,"deux provodnitsy , celle de son compartiment , la brune"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13134,"blonde surtout qui déblatère , Hélène ne comprend rien mais"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13173,"tangage subit du train , fait coulisser plus largement la"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13192,"intérieur , la blonde bousculant la brune et avançant la"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13207,"seuil , si bien qu' Hélène se contracte , les"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13214,"contracte , les veines de son cou se haussent sous"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13230,", une décharge électrique , elle redoute en cet instant"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13269,"garçon , forte mais qu' elle ne sentait plus au"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13299,"sa présence , une seconde elle pense qu' ils vont"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13376,"de l' étrangère , sur ses bottes en vrac ,"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13382,"bottes en vrac , sur ses vêtements visibles dans le"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13391,"le sac ouvert , sur ses produits de beauté ,"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13396,"ses produits de beauté , son flacon de parfum ,"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13435,", saisit les mains d' Hélène et les serre dans"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13447,"avec un sourire bienveillant , Hélène secoue la tête ,"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13465,"rien du tout , puis elle fait coulisser la porte"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13477,"referme , clac , et se laisse tomber sur la"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13490,", comme un sac . Lève les yeux sur Aliocha"
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13497,yeux sur Aliocha et lui fait signe d' attendre encore
Kerangal-Maylis-de_Tangente-vers-l-est_<tu-634>_13526,"épuisés , et bien qu' elle lutte pour y résister"
