,text_surronding
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_10895,"sa chère bonne , de Matithilde , fidèle à son"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_10903,"à son affection ; de Matithilde , dont les bras"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_10905,"affection ; de Matithilde , dont les bras étendus semblaient"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_10912,bras étendus semblaient appeler à elle le bien - aimé
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_10946,se jeta au cou de la fidèle paysanne . Avec
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_10956,"un cri de joie , celle - ci serra étroitement"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_10962,- ci serra étroitement sur son cœur l' enfant enfin
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_10974,pays . Puis il voulut l' attirer dans la chambre
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_10988,", les yeux éteints de Matithilde , le frappèrent alors"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11004,"graduellement en effroi . « Matithilde , qu' as -"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11008,"« Matithilde , qu' as - tu donc ? pourquoi"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11029,"— Enfant , ne sais - tu donc pas que"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11034,- tu donc pas que j' étais aveugle ? répondit
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11041,aveugle ? répondit avec douleur la pauvre bonne . —
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11058,"Dieu ! mon Dieu ! toi , ma chère bonne"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11060,"mon Dieu ! toi , ma chère bonne , frappée"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11079,Pourquoi ne me l' as - tu pas fait savoir
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11087,fait savoir ? — Mais je te l' ai fait
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11088,savoir ? — Mais je te l' ai fait écrire
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11094,"l' ai fait écrire , mon Gildas ! il y"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11111,"autant , hélas ! que j' ai perdu la vue"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11118,"perdu la vue ! — Toi , ma bonne ,"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11120,"vue ! — Toi , ma bonne , si dévouée"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11133,"abandonnée , solitaire ? et je l' ignorais , malheureux"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11139,"l' ignorais , malheureux que je suis ! Oh !"
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11148,! c' est indigne à mon oncle de me l'
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11151,indigne à mon oncle de me l' avoir caché !
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11183,la ( Ici voix de Gildas baissa et devint un
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11193,triste murmure . ) Ne m' a - t -
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11207,son image ? N' ai - je pas vécu comme
Pitray-Olga-de-Segur_L-Usine-et-le-chateau_<Matithilde-505>_11224,"à peine à ceux que j' aime ? Pourtant ,"
