,text_surronding
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9895,nom d' aspirine . CITATION Qui chevauche si tard dans
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9906,nuit et le vent ? C' est le père avec
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9908,le vent ? C' est le père avec son enfant
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9911,C' est le père avec son enfant . Il serre
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9914,père avec son enfant . Il serre le jeune garçon
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9920,"serre le jeune garçon dans ses bras , Il le"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9923,"garçon dans ses bras , Il le tient au chaud"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9929,"le tient au chaud , il le protège . —"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9934,"il le protège . — Mon fils , pourquoi caches"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9946,"peureusement ton visage ? — Père , ne vois -"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9970,"et sa traîne ? — Mon fils , c' est"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_9989,"viens , partons ensemble ! Je jouerai tant de jolis"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10005,fleurs émaillent le rivage ! Ma mère a de beaux
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10015,"vêtements d' or . — Mon père , mon père"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10018,". — Mon père , mon père , mais n'"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10034,que le Roi des Aulnes me promet tout bas ?
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10047,", rassure - toi , mon enfant , C' est"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10072,", – tu venir avec moi ? Mes filles s'"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10074,tu venir avec moi ? Mes filles s' occuperont de
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10102,"et leurs chants . — Mon père , mon père"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10105,". — Mon père , mon père , ne vois"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10129,"Roi des Aulnes ? — Mon fils , mon fils"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10132,"? — Mon fils , mon fils , je vois"
Tournier-Michel_Le-Miroir-des-idees_<Qui-524>_10135,"fils , mon fils , je vois bien en effet"
