,text_surronding
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21462,"direction pût être menée par Loïc Lhermitte , encore récemment"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21473,"au Quai d' Orsay . Celui - ci , après"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21494,exercice à travers champs . Il s' était rarement autant
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21504,amusé et aucun bolide ne l' avait autant excité que
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21513,"que cet engin qui derrière lui coupait , battait et"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21532,"une descente en voltige , il s' étira , l'"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21540,", l' air enchanté de lui - même , les"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21552,"campés sur le sol . Il souriait , fier de"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21557,"Il souriait , fier de lui , cet imbécile ,"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21559,", fier de lui , cet imbécile , pensa Bruno!"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21566,", pensa Bruno! Fier de lui et des moissons à"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21611,un simple bon sens chez Loïc . - Si vous
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21615,chez Loïc . - Si vous pouvez quitter un instant
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21620,"vous pouvez quitter un instant votre roadster mon cher ,"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21622,"quitter un instant votre roadster mon cher , je voudrais"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21625,"votre roadster mon cher , je voudrais bien vous parler"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21628,"cher , je voudrais bien vous parler . - On"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21636,- On parlera après . Vous venez avec moi jusqu'
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21639,après . Vous venez avec moi jusqu' au champ? dit
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21644,"moi jusqu' au champ? dit Loïc , qui remontait déjà"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21646,"au champ? dit Loïc , qui remontait déjà sur son"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21650,", qui remontait déjà sur son char et se penchait"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21654,sur son char et se penchait vers lui . Maurice
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21659,penchait vers lui . Maurice vous a expliqué votre rôle?
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21662,. Maurice vous a expliqué votre rôle? J' ai accroché
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21664,vous a expliqué votre rôle? J' ai accroché votre fourbi
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21667,votre rôle? J' ai accroché votre fourbi derrière . Vous
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21671,accroché votre fourbi derrière . Vous n' aurez qu' à
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21676,Vous n' aurez qu' à le suivre . Ah! on
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21685,"on aura tout vu , mon petit Bruno! conclut -"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21689,", mon petit Bruno! conclut - il en remettant le"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21699,"moteur en marche . Mais Bruno , resté à terre"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21713,"de refus si violent , son visage était si convulsé"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21719,visage était si convulsé que Loïc arrêta à nouveau son
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21723,que Loïc arrêta à nouveau son tracteur et tendit physiquement
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21745,c' était trop simple pour Bruno de faire ce qu'
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21751,"de faire ce qu' on lui demandait , pour une"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21757,"demandait , pour une fois! Il était trop snob pour"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21790,"à continuer quelques jours . Loïc , lui , qui"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21792,"quelques jours . Loïc , lui , qui était monté"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21794,". Loïc , lui , qui était monté en haut"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21803,haut de la combe et avait vu cette mer de
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21840,arriver autre part . - Votre nouvelle amie . .
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21851,notre chère hôtesse vient de me refuser un morceau de
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21858,"un morceau de pain! dit Bruno , les dents serrées"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21870,". . . aussi , je fous le camp! -"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21882,! . . . Elle vous a refusé du pain?
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21887,vous a refusé du pain? Loïc était visiblement plus étonné
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21901,refus que par le refus lui - même . -
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21909,. - Mais pourquoi? - Je ne sais pas et
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21914,Je ne sais pas et je m' en fous! Je
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21918,et je m' en fous! Je vais prendre la camionnette
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21959,La camionnette est cassée . Je l' ai déjà demandée
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21980,un vélo? . . . J' irai à cheval ou
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21991,"pied s' il le faut! Vous comprenez , Loïc? Loïc"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21994,"le faut! Vous comprenez , Loïc? Loïc soupira , se"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21995,"faut! Vous comprenez , Loïc? Loïc soupira , se résigna"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_21999,"Loïc? Loïc soupira , se résigna et se laissa glisser"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22001,"soupira , se résigna et se laissa glisser de son"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22005,"et se laissa glisser de son poste de commandement ,"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22014,", non sans regret . Il tapa sur l' épaule"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22020,tapa sur l' épaule de Bruno . - Vous avez
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22023,"épaule de Bruno . - Vous avez raison , il"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22033,"faut que nous parlions , mon petit vieux . Il"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22037,", mon petit vieux . Il le poussa à l'"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22038,mon petit vieux . Il le poussa à l' ombre
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22046,"l' ombre du hangar , alluma une cigarette dans le"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22053,"cigarette dans le creux de ses mains , d' un"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22062,"un geste viril qui exaspéra Bruno un peu plus ,"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22077,Après tout c' était à Loïc avec ses cinquante ans
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22079,c' était à Loïc avec ses cinquante ans passés de
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22085,cinquante ans passés de jouer le vieux grincheux et pas
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22091,"vieux grincheux et pas à lui , Bruno , qui"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22093,"et pas à lui , Bruno , qui en avait"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22095,"à lui , Bruno , qui en avait trente! Et"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22101,"en avait trente! Et pourtant l' aventurier , le boute"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22104,"Et pourtant l' aventurier , le boute - en -"
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22117,responsable était actuellement incarné par Loïc . - Hou hou
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22204,retrouvés entre gens normaux si Loïc avait été absent .
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22217,entre gens bien élevés si c' eût été Bruno .
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22220,élevés si c' eût été Bruno . Diane se découvrait
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22237,d' autrui . - Et vous arrivez à piloter cet
Sagan-Françoise_Les-Faux-fuyants_<Loïc Lhermitte-904>_22250,- t - elle à Loïc avec un respect nouveau
