,text_surronding
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33429,Après s' être assurée que le nocturne visiteur était bien
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33434,"le nocturne visiteur était bien le capitaine Marchal , la"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33443,la femme de chambre alla lui ouvrir et l' introduisit
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33446,chambre alla lui ouvrir et l' introduisit dans le petit
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33458,se tenait miss Arabella . Le capitaine serra la main
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33474,"air un peu contraint , il paraissait triste et pensif"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33537,"sa robe de bal , Marchal ne put s' empêcher"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33562,", mais pourquoi donc avez - vous l' air si"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33571,si sombre ce soir ? Vous devriez me remercier du
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33590,venir passer quelques instants avec vous . – Je vous
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33594,avec vous . – Je vous en suis infiniment reconnaissant
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33617,"meilleure façon de me prouver votre reconnaissance , c' est"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33623,"reconnaissance , c' est de vous montrer un peu plus"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33630,"un peu plus gai , vous avez une mine d'"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33638,mine d' enterrement . – J' ai beaucoup de travail
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33647,"travail en ce moment , je suis un peu fatigué"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33656,"fatigué … Puis prenant brusquement son parti , il ajouta"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33659,"prenant brusquement son parti , il ajouta : – Mais"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33677,"que , ce soir , je vous parle très franchement"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33683,vous parle très franchement . Je crains que mes visites
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33686,franchement . Je crains que mes visites ne fassent du
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33698,"votre réputation . Déjà , je le sais , des"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33707,des potins ont circulé … Marchal s' était enfin décidé
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33719,courtoisement avec miss Arabella mais il était loin de s'
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33730,à la résistance qu' elle lui opposa . – Que
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33760,indépendante et d' ailleurs puisque vous êtes mon fiancé !
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33767,mon fiancé ! – Je vous ai déjà dit bien
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33779,"que je suis pauvre , votre frère n' approuverait pas"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33792,… – Je vois que vous ne m' aimez plus
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33807,- elle avec rage . Vous ne m' auriez pas
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33838,"a trouvé le chemin de votre cœur , mais je"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33881,"qu' il y mettait , le capitaine Marchal voulait rompre"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33923,vengerai . Je sais que vous ne me parlez ainsi
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33932,ainsi que par délicatesse . Vous rougissez de votre pauvreté
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33935,"délicatesse . Vous rougissez de votre pauvreté , vous me"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33938,"rougissez de votre pauvreté , vous me trouvez trop riche"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33944,me trouvez trop riche pour vous . Mais le temps
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33958,Je sais qu' au fond vous m' aimez toujours .
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33963,vous m' aimez toujours . Marchal ne s' était pas
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33974,à une pareille réponse . Il ne pouvait avouer à
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33982,avouer à miss Arabella qu' il en aimait une autre
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33989,aimait une autre . Puis il ne savait pas dissimuler
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_33995,ne savait pas dissimuler . Il s' apercevait un peu
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_34025,"Après une longue discussion , il fut obligé de promettre"
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_34031,fut obligé de promettre qu' il n' interromprait pas ses
Le-Rouge-Gustave_La-Dame-noire-des-frontieres_<le nocturne visiteur-1362>_34035,"qu' il n' interromprait pas ses visites , il se"
