,text_surronding
Marceau-Felicien_Creezy_<me-894>_24578,ma table . » Pourquoi me parle - t -
Marceau-Felicien_Creezy_<me-894>_24588,elle de ces fleurs ? Je me rattrape . «
Marceau-Felicien_Creezy_<me-894>_24599,". Les fleurs , cela me regarde . Je vais"
Marceau-Felicien_Creezy_<me-894>_24602,", cela me regarde . Je vais vous les faire"
Marceau-Felicien_Creezy_<me-894>_24610,les faire envoyer . » Je crois qu' elle va
Marceau-Felicien_Creezy_<me-894>_24627,"pas . « S' il vous plaît » , dit"
Marceau-Felicien_Creezy_<me-894>_24640,"En arrivant chez elle , je manque de pousser un"
Marceau-Felicien_Creezy_<me-894>_24661,un vaisseau - amiral . Ma pharaonne s' est transformée
Marceau-Felicien_Creezy_<me-894>_24708,"ce qu' elle voulait , je lui en ai envoyé"
Marceau-Felicien_Creezy_<me-894>_24793,- la . S' il te plaît . » La
Marceau-Felicien_Creezy_<me-894>_24801,» La dame arrive . Je la reconnais . C'
Marceau-Felicien_Creezy_<me-894>_24861,"râpeuse aussi . Comme Creezy me l' a recommandé ,"
Marceau-Felicien_Creezy_<me-894>_24866,"me l' a recommandé , je la reçois , je"
Marceau-Felicien_Creezy_<me-894>_24870,", je la reçois , je la prie d' excuser"
Marceau-Felicien_Creezy_<me-894>_24897,tout à fait prête . J' offre un drink .
Marceau-Felicien_Creezy_<me-894>_24914,"dos à la galerie , je lève les yeux ."
Marceau-Felicien_Creezy_<me-894>_24948,"dit des choses étranges , je veux dire des choses"
Marceau-Felicien_Creezy_<me-894>_25007,la femme - adjudant dont je ne sais toujours ni
Marceau-Felicien_Creezy_<me-894>_25023,"Une public - relation , je suppose . Ou une"
Marceau-Felicien_Creezy_<me-894>_25108,"officier . Un moment , je soupçonne le petit guet"
Marceau-Felicien_Creezy_<me-894>_25126,", a un service à me demander , une faveur"
Marceau-Felicien_Creezy_<me-894>_25170,y voir de mal . Je ne lui en veux
Marceau-Felicien_Creezy_<me-894>_25177,lui en veux pas mais je me promets de la
Marceau-Felicien_Creezy_<me-894>_25184,promets de la chapitrer . Je suis député de Morlan
Marceau-Felicien_Creezy_<me-894>_25190,suis député de Morlan . Je n' ai pas à
Marceau-Felicien_Creezy_<me-894>_25195,Je n' ai pas à m' occuper des misères de
Marceau-Felicien_Creezy_<me-894>_25289,publicité à la télévision . Je me dis : nous
Marceau-Felicien_Creezy_<me-894>_25326,genre à gros mots . J' ai parlé d' adjudant
Marceau-Felicien_Creezy_<me-894>_25333,parlé d' adjudant . Il me faut lui donner une
Marceau-Felicien_Creezy_<me-894>_25348,une tête de colonel . Je reconnais l' espèce :
Marceau-Felicien_Creezy_<me-894>_25362,entrée dans les affaires et je suis à peine étonné
Marceau-Felicien_Creezy_<me-894>_25469,Alors Creezy fait ceci qui me laisse hagard : elle
Marceau-Felicien_Creezy_<me-894>_25475,"laisse hagard : elle prend ma main , la passe"
Marceau-Felicien_Creezy_<me-894>_25510,", elle en acier , mon idole peinte , devenue"
Marceau-Felicien_Creezy_<me-894>_25543,"de comtesse - tâcheronne , je vois passer quelque chose"
Marceau-Felicien_Creezy_<me-894>_25556,"ensemble , est compliment pour moi et pitié pour Creezy"
Marceau-Felicien_Creezy_<me-894>_25588,"deux , Creezy appuyée contre moi , la dernière image"
Marceau-Felicien_Creezy_<me-894>_25644,– C' est vrai ? Tu ne t' es pas
Marceau-Felicien_Creezy_<me-894>_25670,"» Un à un , je reprends les robustes gros"
Marceau-Felicien_Creezy_<me-894>_25683,comtesse . Creezy rit . Je dis : « C'
Marceau-Felicien_Creezy_<me-894>_25698,» Creezy se jette dans mes bras . Je sais
Marceau-Felicien_Creezy_<me-894>_25701,jette dans mes bras . Je sais – mais je
Marceau-Felicien_Creezy_<me-894>_25705,. Je sais – mais je sais maintenant – que
Marceau-Felicien_Creezy_<me-894>_25730,faire semblant de vivre . Je sais maintenant que la
Marceau-Felicien_Creezy_<me-894>_25782,qu' on renvoie aussitôt . Je sais maintenant que Creezy
Marceau-Felicien_Creezy_<me-894>_25804,amour dans sa vie . Je le sais maintenant .
Marceau-Felicien_Creezy_<me-894>_25809,Je le sais maintenant . Je le sais trop tard
Marceau-Felicien_Creezy_<me-894>_25816,"sais trop tard . Et je sais aussi , maintenant"
Marceau-Felicien_Creezy_<me-894>_25854,"en même temps , de ma réserve : parce que"
Marceau-Felicien_Creezy_<me-894>_25865,"là , pour elle , je ne pouvais rien )"
Marceau-Felicien_Creezy_<me-894>_25950,"Pour les autres , pour moi , les instants précédents"
Marceau-Felicien_Creezy_<me-894>_25961,là et nous portent : je suis à la Commission
Marceau-Felicien_Creezy_<me-894>_25969,"la Commission des Finances , je sors de la Commission"
Marceau-Felicien_Creezy_<me-894>_25977,"la Commission des Finances , j' ai des papiers sous"
Marceau-Felicien_Creezy_<me-894>_25994,"encore dans les oreilles , je pense à ce que"
Marceau-Felicien_Creezy_<me-894>_25999,je pense à ce que je vais dire à la
Marceau-Felicien_Creezy_<me-894>_26007,"à la réunion prochaine , je rentre chez moi ,"
Marceau-Felicien_Creezy_<me-894>_26010,"prochaine , je rentre chez moi , Betty me parle"
Marceau-Felicien_Creezy_<me-894>_26013,"rentre chez moi , Betty me parle , Antoine vient"
Marceau-Felicien_Creezy_<me-894>_26018,"me parle , Antoine vient me montrer ses devoirs ,"
Marceau-Felicien_Creezy_<me-894>_26030,"fait câliner , du courrier m' attend , ma secrétaire"
Marceau-Felicien_Creezy_<me-894>_26033,"du courrier m' attend , ma secrétaire ronronne . La"
Marceau-Felicien_Creezy_<me-894>_26042,La nuit est là : j' y suis arrivé sans
Marceau-Felicien_Creezy_<me-894>_26132,"chez le coiffeur – ou moi , toute cette agitation"
Marceau-Felicien_Creezy_<me-894>_26256,". Un jour , elle m' a emmené . Ma"
Marceau-Felicien_Creezy_<me-894>_26260,elle m' a emmené . Ma Creezy dans le ciel
Marceau-Felicien_Creezy_<me-894>_26266,"Creezy dans le ciel , ma Creezy devant moi ,"
Marceau-Felicien_Creezy_<me-894>_26269,"ciel , ma Creezy devant moi , dans sa bulle"
Marceau-Felicien_Creezy_<me-894>_26371,de Saint - Germain . Je vais l' y retrouver
Marceau-Felicien_Creezy_<me-894>_26377,vais l' y retrouver . Je la vois arriver du
Marceau-Felicien_Creezy_<me-894>_26398,. Elle s' arrête devant moi . Son cheval se
Marceau-Felicien_Creezy_<me-894>_26408,"cabre . Un moment , je vois Creezy , très"
Marceau-Felicien_Creezy_<me-894>_26418,"haut au - dessus de moi , son sourire insolent"
Marceau-Felicien_Creezy_<me-894>_26430,"cheveux sur le ciel , moi séparé d' elle par"
Marceau-Felicien_Creezy_<me-894>_26448,qui battent l' air . Je dis : « Quelle
Marceau-Felicien_Creezy_<me-894>_26462,prend son expression professionnelle pour me répondre : « On
Marceau-Felicien_Creezy_<me-894>_26548,elle et le gadget que je lui ai offert et
Marceau-Felicien_Creezy_<me-894>_26617,"oui ! Comment donc ! Je vous emmène dîner ,"
Marceau-Felicien_Creezy_<me-894>_26622,"Je vous emmène dîner , je vous emmène au cinéma"
Marceau-Felicien_Creezy_<me-894>_26628,"vous emmène au cinéma , je vous emmène danser ."
Marceau-Felicien_Creezy_<me-894>_26643,"est pas le mien . Moi , je ne peux"
Marceau-Felicien_Creezy_<me-894>_26645,"le mien . Moi , je ne peux pas ."
Marceau-Felicien_Creezy_<me-894>_26650,"je ne peux pas . J' ai ma femme ,"
Marceau-Felicien_Creezy_<me-894>_26652,"peux pas . J' ai ma femme , ma maison"
Marceau-Felicien_Creezy_<me-894>_26655,"J' ai ma femme , ma maison , mes enfants"
Marceau-Felicien_Creezy_<me-894>_26658,"femme , ma maison , mes enfants , mes dîners"
Marceau-Felicien_Creezy_<me-894>_26661,"maison , mes enfants , mes dîners . Ou je"
Marceau-Felicien_Creezy_<me-894>_26665,", mes dîners . Ou je ne peux que de"
Marceau-Felicien_Creezy_<me-894>_26680,"à l' heure où elle m' appelle , à l'"
Marceau-Felicien_Creezy_<me-894>_26717,importe quel célibataire prend sur moi l' avantage . Il
Marceau-Felicien_Creezy_<me-894>_26725,. Il est là . Je ne suis pas là
Marceau-Felicien_Creezy_<me-894>_26735,. Il peut répondre . Je ne peux pas .
Marceau-Felicien_Creezy_<me-894>_26786,y a des numéros que Creezy ne veut plus former
Marceau-Felicien_Creezy_<me-894>_26826,", devant un appel de Creezy , tous les autres"
Marceau-Felicien_Creezy_<me-894>_26834,les autres engagements sautaient . Creezy voit s' installer autour
Marceau-Felicien_Creezy_<me-894>_26840,voit s' installer autour d' elle le no man' s
Marceau-Felicien_Creezy_<me-894>_26917,"partout porte son image , Creezy est seule . Je"
Marceau-Felicien_Creezy_<me-894>_26926,Je ne pense pas qu' elle ait jamais été une
Marceau-Felicien_Creezy_<me-894>_26934,"été une fille facile . Son insolence , cette humeur"
Marceau-Felicien_Creezy_<me-894>_26942,"cette humeur vite cabrée , ses nerfs même , à"
Marceau-Felicien_Creezy_<me-894>_26951,"à défaut de principes , l' en empêchent . Mais"
Marceau-Felicien_Creezy_<me-894>_26960,Mais il a bien dû lui arriver de ramener un
Marceau-Felicien_Creezy_<me-894>_26967,de ramener un homme chez elle à cause d' une
Marceau-Felicien_Creezy_<me-894>_27056,Notre amour a encore isolé Creezy . Elle est assise
Marceau-Felicien_Creezy_<me-894>_27058,"a encore isolé Creezy . Elle est assise , là"
Marceau-Felicien_Creezy_<me-894>_27065,"assise , là , devant son téléphone , devant mon"
Marceau-Felicien_Creezy_<me-894>_27129,"figure une grande photographie de Creezy , en robe du"
Marceau-Felicien_Creezy_<me-894>_27152,. La légende précise qu' elle en porte là pour
Marceau-Felicien_Creezy_<me-894>_27182,photo est de profil . Creezy regarde au loin .
Marceau-Felicien_Creezy_<me-894>_27187,"Creezy regarde au loin . Creezy , ma Creezy ,"
Marceau-Felicien_Creezy_<me-894>_27189,"au loin . Creezy , ma Creezy , ma petite"
Marceau-Felicien_Creezy_<me-894>_27192,"Creezy , ma Creezy , ma petite noyée en robe"
Marceau-Felicien_Creezy_<me-894>_27200,"en robe du soir , ma petite noyée couverte de"
Marceau-Felicien_Creezy_<me-894>_27218,", comme des nénuphars , ma petite noyée émergée des"
Marceau-Felicien_Creezy_<me-894>_27227,"des émeraudes , ne sais - tu donc pas que"
Marceau-Felicien_Creezy_<me-894>_27232,"- tu donc pas que je veille sur toi ,"
Marceau-Felicien_Creezy_<me-894>_27235,"pas que je veille sur toi , même quand je"
Marceau-Felicien_Creezy_<me-894>_27239,"sur toi , même quand je ne suis pas là"
Marceau-Felicien_Creezy_<me-894>_27245,ne suis pas là ? Elle ne le sait pas
Marceau-Felicien_Creezy_<me-894>_27252,le sait pas . Ne te suffit - il pas
Marceau-Felicien_Creezy_<me-894>_27264,"cet après - midi , mon ventre ait été dans"
Marceau-Felicien_Creezy_<me-894>_27269,"mon ventre ait été dans ton ventre , ma bouche"
Marceau-Felicien_Creezy_<me-894>_27272,"été dans ton ventre , ma bouche dans ta bouche"
