,text_surronding
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10253,- delà du bureau de Thibaudin se trouve le vestiaire
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10392,par une serrure spéciale dont Thibaudin est seul avoir la
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10399,seul avoir la clé . Il donne la lumière .
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10452,encombrent cette pièce . — Ma table de travail est
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10462,"au fond , me dit - il . . ."
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10485,le fameux coffre dans lequel vous logez vos formules ?
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10487,coffre dans lequel vous logez vos formules ? — Venez
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10496,Venez . . . Je l' escorte au fond du
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10534,« EAU DISTILLEE » . Thibaudin tourne l' un des
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10548,contre le mur . Ensuite il tire le réservoir à
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10553,"il tire le réservoir à lui , et j' ai"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10601,ci est à système . Le professeur règle les boutons
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10653,". Dites - moi , vous êtes certain d' être"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10674,"Et pour cause , dit - il , je le"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10677,", dit - il , je le change tous les"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10691,le sait . . . Je me gratte le crâne
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10700,"crâne . Cette fois , je suis au cœur d'"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10726,mieux ! — Comment faites - vous pour vous rappeler
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10736,"la dernière combinaison , si vous en utilisez tellement ?"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10742,en utilisez tellement ? — J' ai une excellente mémoire
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10764,Oui . . . — Vous n' avez pas un
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10779,de pense - bête ? Il hoche la tête .
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10797,"erreur , les jours pairs je me sers de chiffres"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10820,voilà qui restreint quelque peu vos possibilités de confusion .
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10840,"— Il y a , je vois , un seul"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10848,"un seul bouton , et vous avez , pour ouvrir"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10869,Exact . . . — Vous ne l' avez jamais
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10876,l' avez jamais ouvert devant vos collaborateurs ? — Jamais
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10885,Jamais . . . — Vous en êtes certain ?
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10890,Vous en êtes certain ? Son regard est soudain mécontent
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10898,"soudain mécontent . — Puisque je vous l' affirme ,"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10899,"mécontent . — Puisque je vous l' affirme , commissaire"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10903,"je vous l' affirme , commissaire ! Je passe la"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10905,"l' affirme , commissaire ! Je passe la main dans"
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10920,fond de la paroi . Il sourit . — Vous
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10924,. Il sourit . — Vous croyez qu' on a
San-Antonio_Le-secret-de-polichinelle_<Thibaudin-466>_10937,de l' extérieur ? — Je vérifie . . .
