,text_surronding
Duras-Marguerite_L-Amant_<j'-2>_6,"Bruno Nuytten Un jour , j' étais âgée déjà ,"
Duras-Marguerite_L-Amant_<j'-2>_24,un homme est venu vers moi . Il s' est
Duras-Marguerite_L-Amant_<j'-2>_33,est fait connaître et il m' a dit « Je
Duras-Marguerite_L-Amant_<j'-2>_38,m' a dit « Je vous connais depuis toujours .
Duras-Marguerite_L-Amant_<j'-2>_48,Tout le monde dit que vous étiez belle lorsque vous
Duras-Marguerite_L-Amant_<j'-2>_52,"que vous étiez belle lorsque vous étiez jeune , je"
Duras-Marguerite_L-Amant_<j'-2>_60,", je suis venu pour vous dire que pour moi"
Duras-Marguerite_L-Amant_<j'-2>_66,dire que pour moi je vous trouve plus belle maintenant
Duras-Marguerite_L-Amant_<j'-2>_73,"plus belle maintenant que lorsque vous étiez jeune , j'"
Duras-Marguerite_L-Amant_<j'-2>_80,"jeune , j' aimais moins votre visage de jeune femme"
Duras-Marguerite_L-Amant_<j'-2>_88,"jeune femme que celui que vous avez maintenant , dévasté"
Duras-Marguerite_L-Amant_<j'-2>_95,"maintenant , dévasté . » Je pense souvent à cette"
Duras-Marguerite_L-Amant_<j'-2>_102,souvent à cette image que je suis seule à voir
Duras-Marguerite_L-Amant_<j'-2>_110,à voir encore et dont je n' ai jamais parlé
Duras-Marguerite_L-Amant_<j'-2>_133,est entre toutes celle qui me plaît de moi -
Duras-Marguerite_L-Amant_<j'-2>_136,"celle qui me plaît de moi - même , celle"
Duras-Marguerite_L-Amant_<j'-2>_142,"- même , celle où je me reconnais , où"
Duras-Marguerite_L-Amant_<j'-2>_147,"je me reconnais , où je m' enchante . Très"
Duras-Marguerite_L-Amant_<j'-2>_154,enchante . Très vite dans ma vie il a été
Duras-Marguerite_L-Amant_<j'-2>_183,et vingt - cinq ans mon visage est parti dans
Duras-Marguerite_L-Amant_<j'-2>_196,À dix - huit ans j' ai vieilli . Je
Duras-Marguerite_L-Amant_<j'-2>_200,ans j' ai vieilli . Je ne sais pas si
Duras-Marguerite_L-Amant_<j'-2>_211,"est tout le monde , je n' ai jamais demandé"
Duras-Marguerite_L-Amant_<j'-2>_218,ai jamais demandé . Il me semble qu' on m'
Duras-Marguerite_L-Amant_<j'-2>_222,Il me semble qu' on m' a parlé de cette
Duras-Marguerite_L-Amant_<j'-2>_231,cette poussée du temps qui vous frappe quelquefois alors qu'
Duras-Marguerite_L-Amant_<j'-2>_257,vieillissement a été brutal . Je l' ai vu gagner
Duras-Marguerite_L-Amant_<j'-2>_262,Je l' ai vu gagner mes traits un à un
Duras-Marguerite_L-Amant_<j'-2>_307,contraire d' en être effrayée j' ai vu s' opérer
Duras-Marguerite_L-Amant_<j'-2>_315,s' opérer ce vieillissement de mon visage avec l' intérêt
Duras-Marguerite_L-Amant_<j'-2>_321,visage avec l' intérêt que j' aurais pris par exemple
Duras-Marguerite_L-Amant_<j'-2>_332,déroulement d' une lecture . Je savais aussi que je
